#: table_doi: 10.17182/hepdata.144178.v2/t37
#: name: Limit curve for pure Higgsino
#: description: Limit in the mass plane of the pure Higgsino model
#: data_file: limit_curve_for_pure_higgsino.yaml
$m_{\tilde{\chi}_1^\pm}$ (GeV),$\Delta m(\tilde{\chi})$ (GeV) [GeV]
947.5,0.13528
944.37,0.13608
942.5,0.13652
939.7,0.13722
937.5,0.13774
934.91,0.13837
932.5,0.13892
930.0,0.13952
927.5,0.14007
924.9,0.14067
922.5,0.14117
919.49,0.14182
917.5,0.14219
913.42,0.14297
912.5,0.14311
907.5,0.14386
905.46,0.14411
902.5,0.14444
897.5,0.14491
893.33,0.14526
892.5,0.14533
887.5,0.14569
882.5,0.14605
877.55,0.14641
877.5,0.14641
872.5,0.14675
867.5,0.1471
862.5,0.14746
861.11,0.14756
857.5,0.14781
852.5,0.14816
847.5,0.14853
845.1,0.14871
842.5,0.14889
837.5,0.14926
832.5,0.14964
829.72,0.14986
827.5,0.15002
822.5,0.1504
817.5,0.1508
814.97,0.151
812.5,0.15119
807.5,0.15159
802.5,0.15201
801.42,0.15215
797.5,0.15265
792.5,0.15311
790.58,0.1533
787.5,0.15358
782.5,0.15406
778.63,0.15445
777.5,0.15456
772.5,0.15505
767.5,0.15556
767.17,0.1556
762.5,0.15607
757.5,0.1566
756.21,0.15675
752.5,0.15713
747.5,0.15768
745.63,0.15789
742.5,0.15823
737.5,0.1588
735.41,0.15904
732.5,0.15937
727.5,0.15995
725.52,0.16019
722.5,0.16054
717.5,0.16114
715.92,0.16134
712.5,0.16175
707.5,0.16237
706.59,0.16249
702.5,0.16299
697.5,0.16364
697.5,0.16364
692.5,0.16427
688.69,0.16478
687.5,0.16493
682.5,0.1656
680.08,0.16593
677.5,0.16627
672.5,0.16696
671.64,0.16708
667.5,0.16764
663.4,0.16823
662.5,0.16835
657.5,0.16906
655.34,0.16938
652.5,0.16978
647.5,0.17051
647.4,0.17053
642.5,0.17124
639.66,0.17167
637.5,0.17199
632.5,0.17275
