#: table_doi: 10.17182/hepdata.113658.v1/t16
#: name: $\tilde{\ell} \to \ell\tilde{G}$ mass limits vs $c\tau_0$
#: description: The 95% CL constraints on the long-lived slepton $c\tau_{0}$ and mass. The $\tilde{\tau}$ and co-NLSP limits are shown for the three channels combined, while the $\tilde{e}$ and $\tilde{\mu}$ NLSP limits are shown for the ee and $\mu\mu$ channels, respectively. These limits assume that the superpartners of the left- and right-handed leptons are degenerate in mass and $\mathcal{B}(\tilde{\ell} \to \ell\tilde{G})$ is 100%. The area to the left of the solid curves represents the observed exclusion region, and the dashed lines indicate the expected limits.
#: data_file: $\tilde{\ell}_\to_\ell\tilde{g}$_mass_limits_vs_$c\tau_0$.yaml
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
#: Limits,Observed
#: Channel,$\tilde{\tau}$ NLSP
$c\tau_{0}$ [cm],95% CL upper limits on $m_{\tilde{\ell}}$ [GeV]
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,0.0
0.006,0.0
0.007,0.0
0.008,0.0
0.009,0.0
0.01,0.0
0.02,112.02
0.03,141.1
0.04,163.88
0.05,183.85
0.06,199.49
0.07,217.05
0.08,227.63
0.09,237.66
0.1,247.76
0.2,316.72
0.3,338.03
0.4,359.09
0.5,368.04
0.6,376.2
0.7,382.78
0.8,383.6
0.9,387.69
1.0,392.64
2.0,405.23
3.0,384.53
4.0,364.7
5.0,341.97
6.0,322.77
7.0,306.96
8.0,289.78
9.0,277.21
10.0,270.6
20.0,0.0
30.0,0.0
40.0,0.0
50.0,0.0
60.0,0.0
70.0,0.0
80.0,0.0
90.0,0.0
100.0,0.0
200.0,0
300.0,0
400.0,0
500.0,0
600.0,0
700.0,0
800.0,0
900.0,0
1000.0,0
