#: table_doi: 10.17182/hepdata.145758.v1/t25
#: name: Table 25
#: description: Observed 95\% CL exclusion limits on the simplified models of $\tilde{\tau}_{R}\tilde{\tau}_{R}$ production.

#: data_file: fig_12cobs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> stau pair
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
MASS STAU-R [GeV],MASS NEUTRALINO-1 [GeV]
352.7,0.0
352.4,3.0
352.1,6.1
351.7,9.1
351.1,12.1
350.3,15.2
349.4,18.2
348.2,21.2
348.0,21.7
346.8,24.2
345.3,27.3
343.7,30.3
342.9,31.7
342.1,33.3
340.8,36.4
340.0,39.4
339.5,42.4
339.6,45.5
340.0,48.5
340.6,51.5
341.3,54.5
341.9,57.6
342.4,60.6
342.6,63.6
342.5,66.7
342.1,69.7
341.3,72.7
340.1,75.8
338.5,78.8
337.9,79.7
336.3,81.8
333.3,84.8
332.8,85.3
329.1,87.9
327.8,88.7
322.7,90.9
322.7,90.9
317.7,92.2
312.6,92.8
307.6,92.8
302.5,92.7
297.5,92.4
292.4,92.2
287.4,92.1
282.3,92.3
277.3,92.9
272.5,93.9
272.2,94.0
267.2,95.5
263.1,97.0
262.1,97.3
257.1,98.9
253.3,100.0
252.0,100.3
247.0,101.2
241.9,101.7
236.9,102.0
231.8,102.1
226.8,102.0
221.7,101.7
216.7,101.1
211.6,100.3
210.5,100.0
206.6,99.0
201.5,97.4
200.6,97.0
196.5,95.1
194.3,93.9
191.4,92.3
189.3,90.9
186.4,88.8
185.2,87.9
181.7,84.8
181.3,84.4
179.0,81.8
176.7,78.8
176.3,78.1
174.9,75.8
173.4,72.7
171.9,69.7
171.2,68.3
170.3,66.7
168.1,63.6
166.2,61.8
164.7,60.6
161.1,58.3
159.8,57.6
156.1,55.8
153.5,54.5
151.0,53.5
146.7,51.5
146.0,51.2
140.9,48.7
140.6,48.5
135.9,45.8
135.3,45.5
130.8,42.4
130.8,42.4
127.0,39.4
125.8,38.4
123.5,36.4
120.7,33.8
120.2,33.3
117.3,30.3
115.7,28.6
114.5,27.3
111.9,24.2
110.6,22.6
109.5,21.2
107.4,18.2
105.6,15.4
105.4,15.2
103.6,12.1
102.0,9.1
100.5,6.1
100.5,6.0
99.2,3.0
97.9,0.0

