m_slep, m_neutralino
45 0
45.000000 42.215966
46.311195 43.500000
46.500000 43.711891
47.303612 44.500000
47.500000 44.659875
48.369869 45.500000
48.500000 45.629356
49.324147 46.500000
49.500000 47.437771
49.554464 47.500000
50.500000 48.329947
50.677735 48.500000
51.500000 49.425857
51.576458 49.500000
52.500000 50.500000
52.500000 50.500000
53.500000 51.500000
53.500000 51.500000
54.500000 52.500000
54.500000 52.500000
55.500000 53.500000
55.500000 53.500000
56.500000 54.500000
56.500000 54.500000
57.500000 55.500000
57.500000 55.500000
58.500000 56.500000
58.500000 56.500000
59.500000 57.127552
59.906276 57.500000
60.500000 58.249934
60.735861 58.500000
61.500000 59.214947
61.796673 59.500000
62.500000 60.426453
62.571823 60.500000
63.500000 61.311984
63.719907 61.500000
64.500000 61.978523
65.011157 62.500000
65.500000 62.917555
66.122923 63.500000
66.500000 63.930549
67.169566 64.500000
67.500000 64.776570
68.297466 65.500000
68.500000 65.673221
69.398722 66.500000
69.500000 66.592051
70.500000 67.260183
70.795253 67.500000
71.450109 68.500000
71.500000 68.562863
72.500000 68.963718
73.253784 69.500000
73.500000 69.675763
74.500000 70.299270
74.730051 70.500000
75.500000 71.114250
76.048162 71.500000
76.500000 71.832795
77.279494 72.500000
77.500000 72.676251
78.326711 73.500000
78.500000 73.660167
79.500000 74.250018
79.808692 74.500000
80.500000 75.133195
80.994999 75.500000
81.500000 75.774988
82.184341 76.500000
82.500000 76.836188
83.217162 77.500000
83.500000 77.712176
84.500000 78.487078
84.520659 78.500000
85.500000 79.131663
86.449516 79.500000
86.500000 79.521786
87.500000 79.939482
88.500000 80.495711
89.500000 80.478789
90.500000 80.379988
91.500000 79.962662
91.798188 79.500000
91.979243 78.500000
92.500000 77.831764
92.624806 77.500000
92.983904 76.500000
93.410732 75.500000
93.341006 74.500000
93.387241 73.500000
93.454595 72.500000
93.276470 71.500000
93.500000 70.992139
93.874803 70.500000
93.980551 69.500000
94.191327 68.500000
94.500000 67.902658
94.642909 67.500000
94.903009 66.500000
95.500000 65.765345
95.715601 65.500000
95.581076 64.500000
95.733743 63.500000
95.733607 62.500000
95.500000 62.110552
95.288561 61.500000
95.440666 60.500000
95.434070 59.500000
95.293160 58.500000
95.041338 57.500000
94.766218 56.500000
94.739231 55.500000
94.650461 54.500000
94.500000 54.067391
94.273705 53.500000
94.500000 52.836976
94.584119 52.500000
94.500000 51.857708
94.446003 51.500000
94.493855 50.500000
94.500000 50.458996
94.603207 49.500000
94.500000 49.108760
94.332387 48.500000
94.500000 47.563164
94.511946 47.500000
94.500000 47.459297
94.080475 46.500000
93.752107 45.500000
93.500000 44.573538
93.481597 44.500000
93.424335 43.500000
93.077605 42.500000
93.214583 41.500000
93.217387 40.500000
93.147405 39.500000
93.203622 38.500000
93.020215 37.500000
92.891266 36.500000
92.929607 35.500000
92.968360 34.500000
92.896677 33.500000
93.041880 32.500000
92.986973 31.500000
92.725344 30.500000
92.652854 29.500000
92.679908 28.500000
92.500000 27.950534
92.230351 27.500000
92.032116 26.500000
91.957459 25.500000
91.633758 24.500000
91.584142 23.500000
91.500000 23.382713
91.078283 22.500000
90.888269 21.500000
90.780623 20.500000
90.500000 19.856546
90.335800 19.500000
89.911491 18.500000
89.617344 17.500000
89.500000 17.138750
89.288976 16.500000
88.843286 15.500000
89.313928 14.500000
89.135012 13.500000
88.865388 12.500000
88.538948 11.500000
88.500000 11.317092
88.316947 10.500000
87.886806 9.500000
87.500000 8.841917
87.283919 8.500000
86.734661 7.500000
86.500000 6.848221
86.400250 6.500000
86.241574 5.500000
86.500000 4.563893
86.563358 4.500000
86.500000 4.380415
86.298892 3.500000
86.229733 2.500000
86.394805 1.500000
86.500000 0.574681
86.552076 0.000000
