#: table_doi: 10.17182/hepdata.127766.v2/t9
#: name: Figure 4a Observed Lines
#: description: Observed exclusion limits assuming the approximate-NLO+NLL cross sections
#: data_file: figure_4a_observed_lines.yaml
#: keyword cmenergies: 13000
#: keyword observables: Cross-section
#: keyword phrases: Supersymmetry | SUSY
m(NSLP) [GeV],max m(LSP) [GeV] excluded
291.0,0.5
291.93,18.527
293.81,26.399
296.67,34.516
301.22,42.401
307.33,49.526
315.02,55.996
324.27,61.859
334.87,67.82
346.18,73.622
357.68,79.45
369.63,85.578
381.15,91.622
392.21,97.63
402.76,103.98
413.24,110.96
423.52,118.37
433.48,125.89
443.44,133.43
453.58,140.97
463.42,148.11
472.25,154.43
480.85,160.41
489.0,166.04
497.05,171.32
505.32,176.44
514.09,181.53
523.82,186.49
533.75,191.05
544.3,195.08
555.39,198.22
566.57,200.03
577.42,200.07
587.9,198.21
597.28,194.15
605.52,188.42
612.34,181.42
617.92,173.74
623.13,165.88
628.0,158.24
633.05,151.27
638.23,144.25
643.04,137.22
647.12,129.22
650.21,120.55
652.17,111.11
653.53,100.83
654.44,90.104
655.49,79.079
656.8,67.734
658.54,55.997
660.63,44.577
662.71,33.425
664.6,23.585
666.17,0.5
