#: table_doi: 10.17182/hepdata.127766.v2/t15
#: name: Figure 4c Observed Lines
#: description: Observed exclusion limits assuming the approximate-NLO+NLL cross sections
#: data_file: figure_4c_observed_lines.yaml
#: keyword cmenergies: 13000
#: keyword observables: Cross-section
#: keyword phrases: Supersymmetry | SUSY
m(NSLP) [GeV],max m(LSP) [GeV] excluded
241.99,0.5
241.41,19.458
242.19,26.123
244.9,33.283
249.63,40.674
256.33,48.26
264.56,55.934
273.75,63.751
284.05,71.399
294.29,79.073
304.58,86.76
314.94,94.313
325.35,101.61
335.91,108.67
346.55,115.46
356.9,121.93
367.22,128.18
377.08,134.16
386.75,139.85
396.23,145.05
405.48,149.66
414.64,153.88
423.72,157.68
432.86,161.2
442.21,164.46
451.24,167.67
460.3,170.92
469.49,174.12
478.72,177.39
488.35,180.73
498.2,184.19
508.72,187.78
519.75,191.48
531.23,195.1
543.29,198.88
555.6,202.7
567.66,206.51
579.94,210.34
591.97,214.3
603.52,218.39
614.72,222.54
625.37,226.69
635.5,230.8
645.21,234.79
654.5,238.51
663.77,241.9
672.77,244.81
682.12,247.44
691.8,249.78
701.77,251.74
712.24,253.48
723.05,255.18
734.19,256.79
745.78,258.31
757.62,259.78
769.39,261.1
781.46,262.04
793.45,262.4
805.73,261.64
817.84,259.83
829.86,256.84
841.61,252.76
853.35,247.19
864.81,240.65
876.33,233.02
887.63,224.32
898.61,214.74
909.24,204.31
919.3,193.33
928.37,181.94
936.22,170.61
943.01,159.18
948.79,147.84
953.75,136.74
957.9,126.09
961.33,115.48
963.93,105.01
966.34,94.532
968.34,83.927
969.85,73.458
970.83,63.039
971.75,52.795
972.61,42.924
973.36,33.69
973.9,25.393
974.21,7.3285
974.31,0.5
