#: table_doi: 10.17182/hepdata.127766.v2/t20
#: name: Figure 5a WW WH Observed Lines
#: description: Observed exclusion limits assuming the approximate-NLO+NLL cross sections
#: data_file: figure_5a_ww_wh_observed_lines.yaml
#: keyword cmenergies: 13000
#: keyword observables: Cross-section
#: keyword phrases: Supersymmetry | SUSY
m(NSLP) [GeV],max m(LSP) [GeV] excluded
209.35,0.5
207.0,14.575
206.76,21.311
209.31,28.719
215.15,36.218
223.71,43.549
233.72,50.264
244.99,56.786
256.2,63.525
266.19,70.683
275.57,77.982
284.79,85.592
293.73,93.215
302.92,100.53
312.56,107.85
322.76,115.08
333.38,122.61
344.14,129.88
354.99,137.21
365.64,144.01
375.71,150.1
385.3,155.51
394.21,160.36
402.84,164.96
411.06,169.22
419.32,173.35
427.77,177.5
436.24,181.71
445.12,185.95
454.36,190.54
464.03,195.63
474.07,201.2
484.67,207.18
495.7,213.26
507.17,219.32
518.77,225.31
530.16,230.83
540.85,235.87
550.48,240.44
558.92,244.19
566.32,246.85
572.97,248.58
579.0,249.3
584.58,249.36
590.42,249.62
596.64,250.5
603.65,252.68
612.05,256.27
621.71,260.99
632.68,266.42
644.6,271.97
656.88,277.0
669.35,281.44
681.37,285.26
692.65,288.44
703.55,291.37
714.32,294.16
724.87,296.8
735.97,298.98
747.26,300.57
758.64,301.42
770.16,301.66
781.2,301.32
791.96,300.66
802.3,299.8
812.49,298.33
822.78,295.83
833.42,292.11
844.01,286.78
854.52,279.73
864.58,271.36
873.5,262.4
881.2,253.63
887.63,245.49
893.14,237.69
898.14,230.25
903.1,222.49
908.15,213.58
913.42,203.56
918.75,192.42
923.71,180.43
928.15,168.02
932.13,155.68
935.68,143.85
938.9,133.09
941.88,123.19
944.41,114.16
946.58,106.08
947.96,98.627
948.54,91.587
948.65,84.696
948.69,77.793
949.12,70.271
950.2,62.002
951.91,52.759
954.07,42.951
956.38,32.999
958.33,23.544
959.87,0.5
