#: table_doi: 10.17182/hepdata.127766.v2/t18
#: name: Figure 5a WW WZ Observed Lines
#: description: Observed exclusion limits assuming the approximate-NLO+NLL cross sections
#: data_file: figure_5a_ww_wz_observed_lines.yaml
#: keyword cmenergies: 13000
#: keyword observables: Cross-section
#: keyword phrases: Supersymmetry | SUSY
m(NSLP) [GeV],max m(LSP) [GeV] excluded
195.74,0.5
201.3,16.486
208.48,24.155
217.23,32.88
226.99,42.15
237.64,51.685
248.67,61.184
259.43,70.258
270.63,79.705
281.29,88.693
291.64,97.429
301.86,105.98
311.76,114.18
321.17,121.77
330.53,128.83
339.4,135.26
348.33,141.07
357.18,146.56
365.51,151.45
374.18,156.57
382.96,161.85
391.84,167.09
401.26,172.33
411.34,177.42
421.9,182.42
433.29,187.69
445.04,193.55
457.28,200.07
469.78,207.5
482.03,215.21
494.0,222.86
505.46,230.05
516.72,236.98
527.51,243.54
538.38,250.14
549.26,257.05
560.31,264.18
571.54,271.32
582.54,278.0
593.0,284.05
603.58,289.56
614.1,294.83
624.47,299.84
635.06,304.98
645.55,310.04
656.03,314.49
666.04,318.0
675.22,320.4
684.21,322.01
693.39,323.09
702.4,323.92
712.14,324.76
722.66,325.01
733.46,324.36
744.12,321.73
754.52,316.93
764.3,310.24
773.28,302.29
781.26,294.04
788.45,285.97
795.15,278.05
801.25,270.16
806.88,262.21
812.56,252.86
817.95,242.69
822.84,231.56
827.44,219.8
831.81,207.64
835.76,195.61
839.24,184.29
842.41,173.34
845.37,162.95
848.28,152.61
850.93,142.36
853.52,131.51
856.05,119.84
858.55,107.38
860.7,94.319
862.56,81.012
864.06,67.557
865.17,54.649
865.96,42.215
866.39,30.995
866.69,7.4251
866.92,0.5
