#: table_doi: 10.17182/hepdata.145758.v1/t31
#: name: Table 31
#: description: Observed 95\% CL exclusion limits on the simplified models of $\tilde{\chi}_1^{+}\tilde{\chi}_1^{-}$ production decaying via staus.

#: data_file: c1c1_obs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> chargino pair decaying via staus
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
MASS CHARGINO-1 [GeV],MASS NEUTRALINO-1 [GeV]
156.78,0.0
168.64,19.46
178.25,37.0
206.14,69.55
211.43,75.0
243.65,101.58
256.87,113.01
281.15,131.83
303.95,151.01
318.65,163.55
351.14,189.01
356.15,193.54
393.42,227.01
393.66,227.3
431.16,259.02
439.54,265.02
468.66,287.83
491.67,303.02
506.17,314.04
543.67,339.64
545.82,341.02
581.17,362.64
609.76,379.03
618.68,384.32
656.18,404.81
682.11,417.03
693.68,422.95
731.18,435.37
768.69,442.41
806.19,442.92
843.69,432.31
872.08,417.03
881.2,410.09
910.93,379.03
918.7,366.58
932.24,341.02
945.95,303.02
954.8,265.02
956.2,255.99
960.63,227.01
964.26,189.01
966.22,151.01
967.6,113.01
968.34,75.0
968.6,37.0
968.27,0.0

