#: table_doi: 10.17182/hepdata.145758.v1/t35
#: name: Table 35
#: description: Observed 95\% CL exclusion limits on the simplified models of $\tilde{\chi}_1^{\pm}\tilde{\chi}_2^0$ production decaying via staus (parameterised as $m(\tilde{\chi}_1^{\pm}/\tilde{\chi}_2^0)$ and $m(\tilde{\chi}_1^0)$).

#: data_file: fig_14bobs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> chargino-neutralino decaying via staus
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
MASS STAU-LR [GeV],MASS NEUTRALINO-1 [GeV]
1173.2,0.0
1170.7,15.2
1168.8,30.3
1167.3,45.5
1166.6,54.1
1166.2,60.6
1165.2,75.8
1164.4,90.9
1163.7,106.1
1163.1,121.2
1162.4,136.4
1161.7,151.5
1160.9,166.7
1160.0,181.8
1159.3,197.0
1158.7,212.1
1158.2,227.3
1157.7,242.4
1157.2,257.6
1156.5,272.7
1155.6,287.9
1154.7,303.1
1153.8,318.2
1152.7,333.4
1151.5,348.5
1151.5,348.6
1150.1,363.7
1148.4,378.8
1146.5,394.0
1144.5,409.1
1142.5,424.3
1140.1,439.4
1137.4,454.6
1136.3,459.2
1134.1,469.7
1130.1,484.9
1125.5,500.0
1121.2,512.7
1120.4,515.2
1114.7,530.3
1108.0,545.5
1106.0,549.3
1099.9,560.7
1090.9,574.5
1090.0,575.8
1077.7,591.0
1075.7,593.2
1061.6,606.1
1060.6,606.9
1045.4,616.2
1033.1,621.3
1030.3,622.2
1015.1,625.5
1000.0,626.5
984.8,625.6
969.7,623.7
954.5,621.3
954.2,621.3
939.3,618.6
924.2,615.7
909.0,612.5
893.9,607.2
892.0,606.1
878.7,597.2
868.2,591.0
863.6,588.2
848.4,580.5
837.6,575.8
833.3,573.9
818.1,567.7
803.0,561.0
802.4,560.7
787.8,551.2
780.5,545.5
772.7,539.4
761.3,530.3
757.5,527.5
742.4,516.0
741.3,515.2
727.2,505.5
718.7,500.0
712.1,495.8
696.9,485.2
696.5,484.9
681.8,474.1
675.5,469.7
666.6,463.9
651.4,454.7
651.4,454.6
636.3,442.3
632.8,439.4
621.1,430.4
612.6,424.3
606.0,420.1
590.8,409.6
590.2,409.1
575.7,397.1
571.6,394.0
560.5,386.7
545.4,379.4
544.1,378.8
530.2,371.4
520.9,363.7
515.1,357.7
508.1,348.5
499.9,341.9
485.5,333.4
484.8,332.9
469.6,320.7
467.0,318.2
454.5,304.2
453.4,303.1
439.3,292.4
434.1,287.9
424.2,280.7
414.1,272.7
409.0,268.9
393.9,258.2
393.0,257.6
378.7,247.5
371.9,242.4
363.5,236.2
350.5,227.3
348.4,226.0
333.2,215.6
328.3,212.1
318.1,205.3
307.3,197.0
302.9,193.8
287.8,182.4
287.1,181.8
272.6,170.2
267.7,166.7
257.5,159.7
245.7,151.5
242.3,148.9
227.2,138.2
223.9,136.4
212.0,128.8
202.9,121.2
196.9,117.7
181.7,108.1
177.9,106.1
166.6,100.7
151.8,90.9
151.4,90.6
136.3,76.7
135.4,75.8
121.1,65.1
112.9,60.6
105.9,57.7
90.8,55.4
75.6,53.5
60.5,47.9
55.6,45.5
45.3,38.9
32.7,30.3
30.2,28.0
15.0,15.7
14.3,15.2
-0.1,2.0

