#: table_doi: 10.17182/hepdata.145758.v1/t37
#: name: Table 37
#: description: Observed 95\% CL exclusion limits on the simplified models of $\tilde{\chi}_1^{\pm}\tilde{\chi}_2^0$ production decaying via staus (parameterised as $m(\tilde{\chi}_1^{\pm}/\tilde{\chi}_2^0)$ and $m(\tilde{\chi}_1^0)$) using the OS signal regions.

#: data_file: fig_14b_OSobs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> chargino-neutralino decaying via staus
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
MASS STAU-LR [GeV],MASS NEUTRALINO-1 [GeV]
1160.7,0.0
1159.2,15.2
1158.3,30.3
1157.8,45.5
1157.5,60.6
1157.3,75.8
1157.1,90.9
1156.7,106.1
1156.3,121.2
1155.7,136.4
1154.9,151.5
1154.0,166.7
1153.0,181.8
1152.1,197.0
1151.5,208.6
1151.3,212.1
1150.7,227.3
1150.2,242.4
1149.6,257.6
1148.8,272.7
1147.8,287.9
1146.8,303.1
1145.8,318.2
1144.7,333.4
1143.3,348.5
1141.7,363.7
1139.8,378.8
1137.7,394.0
1136.3,403.6
1135.6,409.1
1133.5,424.3
1131.2,439.4
1128.3,454.6
1124.8,469.7
1121.2,482.1
1120.4,484.9
1115.3,500.0
1110.1,515.2
1106.0,525.7
1104.3,530.3
1097.2,545.5
1090.9,556.4
1088.2,560.7
1076.6,575.8
1075.7,576.7
1060.6,590.8
1060.4,591.0
1045.4,600.5
1033.4,606.1
1030.3,607.3
1015.1,611.5
1000.0,613.5
984.8,613.3
969.7,612.1
954.5,610.6
939.3,608.9
924.2,607.4
910.5,606.1
909.0,606.0
893.9,599.6
881.6,591.0
878.7,588.8
863.6,579.3
856.6,575.8
848.4,571.9
833.3,565.7
819.5,560.7
818.1,560.2
803.0,553.9
790.7,545.5
787.8,543.3
773.1,530.3
772.7,530.0
757.5,517.0
755.4,515.2
742.4,505.4
734.3,500.0
727.2,495.5
712.1,486.5
709.7,484.9
696.9,476.5
687.3,469.7
681.8,466.3
666.6,457.4
661.3,454.6
651.4,448.8
639.9,439.4
636.3,436.5
621.1,424.5
620.9,424.3
606.0,413.9
599.7,409.1
590.8,402.2
581.1,394.0
575.7,389.6
560.5,379.8
558.6,378.8
545.4,372.2
532.1,363.7
530.2,362.1
516.9,348.5
515.1,346.7
500.3,333.4
499.9,333.1
484.8,321.6
481.1,318.2
469.6,307.5
465.3,303.1
454.5,293.3
448.6,287.9
439.3,280.6
431.6,272.7
424.2,266.7
411.0,257.6
409.0,256.0
393.9,244.2
391.8,242.4
378.7,232.2
371.6,227.3
363.5,221.7
348.7,212.1
348.4,211.9
333.2,199.2
331.1,197.0
318.1,185.9
313.3,181.8
302.9,174.2
292.9,166.7
287.8,162.9
273.3,151.5
272.6,150.9
257.5,138.8
254.8,136.4
242.3,125.6
237.7,121.2
227.2,112.5
218.1,106.1
212.0,101.1
199.9,90.9
196.9,88.3
182.4,75.8
181.7,75.2
166.6,62.0
165.1,60.6
151.7,45.5
151.4,45.2
136.3,35.8
126.9,30.3
121.1,26.6
105.9,20.1
96.1,15.2
90.8,10.0
78.3,0.0

