#: table_doi: 10.17182/hepdata.149530.v1/t10
#: name: Table 10
#: description: Observed 95% CL exclusion limits on the simplified models of chargino--neutralino production decaying via W and Z bosons.

#: data_file: fig_01b_obs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> chargino-1 neutralino-2
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
$m(\tilde{\chi}_{1}^{\pm}/\tilde{\chi}_{2}^{0})$ [GEV],$m(\tilde{\chi}_{1}^{0})$ [GEV]
90.0,88.5
90.8,89.3
100.6,98.9
101.2,99.5
109.3,107.5
112.4,110.6
115.5,113.6
120.1,118.1
123.6,121.5
125.7,123.5
131.1,128.7
134.8,132.3
135.8,133.3
139.9,137.2
143.6,140.7
146.1,143.1
150.1,147.0
157.3,154.0
159.9,156.5
168.5,164.9
172.2,168.6
179.7,175.9
185.2,181.3
190.9,186.9
197.3,193.1
202.1,197.8
207.5,203.0
213.3,208.6
215.4,210.6
221.6,216.4
224.5,219.1
227.1,221.5
231.7,225.7
235.4,229.0
235.8,229.3
238.4,231.5
240.3,232.9
241.3,233.3
241.2,232.6
240.1,230.9
237.7,227.8
235.8,225.5
234.3,223.7
230.2,218.8
225.6,213.3
224.5,212.0
221.5,208.3
218.5,204.3
218.0,202.8
221.6,205.3
224.5,207.5
227.3,209.8
234.0,215.2
235.8,216.6
241.4,221.2
247.0,225.5
247.9,226.2
254.3,230.9
258.2,233.8
261.1,236.0
268.9,241.9
269.4,242.3
276.4,247.4
280.6,250.2
282.8,251.7
288.1,254.7
291.8,255.9
291.9,256.0
294.5,255.9
295.0,253.6
293.6,249.1
292.3,244.5
293.2,241.8
296.7,241.5
300.2,240.9
303.0,239.6
303.2,239.5
305.6,237.2
306.2,232.7
305.7,226.8
303.0,219.6
302.1,217.3
298.9,207.8
303.0,206.8
305.4,207.5
314.2,213.9
325.5,221.0
327.0,221.9
336.7,228.4
347.9,236.1
351.7,238.8
359.1,244.1
370.3,252.0
379.5,258.2
381.5,259.5
392.7,266.8
403.7,273.4
403.9,273.5
415.2,280.0
424.9,284.9
426.4,285.7
437.6,290.6
442.8,292.4
448.8,294.9
460.0,300.3
463.4,301.9
471.2,305.4
482.4,310.0
484.2,310.7
493.6,314.3
504.8,318.5
505.1,318.7
516.1,323.8
527.3,328.8
530.3,330.0
538.5,333.7
549.7,338.7
558.3,343.2
560.9,344.5
572.1,350.1
583.3,355.1
588.4,357.3
594.5,359.9
605.8,364.6
617.0,369.0
617.4,369.1
628.2,373.3
639.4,378.2
649.6,382.9
650.6,383.3
661.8,387.6
673.0,391.4
680.5,394.0
684.2,395.1
695.5,398.6
706.7,401.0
709.0,401.2
717.9,401.7
729.1,401.7
732.2,401.6
740.3,400.9
751.5,399.4
754.1,398.9
762.7,397.9
773.9,397.4
779.9,398.4
785.2,398.9
796.4,400.9
807.6,399.8
809.2,399.3
818.8,394.7
829.4,389.1
830.0,388.7
841.2,381.0
849.1,376.1
852.4,373.3
863.6,366.4
872.5,364.4
874.8,363.5
886.1,364.0
897.3,366.4
907.2,361.4
908.5,360.5
919.7,348.7
926.8,340.5
930.9,334.2
942.1,317.1
944.2,314.3
953.3,297.2
960.9,284.3
964.5,276.2
975.8,253.1
977.1,250.2
987.0,222.9
991.0,210.2
998.2,175.6
1000.3,161.5
1006.3,105.2
1009.4,68.3
1011.6,43.6

