#: table_doi: 10.17182/hepdata.149530.v1/t16
#: name: Table 16
#: description: Observed 95% CL exclusion limits on the simplified models of chargino--neutralino production decaying via W and h bosons.

#: data_file: fig_01c_obs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> chargino-1 neutralino-2
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
$m(\tilde{\chi}_{1}^{\pm}/\tilde{\chi}_{2}^{0})$ [GEV],$m(\tilde{\chi}_{1}^{0})$ [GEV]
1014.2,0.5
1013.5,5.8
1013.0,11.0
1012.8,16.3
1012.7,21.5
1012.7,26.8
1012.9,32.0
1013.2,37.3
1013.6,42.5
1014.0,47.8
1014.5,53.0
1015.0,58.3
1015.5,63.5
1016.0,68.8
1016.4,73.6
1016.4,74.0
1016.8,79.3
1017.1,84.5
1017.3,89.8
1017.4,95.1
1017.4,100.3
1017.4,105.6
1017.2,110.8
1016.9,116.1
1016.6,121.3
1016.4,123.6
1016.1,126.6
1015.5,131.8
1014.8,137.1
1014.1,142.3
1013.2,147.6
1012.3,152.8
1011.3,158.1
1010.3,163.3
1009.1,168.6
1007.9,173.8
1006.6,179.1
1005.2,184.3
1005.1,184.7
1003.7,189.6
1002.1,194.8
1000.6,200.1
998.9,205.4
997.2,210.6
995.5,215.9
993.8,221.1
993.7,221.3
992.1,226.4
990.5,231.6
988.9,236.9
987.4,242.1
985.9,247.4
984.6,252.6
983.3,257.9
982.4,261.8
982.1,263.1
981.0,268.4
980.0,273.6
979.0,278.9
978.1,284.1
977.2,289.4
976.4,294.6
975.5,299.9
974.5,305.2
973.6,310.4
972.5,315.7
971.3,320.9
971.1,321.7
970.0,326.2
968.4,331.4
966.8,336.7
964.9,341.9
962.7,347.2
960.3,352.4
959.8,353.4
957.5,357.7
954.3,362.9
950.8,368.2
948.5,371.2
946.8,373.4
942.3,378.7
937.2,383.9
937.2,383.9
931.5,389.2
925.9,393.7
924.9,394.4
917.0,399.7
914.5,401.2
907.1,404.9
903.2,406.6
892.5,410.2
891.9,410.4
880.6,412.7
869.3,413.9
858.0,414.0
846.7,413.2
835.4,411.5
829.6,410.2
824.0,408.9
812.7,405.3
811.8,404.9
801.4,400.4
800.2,399.7
791.1,394.4
790.1,393.8
783.3,389.2
778.8,386.1
775.7,383.9
767.8,378.7
767.5,378.5
759.2,373.4
756.2,371.8
748.9,368.2
744.8,366.4
736.5,362.9
733.5,361.8
722.2,357.8
721.9,357.7
710.9,353.7
707.9,352.4
699.6,349.0
695.9,347.2
688.3,343.3
685.9,341.9
677.2,336.7
677.0,336.5
669.1,331.4
665.7,329.1
660.7,326.2
654.3,322.3
651.2,320.9
643.0,317.4
636.7,315.7
631.7,314.4
620.4,312.3
611.5,310.4
609.1,309.9
597.8,306.4
595.2,305.2
586.5,301.3
584.0,299.9
575.2,295.0
574.6,294.6
566.2,289.4
563.8,288.0
557.9,284.1
552.5,280.7
549.8,278.9
541.8,273.6
541.2,273.2
534.0,268.4
529.9,265.4
526.7,263.1
519.9,257.9
518.6,256.8
513.5,252.6
507.8,247.4
507.3,246.8
502.5,242.1
497.7,236.9
496.0,234.9
493.0,231.6
488.5,226.4
484.6,221.6
484.2,221.1
479.3,215.9
474.1,210.6
473.3,209.9
467.4,205.4
462.0,201.7
458.5,200.1
450.7,196.9
441.4,194.8
439.4,194.4
428.1,193.7
416.8,193.7
405.5,193.3
394.1,191.8
385.0,189.6
382.8,189.1
371.5,186.1
364.4,184.3
360.2,183.4
348.9,180.8
343.5,179.1
337.6,177.1
331.8,173.8
326.3,170.4
324.2,168.6
318.6,163.3
314.9,159.8
313.5,158.1
308.8,152.8
304.2,147.6
303.6,146.9
299.4,142.3
294.4,137.1
292.3,134.9
288.7,131.8
281.9,126.6
281.0,126.0
273.2,121.3
269.7,119.6
263.6,116.1
258.4,113.6
254.4,110.8
247.1,106.6
245.9,105.6
238.9,100.3
235.8,98.3
232.1,95.1
225.3,89.8
224.4,89.2
219.3,84.5
213.1,79.7
212.7,79.3
207.1,74.0
201.8,69.7
200.9,68.8
195.5,63.5
190.5,59.1
189.8,58.3
184.8,53.0
179.5,47.8
179.2,47.5
174.6,42.5
169.5,37.3
167.9,35.7
164.1,32.0
158.3,26.8
156.6,25.3
151.7,21.5
145.3,16.7
144.5,16.3
136.2,11.0
133.9,9.5
127.2,5.8
122.6,3.0
117.8,0.5

