#: table_doi: 10.17182/hepdata.79808.v1/t5
#: name: Figure 9a observed contour
#: description: Figure 9a (upper left). Observed exclusion region at 95% CL assuming 100% branching fraction.
#: data_file: SUS16050_Figure9a_T1tttt_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T1tttt | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
601.869324,381.036011
603.332214,382.498901
605.333557,384.500244
607.764648,386.931274
610.55658,389.723236
613.541687,392.708344
616.666687,395.833344
619.791687,398.958344
622.916687,402.083344
626.041687,405.208344
629.166687,408.333344
632.291687,411.458344
635.416687,414.583344
638.541687,417.708344
641.666687,420.833344
644.791687,423.958344
647.916687,427.083344
651.041687,430.208344
654.166687,433.333344
657.291687,436.458344
660.416687,439.583344
663.541687,442.708344
666.666687,445.833344
669.791687,448.958344
672.916687,452.083344
676.041687,455.208344
679.166687,458.333344
682.291687,461.458344
685.416687,464.583344
688.541687,467.708344
691.666687,470.833344
694.791687,473.958344
697.916687,477.083344
701.041687,480.208344
704.166687,483.333344
707.291687,486.458344
710.416687,489.583344
713.541687,492.708344
716.666687,495.833344
719.791687,498.958344
722.916687,502.083344
726.041687,505.208344
729.166687,508.333344
732.291687,511.458344
735.416687,514.583313
738.541687,517.708313
741.666687,520.833313
744.791687,523.958313
747.916687,527.083313
751.041687,530.208313
754.166687,533.333313
757.291687,536.458313
760.416687,539.583313
763.541687,542.708313
766.666687,545.833313
769.791687,548.958313
772.916687,552.083313
776.041687,555.208313
779.166687,558.333313
782.291687,561.458313
785.416687,564.583313
788.541687,567.708313
791.666687,570.833313
794.791687,573.958313
797.916687,577.083313
801.041687,580.208313
804.166687,583.333313
807.291687,586.458313
810.416687,589.583313
813.541687,592.708313
816.666687,595.833313
819.791687,598.958313
822.916687,602.083313
826.041687,605.208313
829.166687,608.333313
832.291687,611.458313
835.416687,614.583313
838.541687,617.708313
841.666687,620.833313
844.791687,623.958313
847.916687,627.083313
851.041687,630.208313
854.166687,633.333313
857.291687,636.458313
860.416687,639.583313
863.541687,642.708313
866.666687,645.833313
869.791687,648.958313
872.916687,652.083313
876.041687,655.208313
879.166687,658.333313
882.291687,661.458313
885.416687,664.583313
888.541687,667.708313
891.666687,670.833313
894.791687,673.958313
897.916687,677.083313
901.041687,680.208313
904.166687,683.333313
907.291687,686.458313
910.416687,689.583313
913.541687,692.708313
916.666687,695.833313
919.791687,698.958313
922.916687,702.083313
926.041687,705.208313
929.166687,708.333313
932.291687,711.458313
935.416687,714.583313
938.541687,717.708313
941.666687,720.833313
944.791687,723.958313
947.916687,727.083313
951.041687,730.208313
954.166687,733.333313
957.291687,736.458313
960.416687,739.583313
963.541687,742.708313
966.666687,745.833313
969.791687,748.958313
972.916687,752.083313
976.041687,755.208313
979.166687,758.333313
982.291687,761.458313
985.416687,764.583313
988.541687,767.708313
991.666687,770.833313
994.791687,773.958313
997.916687,777.083313
1001.041687,780.208313
1004.166687,783.333313
1007.291687,786.458313
1010.416687,789.583313
1013.541687,792.708313
1016.666687,795.833313
1019.93158,798.888367
1023.249695,801.81189
1026.735596,804.664062
1030.290283,807.34967
1033.953735,809.995422
1037.557983,812.582031
1041.122314,815.277283
1044.660156,817.971436
1048.17981,820.701782
1051.735596,823.414062
1055.290283,826.09967
1058.953735,828.745422
1062.557983,831.332031
1066.122314,834.027283
1069.660156,836.721436
1073.17981,839.451782
1076.735596,842.164062
1080.290283,844.84967
1083.953735,847.495422
1087.557983,850.082031
1091.122314,852.777283
1094.520264,855.541382
1097.84668,858.473267
1101.041626,861.458313
1104.166626,864.583313
1107.431519,867.638367
1110.749756,870.56189
1114.235596,873.414062
1117.790283,876.09967
1121.453735,878.745422
1125.057983,881.332031
1128.622314,884.027283
1132.020264,886.791382
1135.34668,889.723267
1138.541626,892.708313
1141.666626,895.833313
1144.931519,898.888367
1148.389648,901.741943
1152.208618,904.322632
1156.457275,906.463989
1161.244385,908.126099
1166.37085,909.319702
1171.743408,910.285095
1177.028076,911.162476
1182.084473,912.286011
1186.812256,913.678955
1191.253906,915.408813
1195.477295,917.36554
1199.664307,919.445312
1203.827393,921.51178
1207.970093,923.61908
1212.013672,925.77594
1215.850952,928.110352
1219.59021,930.611328
1223.17981,933.201782
1226.735596,935.914062
1230.290283,938.59967
1233.953735,941.245422
1237.557983,943.832031
1241.122314,946.527283
1244.660156,949.221436
1248.17981,951.951782
1251.735596,954.664062
1255.430298,957.279724
1259.286865,959.723999
1263.251953,962.03772
1267.385986,964.223694
1271.515381,966.307007
1275.682007,968.427612
1279.746094,970.54364
1283.682251,972.828491
1287.488037,975.221924
1291.122314,977.777283
1294.660156,980.471436
1298.17981,983.201782
1301.735596,985.914062
1305.290283,988.59967
1308.953735,991.245422
1312.557983,993.832031
1316.122314,996.527283
1319.660156,999.221436
1323.17981,1001.951782
1326.735596,1004.664062
1330.430298,1007.279724
1334.286865,1009.723999
1338.251953,1012.03772
1342.385986,1014.223694
1346.515381,1016.307007
1350.682007,1018.427612
1354.746094,1020.54364
1358.682251,1022.828491
1362.488037,1025.221924
1366.122314,1027.777344
1369.660156,1030.471436
1373.17981,1033.201782
1376.735596,1035.914062
1380.290283,1038.599731
1383.953735,1041.245483
1387.557983,1043.832031
1391.122314,1046.527344
1394.660156,1049.221436
1398.319702,1051.881836
1402.068726,1054.392578
1405.984253,1056.80542
1410.077393,1059.011841
1414.220093,1061.119141
1418.403687,1063.206055
1422.43396,1065.338867
1426.254272,1067.706909
1429.887329,1070.261108
1433.259766,1073.039673
1436.294434,1076.13562
1438.987305,1079.581543
1441.351807,1083.358521
1443.588257,1087.362305
1445.875244,1091.355469
1448.475098,1095.146973
1451.735229,1098.396362
1455.670166,1100.919067
1460.12915,1102.868164
1465.009399,1104.369507
1469.987427,1105.624634
1474.866333,1106.95459
1479.544556,1108.446655
1483.945435,1110.196899
1488.182007,1112.177612
1492.385986,1114.223755
1496.655273,1116.237061
1501.015137,1118.156128
1505.439941,1119.99939
1509.945923,1121.774902
1514.623169,1123.417603
1519.290771,1124.960205
1523.918579,1126.582397
1528.625977,1128.164795
1533.233276,1129.737549
1537.707642,1131.481689
1542.114502,1133.306763
1546.585327,1135.126953
1551.015137,1136.906128
1555.439941,1138.74939
1559.945923,1140.524902
1564.623169,1142.167603
1569.290771,1143.710205
1573.918579,1145.332397
1578.625977,1146.914795
1583.373169,1148.417603
1588.110718,1149.750366
1592.800049,1150.768066
1597.517212,1151.182129
1602.071411,1150.849121
1606.454102,1149.880981
1610.632812,1148.265747
1614.654663,1146.185913
1618.552124,1143.762085
1622.296265,1141.245483
1626.029663,1138.739624
1629.855835,1136.386963
1633.746094,1134.298706
1637.714844,1132.770386
1641.818604,1131.711914
1645.882935,1131.1073
1649.99646,1130.927612
1654.183472,1130.883179
1658.456421,1130.813232
1662.976562,1130.586182
1667.784058,1130.22168
1672.971924,1129.842529
1678.458008,1129.578003
1684.041992,1129.578003
1689.528076,1129.842529
1694.715942,1130.22168
1699.383545,1130.656128
1703.570679,1131.154663
1707.289551,1131.698975
1710.685913,1132.455566
1713.971313,1133.483887
1717.35083,1134.834717
1720.950195,1136.456909
1724.804199,1138.265259
1728.967285,1140.191895
1733.443115,1142.02771
1738.110718,1143.500366
