#: table_doi: 10.17182/hepdata.79808.v1/t8
#: name: Figure 9b observed contour
#: description: Figure 9b (upper right). Observed exclusion region at 95% CL.
#: data_file: SUS16050_Figure9b_T1ttbb_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T1ttbb | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
800.326416,574.216492
802.395142,578.555298
804.816833,582.481323
807.550415,586.104797
810.471313,589.473999
813.541687,592.708313
816.666687,595.833313
819.791687,598.958313
822.916687,602.083313
826.041687,605.208313
829.166687,608.333313
832.291687,611.458313
835.416687,614.583313
838.541687,617.708313
841.666687,620.833313
844.791687,623.958313
847.916687,627.083313
851.041687,630.208313
854.166687,633.333313
857.291687,636.458313
860.416687,639.583313
863.541687,642.708313
866.666687,645.833313
869.791687,648.958313
872.916687,652.083313
876.041687,655.208313
879.166687,658.333313
882.291687,661.458313
885.416687,664.583313
888.541687,667.708313
891.666687,670.833313
894.791687,673.958313
897.916687,677.083313
901.041687,680.208313
904.166687,683.333313
907.291687,686.458313
910.416687,689.583313
913.541687,692.708313
916.666687,695.833313
919.791687,698.958313
922.916687,702.083313
926.041687,705.208313
929.166687,708.333313
932.291687,711.458313
935.416687,714.583313
938.541687,717.708313
941.666687,720.833313
944.791687,723.958313
947.916687,727.083313
951.041687,730.208313
954.166687,733.333313
957.291687,736.458313
960.416687,739.583313
963.541687,742.708313
966.666687,745.833313
969.791687,748.958313
972.916687,752.083313
976.041687,755.208313
979.166687,758.333313
982.291687,761.458313
985.416687,764.583313
988.541687,767.708313
991.666687,770.833313
994.791687,773.958313
997.916687,777.083313
1001.041687,780.208313
1004.166687,783.333313
1007.291687,786.458313
1010.416687,789.583313
1013.541687,792.708313
1016.666687,795.833313
1019.791687,798.958313
1022.916687,802.083313
1026.041626,805.208313
1029.166626,808.333313
1032.291626,811.458313
1035.416626,814.583313
1038.541626,817.708313
1041.666626,820.833313
1044.791626,823.958313
1047.916626,827.083313
1051.041626,830.208313
1054.166626,833.333313
1057.291626,836.458313
1060.416626,839.583313
1063.541626,842.708313
1066.666626,845.833313
1069.791626,848.958313
1072.916626,852.083313
1076.041626,855.208313
1079.166626,858.333313
1082.291626,861.458313
1085.416626,864.583313
1088.541626,867.708313
1091.666626,870.833313
1094.791626,873.958313
1097.916626,877.083313
1101.041626,880.208313
1104.166626,883.333313
1107.291626,886.458313
1110.416626,889.583313
1113.541626,892.708313
1116.666626,895.833313
1119.791626,898.958313
1122.916626,902.083313
