#: table_doi: 10.17182/hepdata.79808.v1/t11
#: name: Figure 9c observed contour
#: description: Figure 9c (bottom left). Observed exclusion region at 95% CL assuming 100% branching fraction.
#: data_file: SUS16050_Figure9c_T5tttt_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T5tttt | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
800.326416,524.216492
802.395142,528.555298
804.816833,532.481323
807.550415,536.104797
810.471313,539.473999
813.541687,542.708313
816.666687,545.833313
819.791687,548.958313
822.916687,552.083313
826.041687,555.208313
829.166687,558.333313
832.291687,561.458313
835.416687,564.583313
838.541687,567.708313
841.666687,570.833313
844.791687,573.958313
847.916687,577.083313
851.041687,580.208313
854.166687,583.333313
857.291687,586.458313
860.416687,589.583313
863.541687,592.708313
866.666687,595.833313
869.791687,598.958313
872.916687,602.083313
876.041687,605.208313
879.166687,608.333313
882.291687,611.458313
885.416687,614.583313
888.541687,617.708313
891.666687,620.833313
894.791687,623.958313
897.916687,627.083313
901.041687,630.208313
904.166687,633.333313
907.291687,636.458313
910.416687,639.583313
913.541687,642.708313
916.666687,645.833313
919.791687,648.958313
922.916687,652.083313
926.041687,655.208313
929.166687,658.333313
932.291687,661.458313
935.416687,664.583313
938.541687,667.708313
941.666687,670.833313
944.791687,673.958313
947.916687,677.083313
951.041687,680.208313
954.166687,683.333313
957.291687,686.458313
960.416687,689.583313
963.541687,692.708313
966.666687,695.833313
969.791687,698.958313
972.916687,702.083313
976.041687,705.208313
979.166687,708.333313
982.291687,711.458313
985.416687,714.583313
988.541687,717.708313
991.666687,720.833313
994.791687,723.958313
997.916687,727.083313
1001.041687,730.208313
1004.166687,733.333313
1007.291687,736.458313
1010.416687,739.583313
1013.541687,742.708313
1016.666687,745.833313
1019.791687,748.958313
1022.916687,752.083313
1026.041626,755.208313
1029.166626,758.333313
1032.291626,761.458313
1035.416626,764.583313
