#: table_doi: 10.17182/hepdata.79808.v1/t14
#: name: Figure 9d observed contour
#: description: Figure 9d (bottom  right). Observed exclusion region at 95% CL.
#: data_file: SUS16050_Figure9d_T5ttcc_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T5ttcc | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
602.409729,481.576416
603.908508,483.075195
605.819702,484.986359
608.143677,487.310333
610.770203,489.936829
613.651001,492.817627
616.666687,495.833344
619.791687,498.958344
622.916687,502.083344
626.041687,505.208344
629.166687,508.333344
632.291687,511.458344
635.416687,514.583313
638.541687,517.708313
641.666687,520.833313
644.791687,523.958313
647.916687,527.083313
651.041687,530.208313
654.166687,533.333313
657.291687,536.458313
660.416687,539.583313
663.541687,542.708313
666.666687,545.833313
669.791687,548.958313
672.916687,552.083313
676.041687,555.208313
679.166687,558.333313
682.291687,561.458313
685.416687,564.583313
688.541687,567.708313
691.666687,570.833313
694.791687,573.958313
697.916687,577.083313
701.041687,580.208313
704.166687,583.333313
707.291687,586.458313
710.416687,589.583313
713.541687,592.708313
716.666687,595.833313
719.791687,598.958313
722.916687,602.083313
726.041687,605.208313
729.166687,608.333313
732.291687,611.458313
735.416687,614.583313
738.541687,617.708313
741.666687,620.833313
744.791687,623.958313
747.916687,627.083313
751.041687,630.208313
754.166687,633.333313
757.291687,636.458313
760.416687,639.583313
763.541687,642.708313
766.666687,645.833313
769.791687,648.958313
772.916687,652.083313
776.041687,655.208313
779.276001,658.278687
782.535889,661.254272
785.915161,664.191956
789.342712,667.005005
792.880493,669.777039
796.527161,672.404907
800.229553,674.968079
803.961853,677.492981
807.701294,680.00354
811.426392,682.52124
815.222534,685.014221
818.979553,687.468079
822.711853,689.992981
826.451294,692.50354
830.176392,695.02124
833.86322,697.568848
837.485352,700.17218
841.072693,702.829712
844.64447,705.502747
848.21106,708.186157
851.897339,710.809692
855.624695,713.322937
859.416382,715.818115
863.286438,718.218872
867.177185,720.578064
871.026489,722.958069
874.781311,725.416382
878.408691,727.993652
881.900269,730.706848
885.321899,733.522888
888.731201,736.363586
892.165161,739.191956
895.592712,742.005005
899.130493,744.777039
902.667908,747.459534
906.235352,750.17218
909.713379,752.884338
913.150269,755.706848
916.571899,758.522888
919.981201,761.363586
923.415161,764.191956
926.842712,767.005005
930.380493,769.777039
933.917908,772.459534
937.376099,775.226807
940.719177,778.08844
944.011047,781.043579
947.155762,784.076782
950.271667,787.232544
953.341492,790.378784
956.436768,793.563232
959.621216,796.658508
962.87677,799.673645
966.276733,802.58551
969.699097,805.393433
973.21106,808.186157
976.897339,810.809692
980.624695,813.322937
984.416382,815.818115
988.286438,818.218872
992.177185,820.578064
996.026489,822.958069
999.671997,825.471008
1003.16449,828.197754
1006.401794,831.098206
1009.41156,834.280823
1012.273193,837.623901
1015.040466,841.082092
1017.832275,844.56488
1020.739197,847.953247
1023.80658,851.19342
1027.156128,854.206177
1030.679321,856.963684
1034.416382,859.568115
1038.286377,861.968872
1042.177124,864.328064
1046.135742,866.653381
1050.025513,868.96228
1053.907227,871.352295
1057.701294,873.75354
1061.426392,876.27124
1065.113281,878.818848
1068.735352,881.42218
1072.213379,884.134338
1075.650269,886.956848
1078.962646,889.827515
1082.237061,892.817627
1085.416626,895.833313
1088.541626,898.958313
1091.666626,902.083313
1094.791626,905.208313
1098.026001,908.278687
1101.285889,911.254272
1104.665161,914.191956
1108.092651,917.005005
1111.630493,919.777039
1115.167847,922.459534
1118.735352,925.17218
1122.213379,927.884338
1125.650269,930.706848
1128.962646,933.577515
1132.237061,936.567627
1135.416626,939.583313
1138.541626,942.708313
1141.721313,945.669373
1144.831787,948.236755
1147.859741,950.227661
1150.691162,951.349854
1153.324951,951.513
1155.779907,950.65271
1158.159058,948.914307
1160.565308,946.524475
1163.178467,943.773193
1166.067993,940.95874
1169.440063,938.382507
1173.285278,936.120728
1177.570923,934.310669
1182.282715,932.890015
1187.324341,931.776367
1192.639893,930.92627
1198.174561,930.261353
1203.758423,929.816833
1209.375,929.684143
1214.991577,929.816833
1220.466187,930.31604
1225.756592,931.184998
1230.682983,932.371887
1235.2771,933.930054
1239.627075,935.756897
1243.720825,937.821594
1247.657227,940.102295
1251.451294,942.50354
1255.176392,945.02124
1258.863281,947.568848
1262.485352,950.17218
1266.072632,952.829712
1269.644409,955.502747
1273.21106,958.186157
1276.897339,960.809692
1280.624634,963.322937
1284.416382,965.818115
1288.395752,968.164185
1292.421387,970.374023
1296.525024,972.56665
1300.582275,974.713074
1304.622559,976.937378
1308.635742,979.153381
1312.634766,981.407593
1316.651367,983.648193
1320.699829,985.862122
1324.727417,988.067932
1328.827026,990.262573
1332.970947,992.368713
1337.13562,994.464478
1341.314697,996.537354
1345.495728,998.606323
1349.782104,1000.62262
1354.071289,1002.558472
1358.360107,1004.531982
1362.692383,1006.46521
1367.139282,1008.31781
1371.565063,1010.10675
1376.026123,1011.930969
1380.532837,1013.679443
1385.039185,1015.283691
1389.500732,1016.66394
1394.034912,1017.736328
1398.484741,1018.478271
1402.826172,1019.036377
1407.171997,1019.37262
1411.401733,1019.628418
1415.530273,1020.091064
1419.537109,1020.8573
1423.519775,1022.025574
1427.371216,1023.570251
1430.976685,1025.63501
1434.414551,1028.197754
1437.761108,1031.043579
1441.015015,1034.022095
1444.265869,1037.028442
1447.589966,1039.987427
1451.097168,1042.805298
1454.829224,1045.398193
1458.751465,1047.783447
1462.896484,1049.971069
1467.084595,1052.013184
1471.320923,1054.060791
1475.52771,1056.072388
1479.622559,1058.187378
1483.635742,1060.403442
1487.634766,1062.657593
1491.651367,1064.898193
1495.699829,1067.112061
1499.727417,1069.317993
1503.827026,1071.512573
1507.970947,1073.618774
1512.080933,1075.605103
1516.165161,1077.379272
1520.144409,1078.909546
1524.076538,1080.236328
1527.977783,1081.239746
1531.873901,1082.018311
1535.850342,1082.629395
1540.058594,1083.127808
1544.424927,1083.616699
1549.023804,1084.255981
1553.830566,1084.971313
1558.780273,1085.823364
1563.759521,1086.877441
1568.626831,1088.175781
1573.333862,1089.680908
1577.842407,1091.342041
1582.046021,1093.276123
1586.012085,1095.497437
1589.801392,1097.764404
1593.436035,1099.943726
1597.064331,1101.759888
1600.621704,1103.026489
1604.179199,1103.7229
1607.798218,1103.799438
1611.550171,1103.188721
1615.366821,1101.880737
1619.169067,1100.116699
1622.996948,1098.120239
1626.923706,1095.955688
1630.857666,1093.602661
1634.754761,1091.286987
1638.689087,1088.93396
1642.53125,1086.508667
1646.248779,1083.886475
1649.717163,1081.035156
1652.978027,1077.978027
1656.089722,1074.826538
1659.199951,1071.711548
1662.362793,1068.627441
1665.56958,1065.621948
1668.937134,1062.824951
1672.580566,1060.323364
1676.366943,1058.065796
1680.169678,1056.133911
1683.971924,1054.422485
1687.50769,1052.917847
1690.662109,1051.58374
1693.330933,1050.252441
1695.518188,1048.86499
1697.273071,1047.218384
1698.606201,1045.164673
1699.65686,1042.588257
1700.543701,1039.471924
1701.416992,1035.846313
1702.408325,1031.765259
1703.505249,1027.311401
1704.681396,1022.685852
1705.979004,1017.869568
1707.277832,1012.920471
1708.55127,1007.914246
1709.712646,1002.77301
1710.768677,997.579041
1711.877441,992.490417
1713.175781,987.623169
1714.680908,982.916138
1716.396606,978.516907
1718.480225,974.448181
1720.834106,970.627075
1723.372925,966.950745
1725.962036,963.270508
1728.407349,959.360718
1730.534424,955.129761
1732.305664,950.511169
1733.654297,945.466919
1734.564697,939.974854
1735.117798,934.225586
1735.56604,928.423828
1736.012207,922.617676
1736.511353,916.9245
1737.17627,911.389832
1738.026367,906.074341
1739.085327,900.923462
1740.247314,895.858093
1741.461914,890.829834
1742.738281,885.903687
1744.126953,881.059814
1745.562866,876.257935
1746.996582,871.414917
1748.431396,866.65448
1749.987793,861.973083
1751.568604,857.303894
1753.137207,852.610291
1754.626709,847.795166
1755.979004,842.869568
1757.223145,837.811218
1758.29248,832.56073
1759.117188,827.030273
1759.67395,821.279541
1760.06311,815.366272
1760.307373,809.320374
1760.416626,803.125
1760.416626,796.875
1760.471313,790.734314
1760.675415,784.728516
1761.012207,778.867676
1761.511353,773.1745
1762.17627,767.639832
1762.97168,762.215027
1763.881226,756.92926
1764.910522,751.718933
1765.962646,746.52301
1767.018677,741.329041
1768.072754,736.131104
1769.112427,730.9104
1770.07666,725.569946
1770.901855,720.115417
1771.617188,714.530273
1772.17395,708.779541
1772.56311,702.866272
1772.862061,696.929626
1773.175415,690.978516
1773.512207,685.117676
1774.011353,679.4245
1774.730957,673.999146
1775.730469,668.818542
1776.922119,663.812622
1778.246582,658.914917
1779.626709,654.045166
1780.979004,649.119568
1782.223145,644.061218
1783.29248,638.81073
1784.117188,633.280273
1784.67395,627.529541
1785.06311,621.616272
1785.307373,615.570374
1785.416626,609.375
1785.416626,603.125
1785.416626,596.875
1785.471313,590.734314
1785.675415,584.728516
1786.012207,578.867676
1786.511353,573.1745
1787.17627,567.639832
1787.97168,562.215027
1788.82666,556.819946
1789.651855,551.365417
1790.367188,545.780273
1790.92395,540.029541
1791.367798,534.225586
1791.81604,528.423828
1792.262207,522.617676
1792.761353,516.9245
1793.42627,511.389862
1794.22168,505.965027
1795.07666,500.569916
1795.901855,495.115417
1796.617188,489.530304
1797.17395,483.77951
1797.56311,477.866272
1797.862061,471.929657
1798.175415,465.978516
1798.512207,460.117706
1799.011353,454.42453
1799.67627,448.889862
1800.47168,443.465027
1801.32666,438.069916
1802.151855,432.615417
1802.867188,427.030304
1803.42395,421.27951
1803.81311,415.366272
1804.057373,409.320343
1804.166626,403.125
1804.166626,396.875
1804.166626,390.625
1804.166626,384.375
1804.166626,378.125
1804.221313,371.984314
1804.425415,365.978516
1804.762207,360.117706
1805.261353,354.42453
1805.92627,348.889862
1806.72168,343.465027
1807.57666,338.069916
1808.401855,332.615417
1809.117188,327.030304
1809.67395,321.27951
1810.06311,315.366272
1810.197998,309.375
1810.06311,303.383728
1809.67395,297.47049
1809.117188,291.719696
1808.401855,286.134583
1807.57666,280.680084
1806.72168,275.284973
1805.92627,269.860138
1805.261353,264.32547
1804.762207,258.632294
1804.425415,252.7715
1804.221313,246.765686
1804.057373,240.679657
1803.81311,234.633728
1803.42395,228.72049
1802.867188,222.969711
1802.151855,217.384598
1801.32666,211.930069
1800.47168,206.534958
1799.566895,201.164795
1798.657837,195.834213
1797.769409,190.477798
1796.875854,185.116211
1795.847168,179.829941
1794.723145,174.688812
1793.479004,169.630447
1792.126709,164.704865
1790.746582,159.835068
1789.422119,154.937378
1788.230469,149.931458
1787.230957,144.750839
1786.4021,139.380127
1785.658691,133.891037
1784.932739,128.366974
1784.171753,122.860405
1783.29248,117.439247
1782.223145,112.188805
1780.869751,107.185104
1779.273193,102.463593
1777.394531,97.985207
1775.269043,93.790825
1772.9729,89.786537
1770.482056,85.955276
1767.838745,82.308418
1765.085571,78.776749
1762.173706,75.376785
1759.158569,72.121185
1756.063232,68.936775
1752.878784,65.841484
1749.623169,62.82634
1746.33252,59.859833
1743.045044,56.902481
1739.678101,53.977123
1736.159424,51.191093
1732.590698,48.51215
1728.908813,45.886379
1724.959229,43.480915
1720.874146,41.300819
1716.639893,39.218033
1712.41687,37.230122
1708.214233,35.173431
1704.177612,33.04776
1700.38269,30.669685
1696.944824,27.997593
1693.951782,24.893036
1691.44043,21.482985
1689.379883,17.884865
1687.826416,14.260285
1686.770142,10.728445

