#: table_doi: 10.17182/hepdata.90834.v1/t2
#: name: Figure 11 (T1qqqq)
#: description: Exclusion limits at 95% CL for direct gluino pair production, where the gluinos decay to light-flavor quarks ($\tilde{g}\to q\bar{q}\tilde{\chi}_1^0$). Signal cross sections are calculated at approximately NNLO+NNLL order in $\alpha_S$, assuming unity branching fraction to $q\bar{q}\tilde{\chi}_1^0$. 

#: data_file: mt2_limits_T1qqqq.yaml
#: keyword reactions: P P --> GLUINO GLUINO | P P --> GLUINO GLUINO X | GLUINO --> QUARK QUARKBAR NEUTRALINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Gluino | Cross Section
#: $\sqrt{s}$,13 TeV
#: $\mathcal{L}_\mathrm{int}$,137 fb$^{-1}$
$m_\tilde{g}$ [GEV],$m_\mathrm{LSP}$ [GEV],Theory $\sigma$ [PB],error +,error -
600,0,11.3,0.9741,-0.9741
600,25,11.3,0.9741,-0.9741
600,50,11.3,0.9741,-0.9741
600,75,11.3,0.9741,-0.9741
600,100,11.3,0.9741,-0.9741
600,125,11.3,0.9741,-0.9741
600,150,11.3,0.9741,-0.9741
600,175,11.3,0.9741,-0.9741
600,200,11.3,0.9741,-0.9741
600,225,11.3,0.9741,-0.9741
600,250,11.3,0.9741,-0.9741
600,275,11.3,0.9741,-0.9741
600,300,11.3,0.9741,-0.9741
600,325,11.3,0.9741,-0.9741
600,350,11.3,0.9741,-0.9741
600,375,11.3,0.9741,-0.9741
600,400,11.3,0.9741,-0.9741
600,425,11.3,0.9741,-0.9741
600,450,11.3,0.9741,-0.9741
600,475,11.3,0.9741,-0.9741
600,500,11.3,0.9741,-0.9741
600,525,11.3,0.9741,-0.9741
600,550,11.3,0.9741,-0.9741
600,575,11.3,0.9741,-0.9741
625,0,8.81,0.777,-0.777
625,25,8.81,0.777,-0.777
625,50,8.81,0.777,-0.777
625,75,8.81,0.777,-0.777
625,100,8.81,0.777,-0.777
625,125,8.81,0.777,-0.777
625,150,8.81,0.777,-0.777
625,175,8.81,0.777,-0.777
625,200,8.81,0.777,-0.777
625,225,8.81,0.777,-0.777
625,250,8.81,0.777,-0.777
625,275,8.81,0.777,-0.777
625,300,8.81,0.777,-0.777
625,325,8.81,0.777,-0.777
625,350,8.81,0.777,-0.777
625,375,8.81,0.777,-0.777
625,400,8.81,0.777,-0.777
625,425,8.81,0.777,-0.777
625,450,8.81,0.777,-0.777
625,475,8.81,0.777,-0.777
625,500,8.81,0.777,-0.777
625,525,8.81,0.777,-0.777
625,550,8.81,0.777,-0.777
625,575,8.81,0.777,-0.777
625,600,8.81,0.777,-0.777
650,0,6.9,0.6224,-0.6224
650,25,6.9,0.6224,-0.6224
650,50,6.9,0.6224,-0.6224
650,75,6.9,0.6224,-0.6224
650,100,6.9,0.6224,-0.6224
650,125,6.9,0.6224,-0.6224
650,150,6.9,0.6224,-0.6224
650,175,6.9,0.6224,-0.6224
650,200,6.9,0.6224,-0.6224
650,225,6.9,0.6224,-0.6224
650,250,6.9,0.6224,-0.6224
650,275,6.9,0.6224,-0.6224
650,300,6.9,0.6224,-0.6224
650,325,6.9,0.6224,-0.6224
650,350,6.9,0.6224,-0.6224
650,375,6.9,0.6224,-0.6224
650,400,6.9,0.6224,-0.6224
650,425,6.9,0.6224,-0.6224
650,450,6.9,0.6224,-0.6224
650,475,6.9,0.6224,-0.6224
650,500,6.9,0.6224,-0.6224
650,525,6.9,0.6224,-0.6224
650,550,6.9,0.6224,-0.6224
650,575,6.9,0.6224,-0.6224
650,600,6.9,0.6224,-0.6224
650,625,6.9,0.6224,-0.6224
675,0,5.44,0.5021,-0.5021
675,25,5.44,0.5021,-0.5021
675,50,5.44,0.5021,-0.5021
675,75,5.44,0.5021,-0.5021
675,100,5.44,0.5021,-0.5021
675,125,5.44,0.5021,-0.5021
675,150,5.44,0.5021,-0.5021
675,175,5.44,0.5021,-0.5021
675,200,5.44,0.5021,-0.5021
675,225,5.44,0.5021,-0.5021
675,250,5.44,0.5021,-0.5021
675,275,5.44,0.5021,-0.5021
675,300,5.44,0.5021,-0.5021
675,325,5.44,0.5021,-0.5021
675,350,5.44,0.5021,-0.5021
675,375,5.44,0.5021,-0.5021
675,400,5.44,0.5021,-0.5021
675,425,5.44,0.5021,-0.5021
675,450,5.44,0.5021,-0.5021
675,475,5.44,0.5021,-0.5021
675,500,5.44,0.5021,-0.5021
675,525,5.44,0.5021,-0.5021
675,550,5.44,0.5021,-0.5021
675,575,5.44,0.5021,-0.5021
675,600,5.44,0.5021,-0.5021
675,625,5.44,0.5021,-0.5021
675,650,5.44,0.5021,-0.5021
700,0,4.32,0.4074,-0.4074
700,25,4.32,0.4074,-0.4074
700,50,4.32,0.4074,-0.4074
700,75,4.32,0.4074,-0.4074
700,100,4.32,0.4074,-0.4074
700,125,4.32,0.4074,-0.4074
700,150,4.32,0.4074,-0.4074
700,175,4.32,0.4074,-0.4074
700,200,4.32,0.4074,-0.4074
700,225,4.32,0.4074,-0.4074
700,250,4.32,0.4074,-0.4074
700,275,4.32,0.4074,-0.4074
700,300,4.32,0.4074,-0.4074
700,325,4.32,0.4074,-0.4074
700,350,4.32,0.4074,-0.4074
700,375,4.32,0.4074,-0.4074
700,400,4.32,0.4074,-0.4074
700,425,4.32,0.4074,-0.4074
700,450,4.32,0.4074,-0.4074
700,475,4.32,0.4074,-0.4074
700,500,4.32,0.4074,-0.4074
700,525,4.32,0.4074,-0.4074
700,550,4.32,0.4074,-0.4074
700,575,4.32,0.4074,-0.4074
700,600,4.32,0.4074,-0.4074
700,625,4.32,0.4074,-0.4074
700,650,4.32,0.4074,-0.4074
700,675,4.32,0.4074,-0.4074
725,0,3.45,0.3315,-0.3315
725,25,3.45,0.3315,-0.3315
725,50,3.45,0.3315,-0.3315
725,75,3.45,0.3315,-0.3315
725,100,3.45,0.3315,-0.3315
725,125,3.45,0.3315,-0.3315
725,150,3.45,0.3315,-0.3315
725,175,3.45,0.3315,-0.3315
725,200,3.45,0.3315,-0.3315
725,225,3.45,0.3315,-0.3315
725,250,3.45,0.3315,-0.3315
725,275,3.45,0.3315,-0.3315
725,300,3.45,0.3315,-0.3315
725,325,3.45,0.3315,-0.3315
725,350,3.45,0.3315,-0.3315
725,375,3.45,0.3315,-0.3315
725,400,3.45,0.3315,-0.3315
725,425,3.45,0.3315,-0.3315
725,450,3.45,0.3315,-0.3315
725,475,3.45,0.3315,-0.3315
725,500,3.45,0.3315,-0.3315
725,525,3.45,0.3315,-0.3315
725,550,3.45,0.3315,-0.3315
725,575,3.45,0.3315,-0.3315
725,600,3.45,0.3315,-0.3315
725,625,3.45,0.3315,-0.3315
725,650,3.45,0.3315,-0.3315
725,675,3.45,0.3315,-0.3315
725,700,3.45,0.3315,-0.3315
750,0,2.77,0.2715,-0.2715
750,25,2.77,0.2715,-0.2715
750,50,2.77,0.2715,-0.2715
750,75,2.77,0.2715,-0.2715
750,100,2.77,0.2715,-0.2715
750,125,2.77,0.2715,-0.2715
750,150,2.77,0.2715,-0.2715
750,175,2.77,0.2715,-0.2715
750,200,2.77,0.2715,-0.2715
750,225,2.77,0.2715,-0.2715
750,250,2.77,0.2715,-0.2715
750,275,2.77,0.2715,-0.2715
750,300,2.77,0.2715,-0.2715
750,325,2.77,0.2715,-0.2715
750,350,2.77,0.2715,-0.2715
750,375,2.77,0.2715,-0.2715
750,400,2.77,0.2715,-0.2715
750,425,2.77,0.2715,-0.2715
750,450,2.77,0.2715,-0.2715
750,475,2.77,0.2715,-0.2715
750,500,2.77,0.2715,-0.2715
750,525,2.77,0.2715,-0.2715
750,550,2.77,0.2715,-0.2715
750,575,2.77,0.2715,-0.2715
750,600,2.77,0.2715,-0.2715
750,625,2.77,0.2715,-0.2715
750,650,2.77,0.2715,-0.2715
750,675,2.77,0.2715,-0.2715
750,700,2.77,0.2715,-0.2715
750,725,2.77,0.2715,-0.2715
775,0,2.23,0.2226,-0.2226
775,25,2.23,0.2226,-0.2226
775,50,2.23,0.2226,-0.2226
775,75,2.23,0.2226,-0.2226
775,100,2.23,0.2226,-0.2226
775,125,2.23,0.2226,-0.2226
775,150,2.23,0.2226,-0.2226
775,175,2.23,0.2226,-0.2226
775,200,2.23,0.2226,-0.2226
775,225,2.23,0.2226,-0.2226
775,250,2.23,0.2226,-0.2226
775,275,2.23,0.2226,-0.2226
775,300,2.23,0.2226,-0.2226
775,325,2.23,0.2226,-0.2226
775,350,2.23,0.2226,-0.2226
775,375,2.23,0.2226,-0.2226
775,400,2.23,0.2226,-0.2226
775,425,2.23,0.2226,-0.2226
775,450,2.23,0.2226,-0.2226
775,475,2.23,0.2226,-0.2226
775,500,2.23,0.2226,-0.2226
775,525,2.23,0.2226,-0.2226
775,550,2.23,0.2226,-0.2226
775,575,2.23,0.2226,-0.2226
775,600,2.23,0.2226,-0.2226
775,625,2.23,0.2226,-0.2226
775,650,2.23,0.2226,-0.2226
775,675,2.23,0.2226,-0.2226
775,700,2.23,0.2226,-0.2226
775,725,2.23,0.2226,-0.2226
775,750,2.23,0.2226,-0.2226
800,0,1.81,0.1839,-0.1839
800,25,1.81,0.1839,-0.1839
800,50,1.81,0.1839,-0.1839
800,75,1.81,0.1839,-0.1839
800,100,1.81,0.1839,-0.1839
800,125,1.81,0.1839,-0.1839
800,150,1.81,0.1839,-0.1839
800,175,1.81,0.1839,-0.1839
800,200,1.81,0.1839,-0.1839
800,225,1.81,0.1839,-0.1839
800,250,1.81,0.1839,-0.1839
800,275,1.81,0.1839,-0.1839
800,300,1.81,0.1839,-0.1839
800,325,1.81,0.1839,-0.1839
800,350,1.81,0.1839,-0.1839
800,375,1.81,0.1839,-0.1839
800,400,1.81,0.1839,-0.1839
800,425,1.81,0.1839,-0.1839
800,450,1.81,0.1839,-0.1839
800,475,1.81,0.1839,-0.1839
800,500,1.81,0.1839,-0.1839
800,525,1.81,0.1839,-0.1839
800,550,1.81,0.1839,-0.1839
800,575,1.81,0.1839,-0.1839
800,600,1.81,0.1839,-0.1839
800,625,1.81,0.1839,-0.1839
800,650,1.81,0.1839,-0.1839
800,675,1.81,0.1839,-0.1839
800,700,1.81,0.1839,-0.1839
800,725,1.81,0.1839,-0.1839
800,750,1.81,0.1839,-0.1839
800,775,1.81,0.1839,-0.1839
825,0,1.47,0.152,-0.152
825,25,1.47,0.152,-0.152
825,50,1.47,0.152,-0.152
825,75,1.47,0.152,-0.152
825,100,1.47,0.152,-0.152
825,125,1.47,0.152,-0.152
825,150,1.47,0.152,-0.152
825,175,1.47,0.152,-0.152
825,200,1.47,0.152,-0.152
825,225,1.47,0.152,-0.152
825,250,1.47,0.152,-0.152
825,275,1.47,0.152,-0.152
825,300,1.47,0.152,-0.152
825,325,1.47,0.152,-0.152
825,350,1.47,0.152,-0.152
825,375,1.47,0.152,-0.152
825,400,1.47,0.152,-0.152
825,425,1.47,0.152,-0.152
825,450,1.47,0.152,-0.152
825,475,1.47,0.152,-0.152
825,500,1.47,0.152,-0.152
825,525,1.47,0.152,-0.152
825,550,1.47,0.152,-0.152
825,575,1.47,0.152,-0.152
825,600,1.47,0.152,-0.152
825,625,1.47,0.152,-0.152
825,650,1.47,0.152,-0.152
825,675,1.47,0.152,-0.152
825,700,1.47,0.152,-0.152
825,725,1.47,0.152,-0.152
825,750,1.47,0.152,-0.152
825,775,1.47,0.152,-0.152
825,800,1.47,0.152,-0.152
850,0,1.2,0.1264,-0.1264
850,25,1.2,0.1264,-0.1264
850,50,1.2,0.1264,-0.1264
850,75,1.2,0.1264,-0.1264
850,100,1.2,0.1264,-0.1264
850,125,1.2,0.1264,-0.1264
