#: table_doi: 10.17182/hepdata.91214.v4/t1
#: name: Exclusion contour from Fig.7a (Obs.)
#: description: Observed 95% CL exclusion contours in signal region Rpc2L0b on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay into the lightest neutralino via a two-steps cascade, $\tilde g \to q \bar{q}^{'} \tilde{\chi}_1^\pm$ followed by $\tilde{\chi}_1^\pm \to W^\pm \tilde{\chi}_2^0$ and $ \tilde{\chi}_2^0 \to Z \tilde{\chi}_1^0$.
#: data_file: exclusion_contour_from_fig.7a_(obs.).yaml
#: keyword observables: CLS
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering | SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO X
#: Region,Rpc2L0b
#: SQRT(S) [TeV],13
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
1598.6,100.0
1604.0,121.21
1606.1,128.8
1609.9,142.43
1615.6,163.64
1620.9,184.85
1625.5,206.06
1627.3,215.81
1629.4,227.28
1632.5,248.49
1634.8,269.7
1636.3,290.92
1637.2,312.13
1637.8,333.34
1638.3,354.56
1638.8,375.77
1639.7,396.98
1641.0,418.19
1642.7,439.41
1644.9,460.62
1647.5,481.83
1648.5,489.92
1650.3,503.05
1653.2,524.26
1656.0,545.47
1658.6,566.68
1660.8,587.9
1662.5,609.11
1663.6,630.32
1664.0,651.54
1663.5,672.75
1662.1,693.96
1659.9,715.17
1657.0,736.39
1653.8,757.6
1650.6,778.81
1648.5,793.86
1647.7,800.03
1645.4,821.24
1643.5,842.45
1641.7,863.67
1639.5,884.88
1636.4,906.09
1631.7,927.3
1627.3,941.5
1625.0,948.52
1615.3,969.73
1606.1,984.43
1601.3,990.94
1584.8,1008.1
1579.9,1012.2
1563.6,1022.5
1542.4,1031.3
1532.8,1033.4
1521.2,1035.5
1500.0,1036.4
1478.8,1034.6
1472.4,1033.4
1457.6,1030.6
1436.4,1024.7
1415.2,1017.3
1402.5,1012.2
1393.9,1008.8
1372.7,999.65
1353.4,990.94
1351.5,990.14
1330.3,980.83
1309.1,971.81
1304.0,969.73
1287.9,963.52
1266.7,956.03
1245.5,949.24
1242.9,948.52
1224.2,943.6
1203.0,938.73
1181.8,934.34
1160.6,930.1
1147.1,927.3
1139.4,925.78
1118.2,921.18
1097.0,915.23
1075.8,906.88
1074.1,906.09
1054.5,896.92
1035.4,884.88
1033.3,883.65
1012.1,869.25
1004.7,863.67

