#: table_doi: 10.17182/hepdata.93733.v1/t11
#: name: Exclusion Limits (Obs.) Gtt
#: description: Observed 95% confidence level limit for the Gtt signal grid.
#: data_file: exclusion_9ij50_Gtt_obs.yaml
#: keyword reactions: PP --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry | multijets | Gluino pair production | RPC
#: keyword cmenergies: 13000.0
#: SQRT(s) [GEV],13000.0
$m(\tilde{g})$ [GEV],$m(\tilde{\chi}_1^0)$ [GEV]
1815.3,101.0
1816.2,121.2
1816.8,141.4
1817.4,161.6
1817.8,181.8
1818.1,202.0
1818.3,222.2
1818.4,242.4
1818.3,262.6
1817.9,282.8
1817.3,303.0
1816.4,323.2
1815.3,343.4
1814.0,363.6
1812.8,383.8
1811.7,404.0
1810.9,424.2
1810.2,444.4
1809.6,464.6
1809.1,482.4
1809.0,484.8
1808.3,505.1
1807.5,525.3
1806.4,545.5
1805.0,565.7
1803.4,585.9
1801.6,606.1
1799.4,626.3
1797.0,646.5
1796.0,654.3
1794.3,666.7
1791.3,686.9
1787.8,707.1
1783.8,727.3
1782.8,731.6
1779.3,747.5
1774.1,767.7
1769.7,782.5
1768.1,787.9
1761.3,808.1
1756.6,820.2
1753.3,828.3
1744.0,848.5
1743.4,849.6
1732.8,868.7
1730.3,872.7
1718.9,888.9
1717.2,891.1
1704.0,905.8
1700.7,909.1
1690.9,917.6
1677.8,927.5
1675.1,929.3
1664.6,935.7
1651.5,942.6
1638.4,948.7
1636.7,949.5
1625.3,954.2
1612.1,959.1
1599.0,963.7
1585.9,968.0
1580.6,969.7
1572.7,972.2
1559.6,976.3
1546.5,980.2
1533.3,983.9
1520.2,987.2
1507.6,989.9
1507.1,990.0
1493.9,992.5
1480.8,994.0
1467.7,994.5
1454.5,993.7
1441.4,991.9
1433.0,989.9
1428.3,989.0
1415.2,985.2
1402.0,980.5
1388.9,974.8
1378.8,969.7
1375.8,968.3
1362.6,961.0
1349.5,953.0
1344.5,949.5
1336.4,944.3
1323.2,935.2
1315.5,929.3
1310.1,925.6
1297.0,915.8
1288.6,909.1
1283.8,905.6
1270.7,894.9
1264.0,888.9
1257.6,883.6
1244.4,871.7
1241.4,868.7
1231.3,859.3
1220.4,848.5
1218.2,846.4
1205.1,833.2
1200.3,828.3
1191.9,819.7
1180.7,808.1
1178.8,806.0
1165.7,792.1
1161.6,787.9
1152.5,778.0
1142.3,767.7
1139.4,764.4
1126.3,751.4
1121.9,747.5
1113.1,739.1
1100.0,728.2

