#: table_doi: 10.17182/hepdata.93733.v1/t5
#: name: Exclusion Limits (Obs.) Two-step
#: description: Observed 95% confidence level limit for the two-step signal grid.
#: data_file: exclusion_multibin_twostep_obs.yaml
#: keyword reactions: PP --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry | multijets | Gluino pair production | RPC
#: keyword cmenergies: 13000.0
#: SQRT(s) [GEV],13000.0
$m(\tilde{g})$ [GEV],$m(\tilde{\chi}_1^0)$ [GEV]
1000.0,770.3
1010,775.22
1020,780.15
1030,785.07
1040,790.0
1050,794.92
1060,799.84
1070,804.77
1080,809.69
1090,814.61
1100,819.54
1110,824.46
1120,829.39
1130,834.31
1140,839.23
1150,844.16
1157.6,847.9
1169.7,853.9
1180,858.67
1190,863.43
1200,868.2
1210,872.96
1220,877.73
1230,882.5
1240,887.26
1250,892.03
1260,896.79
1270,901.56
1280,906.32
1290,911.09
1300,915.86
1310,920.62
1320,925.39
1330,930.15
1340,934.92
1351.5,940.4
1363.6,946.1
1375.8,951.7
1387.9,957.2
1400.0,962.6
1412.1,967.9
1424.2,973.1
1425,973.1
1435,977.42
1445,981.74
1455,986.06
1465,990.38
1475,994.7
1485,999.02
1495,1003.34
1505,1007.66
1515,1011.98
1525,1016.3
1535,1020.62
1545,1024.94
1555,1029.26
1565,1033.58
1575,1037.9
1585,1042.22
1595,1046.54
1600.6,1048.7
1606.1,1050.1
1618.2,1053.2
1630.3,1055.9
1642.4,1058.4
1654.5,1060.5
1666.7,1062.3
1678.8,1063.6
1690.9,1064.4
1703.0,1064.8
1715.2,1064.6
1727.3,1063.7
1739.4,1062.3
1751.5,1060.0
1763.6,1057.0
1768.2,1055.6
1775.8,1053.0
1787.9,1048.0
1795.2,1044.4
1800.0,1041.9
1812.1,1034.5
1813.8,1033.3
1824.2,1025.5
1828.2,1022.2
1836.4,1014.8
1840.2,1011.1
1848.5,1002.3
1850.5,1000.0
1859.6,988.9
1860.6,987.6
1867.8,977.8
1872.7,970.6
1875.4,966.7
1882.3,955.6
1884.8,951.2
1888.8,944.4
1894.8,933.3
1897.0,929.1
1900.5,922.2
1905.9,911.1
1909.1,904.0
1910.9,900.0
1915.7,888.9
1920.1,877.8
1924.4,866.7
1928.4,855.6
1932.1,844.4
1935.7,833.3
1939.1,822.2
1942.3,811.1
1945.3,800.0
1948.2,788.9
1951.0,777.8
1953.6,766.7
1956.1,755.6
1958.5,744.4
1960.9,733.3
1963.1,722.2
1965.2,711.1
1967.2,700.0
1969.1,688.9
1970.9,677.8
1972.6,666.7
1974.2,655.6
1975.7,644.4
1977.1,633.3
1978.3,622.2
1979.5,611.1
1980.5,600.0
1981.5,588.9
1982.3,577.8
1983.1,566.7
1983.7,555.6
1984.3,544.4
1984.8,533.3
1985.1,522.2
1985.4,511.1
1985.6,500.0
1985.8,488.9
1985.9,477.8
1985.9,466.7
1985.9,455.6
1985.9,444.4
1985.8,433.3
1985.7,422.2
1985.7,411.1
1985.5,388.9
1985.5,377.8
1985.4,366.7
1985.3,355.6
1985.2,344.4
1985.1,333.3
1984.8,312.09
1984.6,297.95
1984.4,283.81
1984.2,269.67
1984,255.53
1983.8,241.39
1983.6,227.25
1983.4,213.12
1983.2,198.98
1983,184.84
1982.8,170.7
1982.6,156.56
1982.4,142.42
1982.2,128.28
1982,114.14
1981.8,100.0

