#: table_doi: 10.17182/hepdata.97041.v2/t15
#: name: Exclusion contour 1 (obs.)
#: description: Observed 95% CL exclusion contours for the gluino one-step x = 1/2 model.
#: data_file: limitsFigGGx12Obs.yaml
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
2198.43,50.07
2200.67,76.14
2202.22,102.21
2202.92,128.28
2202.74,154.34
2201.71,180.41
2200.99,206.48
2201.99,232.55
2202.36,258.62
2201.79,284.69
2200.25,310.76
2197.73,336.82
2194.28,362.89
2190.22,388.96
2187.89,415.03
2186.78,441.1
2185.03,467.17
2182.84,489.12
2182.45,493.24
2179.17,519.3
2175.14,545.37
2170.58,571.44
2166.15,597.51
2162.65,623.58
2159.19,649.65
2156.76,665.76
2155.29,675.72
2150.81,701.79
2145.61,727.86
2139.74,753.92
2133.33,779.99
2130.69,790.2
2126.57,806.06
2119.32,832.13
2111.24,858.2
2104.62,877.2
2102.11,884.27
2091.78,910.34
2079.85,936.4
2078.55,939.02
2066.35,962.47
2052.47,986.06
2050.93,988.54
2034.05,1014.61
2026.4,1026.1
2016.64,1040.68
2000.33,1063.35
1997.83,1066.75
1976.79,1092.82
1974.25,1095.71
1952.76,1118.88
1948.18,1123.44
1924.88,1144.95
1922.11,1147.34
1896.04,1167.88
1891.56,1171.02
1869.96,1185.44
1848.87,1197.09
1843.89,1199.91
1817.82,1213.05
1801.48,1223.16
1791.75,1229.32
1765.67,1245.67
1757.51,1249.23
1739.6,1255.87
1713.53,1260.14
1687.45,1255.92
1667.1,1249.23
1661.38,1247.79
1635.31,1239.76
1609.24,1231.7
1590.17,1223.16
1583.16,1220.1
1557.09,1204.35
1545.29,1197.09
1531.02,1188.78
1504.95,1173.96
1500.29,1171.02
1478.87,1158.98
1456.89,1144.95
1452.8,1142.51
1426.73,1126.02
1415.59,1118.88
1400.65,1109.47
1377.43,1092.82
1374.58,1090.86
1348.51,1069.56
1345.3,1066.75
1322.44,1047.46
1312.84,1040.68
1296.36,1026.57
1279.81,1014.61
1270.29,1005.75
1249.33,988.54
1244.22,983.49
1219.5,962.47
1218.15,961.18
1192.07,940.63
1185.72,936.4
1166.0,921.32
1150.57,910.34
1139.93,903.03
1113.85,889.89
1087.78,900.54
1081.78,910.34
1066.7,936.4
1061.71,940.75
1035.64,954.72
1009.56,954.36
983.49,953.76
957.42,942.16
952.65,936.4
931.35,920.07
920.38,910.34
905.27,901.19
889.85,884.27
879.2,872.71
863.88,858.2
853.13,844.86
843.19,832.13
827.05,816.65
816.67,806.06
800.98,796.92
782.33,779.99
774.91,769.33
758.28,753.92
748.84,739.84
736.85,727.86
722.76,710.05
714.08,701.79
704.86,675.72
696.69,654.75
695.03,649.65
677.02,623.58
670.62,618.48
644.54,604.64
618.47,600.34
592.4,597.98

