#: table_doi: 10.17182/hepdata.103065.v1/t45
#: name: Figure 10-a Observed Lines
#: description: The observed exclusion contour of the T1tttt simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$).
#: data_file: figure_10-a_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Gluino pair production | Top squark | Gluino | Dark Matter | SUSY | T1tttt
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQ NEUTRALINO
$m_{\tilde{g}}$ [GeV],$-1 \sigma$
1300.1,~
1301.9,~
1306.1,~
1313.8,~
1325.3,~
1341.6,~
1361.4,~
1383.7,~
1406.8,~
1430.1,~
1453.1,~
1474.7,~
1496.2,~
1518.6,~
1541.8,~
1564.8,~
1587.6,~
1609.3,~
1629.1,~
1646.9,~
1662.8,~
1677.9,~
1692.6,~
1707.9,~
1723.9,~
1740.0,~
1755.5,~
1770.9,~
1785.4,~
1799.9,~
1815.0,~
1830.9,~
1848.2,~
1865.8,~
1884.0,~
1902.2,~
1920.2,~
1937.5,~
1955.5,~
1974.6,~
1995.3,~
2018.1,~
2042.0,~
2067.1,~
2092.5,~
2116.5,~
2138.0,~
2156.0,~
2170.1,~
2180.8,~
2189.7,~
2197.5,~
2205.8,~
2214.8,~
2224.3,~
2233.6,~
2241.8,~
2248.2,~
2253.1,~
2256.3,~
2258.6,~
2260.6,~
2262.1,~
2262.9,~
2263.4,~
2263.6,~
2263.5,~
2263.2,~
2262.7,~
2262.0,~
2261.3,~
2260.1,~
2258.6,~
2256.9,~
2255.0,~
2252.9,~
2251.0,~
2249.5,~
2248.6,~
2248.1,~
2247.8,~
1260.6,~
1260.2,~
1261.6,~
1266.9,~
1276.5,~
1290.2,~
1307.2,~
1326.0,~
1345.1,~
1363.9,~
1382.9,~
1401.4,~
1420.7,~
1440.7,~
1461.3,~
1482.4,~
1503.3,~
1524.3,~
1545.9,~
1567.8,~
1589.7,~
1611.3,~
1632.0,~
1651.2,~
1669.3,~
1685.8,~
1701.3,~
1715.6,~
1729.4,~
1743.2,~
1757.7,~
1773.2,~
1789.5,~
1807.0,~
1824.7,~
1843.2,~
1861.8,~
1881.6,~
1901.8,~
1922.6,~
1942.8,~
1961.7,~
1978.6,~
1992.5,~
2004.8,~
2017.1,~
2030.5,~
2045.1,~
2061.6,~
2078.9,~
2095.7,~
2110.8,~
2123.5,~
2134.2,~
2142.9,~
2149.6,~
2156.0,~
2162.0,~
2167.8,~
2173.8,~
2179.4,~
2184.6,~
2189.5,~
2193.7,~
2197.7,~
2201.4,~
2204.5,~
2207.4,~
2209.5,~
2210.9,~
2211.6,~
2211.6,~
2211.1,~
2210.5,~
2209.8,~
2208.8,~
2207.6,~
2205.9,~
2203.8,~
2201.2,~
2198.3,~
2195.6,~
2193.1,~
2191.2,~
