#: table_doi: 10.17182/hepdata.103065.v1/t49
#: name: Figure 10-b Observed Lines
#: description: The observed exclusion contour of the T1ttbb simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$).
#: data_file: figure_10-b_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Gluino pair production | Top squark | Gluino | Dark Matter | SUSY | T1ttbb
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ BQ CHARGINO | GLUINO --> TQ TQ NEUTRALINO | GLUINO --> BQ BQ NEUTRALINO
$m_{\tilde{g}}$ [GeV],$-1 \sigma$
1472.8,~
1489.2,~
1511.2,~
1534.0,~
1554.1,~
1570.0,~
1584.7,~
1600.2,~
1617.9,~
1638.3,~
1659.2,~
1678.2,~
1695.0,~
1710.3,~
1727.3,~
1746.1,~
1769.0,~
1794.1,~
1818.3,~
1841.1,~
1860.4,~
1881.0,~
1903.6,~
1929.9,~
1958.9,~
1987.4,~
2014.3,~
2034.7,~
2050.1,~
2062.2,~
2074.2,~
2087.4,~
2100.8,~
2114.7,~
2128.1,~
2141.2,~
2154.3,~
2167.7,~
2181.3,~
2193.7,~
2204.1,~
2212.9,~
2220.9,~
2228.2,~
2234.1,~
2238.5,~
2242.3,~
2245.2,~
2247.1,~
2247.9,~
2247.5,~
2246.5,~
2245.2,~
2243.5,~
2240.5,~
2236.1,~
2230.9,~
2225.8,~
2220.8,~
2216.0,~
2211.3,~
2207.2,~
2204.0,~
2201.3,~
2198.9,~
2196.8,~
2195.1,~
2192.4,~
2187.7,~
2180.2,~
2171.4,~
2163.3,~
2155.2,~
2145.6,~
2132.4,~
2116.7,~
2101.9,~
2090.8,~
1433.0,~
1437.7,~
1445.8,~
1457.4,~
1473.8,~
1494.5,~
1518.1,~
1542.4,~
1565.2,~
1587.3,~
1608.0,~
1628.9,~
1649.1,~
1669.4,~
1690.9,~
1712.5,~
1733.8,~
1753.1,~
1769.8,~
1783.8,~
1797.8,~
1816.3,~
1839.9,~
1865.8,~
1890.8,~
1914.5,~
1938.3,~
1961.7,~
1983.5,~
2001.9,~
2018.0,~
2032.2,~
2043.4,~
2052.2,~
2061.5,~
2073.8,~
2088.9,~
2103.5,~
2117.1,~
2130.0,~
2143.0,~
2155.9,~
2166.7,~
2175.5,~
2181.9,~
2186.4,~
2189.7,~
2191.9,~
2193.2,~
2192.9,~
2191.3,~
2188.8,~
2186.2,~
2183.8,~
2181.1,~
2177.3,~
2172.4,~
2167.2,~
2162.7,~
2159.4,~
2157.4,~
2155.8,~
2153.8,~
2150.9,~
2146.6,~
2141.2,~
2135.2,~
2129.0,~
2122.8,~
2116.6,~
2108.8,~
2097.4,~
2082.3,~
2065.7,~
2051.9,~
2043.1,~
1486.3,1258.4
1495.8,1264.1
1510.1,1272.8
1528.5,1283.5
1548.8,1295.9
1568.8,1308.4
1588.6,1321.6
1607.0,1333.5
1623.8,1343.2
1640.0,1350.1
1656.2,1354.5
1674.6,1358.8
1695.1,1364.1
1716.3,1371.1
1736.8,1379.3
1754.7,1387.6
1770.6,1394.8
1786.2,1400.8
1803.0,1405.8
1822.7,1410.7
1844.3,1416.1
1867.6,1421.7
1892.0,1426.9
1916.3,1430.0
1940.8,1429.1
1963.1,1424.4
1984.9,1417.3
2005.8,1410.6
2029.1,1402.8
2053.9,1392.4
2080.2,1376.7
2106.7,1356.7
2131.1,1334.1
2153.1,1310.3
2170.4,1286.8
2185.1,1262.6
2197.7,1238.4
2211.1,1213.3
2225.6,1185.6
2240.6,1154.2
2254.4,1117.3
2265.4,1073.9
2273.1,1025.6
2277.8,975.68
2280.8,926.45
2283.1,876.42
2285.0,825.13
2286.4,771.05
2287.0,717.62
2287.0,665.36
2286.4,615.82
2285.1,567.51
2283.0,519.13
2280.0,472.3
2276.1,424.78
2271.7,379.17
2267.0,332.23
2262.4,283.99
2258.0,236.53
2254.1,195.35
2251.1,167.33
2248.6,149.89
2245.9,138.31
2242.3,125.14
2238.2,109.35
2234.0,93.88
2230.1,80.076
2225.9,68.487
2220.4,57.483
2213.8,47.633
2206.6,39.026
2198.7,31.824
2189.0,25.75
2176.7,20.125
2161.6,10.96
2146.5,7.2612
2133.8,0.0

$m_{\tilde{g}}$ [GeV],$+1 \sigma$
1472.8,~
1489.2,~
1511.2,~
1534.0,~
1554.1,~
1570.0,~
1584.7,~
1600.2,~
1617.9,~
1638.3,~
1659.2,~
1678.2,~
1695.0,~
1710.3,~
1727.3,~
1746.1,~
1769.0,~
1794.1,~
1818.3,~
1841.1,~
1860.4,~
1881.0,~
1903.6,~
1929.9,~
1958.9,~
1987.4,~
2014.3,~
2034.7,~
2050.1,~
2062.2,~
2074.2,~
2087.4,~
2100.8,~
2114.7,~
2128.1,~
2141.2,~
2154.3,~
2167.7,~
2181.3,~
2193.7,~
2204.1,~
2212.9,~
2220.9,~
2228.2,~
2234.1,~
2238.5,~
2242.3,~
2245.2,~
2247.1,~
2247.9,~
2247.5,~
2246.5,~
2245.2,~
2243.5,~
2240.5,~
2236.1,~
2230.9,~
2225.8,~
2220.8,~
2216.0,~
2211.3,~
2207.2,~
2204.0,~
2201.3,~
2198.9,~
2196.8,~
2195.1,~
2192.4,~
2187.7,~
2180.2,~
