#: table_doi: 10.17182/hepdata.103065.v1/t53
#: name: Figure 11 Observed Lines
#: description: The observed exclusion contour of the T5ttcc simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$). The expected and observed upper limits do not take into account contributions from direct top squark pair production; however, its effect is small for $m_{\tilde{\chi}^0_1} > 600 GeV$, which corresponds to the phase space beyond the exclusions based on direct top squark pair production. The excluded regions based on direct top squark pair production from this search and earlier searches are indicated by the hatched areas.
#: data_file: figure_11_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Gluino pair production | Top squark | Gluino | Dark Matter | SUSY | T5ttcc
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> STOP STOP | STOP --> CQ NEUTRALINO
$m_{\tilde{g}}$ [GeV],$-1 \sigma$
1129.1,~
1130.8,~
1133.8,~
1138.2,~
1145.6,~
1155.3,~
1166.1,~
1176.4,~
1185.3,~
1193.7,~
1201.4,~
1208.6,~
1216.2,~
1224.4,~
1233.5,~
1242.2,~
1250.4,~
1259.0,~
1267.9,~
1277.0,~
1284.8,~
1292.1,~
1299.5,~
1307.5,~
1315.6,~
1323.3,~
1331.0,~
1338.2,~
1345.8,~
1353.4,~
1361.6,~
1371.0,~
1381.2,~
1392.3,~
1403.1,~
1414.4,~
1425.4,~
1435.8,~
1444.7,~
1452.9,~
1462.7,~
1476.1,~
1493.8,~
1512.4,~
1529.0,~
1541.2,~
1552.4,~
1566.9,~
1587.5,~
1611.5,~
1635.2,~
1655.8,~
1675.8,~
1696.8,~
1719.7,~
1743.3,~
1766.8,~
1791.3,~
1815.5,~
1839.8,~
1863.7,~
1888.2,~
1914.3,~
1940.8,~
1966.2,~
1987.9,~
2006.1,~
2021.3,~
2033.5,~
2043.7,~
2051.7,~
2059.7,~
2067.9,~
2076.4,~
2083.8,~
2089.9,~
2095.5,~
2100.7,~
2105.6,~
2110.1,~
2114.8,~
2119.6,~
2124.5,~
2129.3,~
2134.3,~
2139.4,~
2144.4,~
2148.5,~
2151.5,~
2153.3,~
2153.5,~
2152.0,~
2149.0,~
2145.8,~
2142.2,~
2137.1,~
2129.5,~
2120.2,~
2108.5,~
2094.4,~
2075.5,~
2053.3,~
2029.3,~
2005.8,~
1983.5,~
1960.4,~
1937.9,~
1914.7,~
1893.6,~
1876.1,~
1828.9,~
1843.2,~
1863.4,~
1886.9,~
1910.6,~
1934.3,~
1957.3,~
1980.7,~
2003.3,~
2024.7,~
2045.7,~
2064.7,~
2081.9,~
2094.0,~
2101.1,~
2103.8,~
2104.4,~
2105.5,~
2106.5,~
2106.5,~
2104.8,~
2101.9,~
2098.9,~
2096.2,~
2093.7,~
2090.7,~
2087.1,~
2082.4,~
2076.4,~
2069.5,~
2062.5,~
2056.4,~
2051.2,~
2046.4,~
2040.8,~
2034.0,~
2026.3,~
2018.2,~
2009.8,~
2001.4,~
1991.5,~
1980.7,~
1969.9,~
1959.3,~
1947.7,~
1931.3,~
1910.4,~
1887.2,~
1864.5,~
1844.6,~
1827.1,~
1812.1,~
1798.4,~
1785.2,~
1772.1,~
1757.0,~
1739.9,~
1718.8,~
1694.4,~
1667.7,~
1641.5,~
1617.7,~
1595.9,~
1577.0,~
1558.4,~
1540.2,~
1522.5,~
1506.2,~
1491.3,~
1475.5,~
1459.4,~
1444.1,~
1432.6,~
1424.7,~
1417.8,~
1409.2,~
1398.6,~
1386.5,~
1374.7,~
1364.0,~
1353.5,~
1343.8,~
1334.6,~
1326.0,~
1317.8,~
1309.8,~
1302.4,~
1295.3,~
1287.3,~
1278.0,~
1267.4,~
1258.7,~
1251.7,~
1245.2,~
1237.8,~
1229.4,~
1221.5,~
1213.6,~
1206.1,~
1198.1,~
1189.7,~
1180.5,~
1169.7,~
1157.8,~
1146.1,~
1135.1,~
1125.7,~
1118.2,~
1113.4,~
1111.2,~
1139.0,1030.9
1144.0,1035.3
1148.7,1039.1
1151.3,1040.6
1152.7,1040.6
1155.0,1041.3
1160.1,1044.6
1168.7,1050.7
1178.9,1058.2
1188.7,1065.6
1196.8,1071.7
1203.5,1076.5
1210.9,1081.3
1219.4,1087.1
1229.2,1094.5
1239.2,1102.2
1249.2,1109.0
1259.3,1114.0
1268.4,1117.4
1276.1,1120.5
1282.3,1124.3
1288.9,1129.9
1296.7,1137.1
1305.2,1145.5
1313.5,1154.1
1320.6,1161.7
1327.4,1168.1
1334.2,1173.2
1341.9,1177.6
1350.2,1182.2
1358.8,1187.4
1368.0,1194.4
1377.4,1202.9
1387.9,1212.1
1398.7,1220.6
1410.2,1228.1
1421.9,1235.6
1432.6,1243.2
1443.3,1251.3
1453.1,1258.8
1464.0,1265.9
1476.4,1272.2
1490.4,1278.9
1504.9,1286.3
1518.8,1294.2
1533.2,1302.6
1548.8,1310.6
1567.2,1319.6
1588.1,1329.9
1609.4,1341.2
1630.5,1351.7
1650.6,1360.1
1670.6,1366.9
1691.6,1373.2
1712.6,1379.4
1735.1,1384.9
1757.2,1389.2
1778.4,1392.3
1797.7,1395.6
1814.5,1399.1
1830.7,1403.5
1847.1,1408.3
1866.6,1412.6
1889.4,1415.4
1917.0,1415.2
1949.4,1410.9
1984.2,1401.0
2017.2,1385.5
2043.2,1364.8
2061.2,1341.3
2072.9,1313.7
2082.6,1283.1
2092.1,1252.0
2100.1,1224.7
2106.8,1199.9
2112.9,1170.2
2119.5,1130.4
2126.4,1081.5
2132.8,1030.4
2138.8,984.49
2144.2,947.68
2148.9,921.03
2152.4,898.95
2155.4,874.1
2158.7,837.87
2162.7,788.79
2167.1,733.64
2171.9,676.12
2176.7,621.8
2181.7,566.27
2186.0,513.46
2189.5,459.79
2191.8,407.95
2193.1,361.45
2193.1,318.16
