#: table_doi: 10.17182/hepdata.116034.v1/t46
#: name: Figure 16a Observed Limit
#: description: Expected and observed exclusion contours derived from the combination of all of the Strong search SRs for the $\tilde{g}$--$	ilde{\ell}$ (top-left), $\tilde{g}$--$Z$ (top-right), and $\tilde{s}--Z$ (bottom) models. The dashed line indicates the expected limits at 95\% CL and the surrounding band shows the $1\sigma$ variation of the expected limit as a consequence of the uncertainties in the background prediction and experimental uncertainties of the signal ($\pm1\sigma_\mathrm{exp}$). The red dotted lines surrounding the observed limit contours indicate the variation resulting from changing the signal cross-section within its uncertainty ($\pm1\sigma_\mathrm{theory}^\mathrm{SUSY}$). The grey-shaded area indicates the observed limits on these models from Ref. [23].
#: data_file: figure_16a_observed_limit.yaml
#: keyword phrases: SUSY | Supersymmetry | proton-proton scattering
#: keyword observables: CLs
#: keyword cmenergies: 13000
Gluino Mass [GeV],LSP mass [GeV]
605.2,557.58
618.18,563.23
636.36,572.49
651.24,581.82
654.55,584.08
667.84,594.81
667.86,594.79
667.88,594.76
654.55,582.88
668.87,595.64
670.82,597.22
672.73,597.24
670.64,597.21
670.69,597.26
670.63,597.21
670.15,597.21
672.73,599.45
679.23,606.06
690.91,619.57
699.42,630.3
709.09,643.36
717.19,654.55
727.27,667.93
735.58,678.79
745.45,690.34
756.59,703.03
758.94,705.44
758.11,703.03
759.87,708.14
759.87,708.14
760.04,708.65
760.04,708.65
760.65,709.27
760.69,709.25
760.72,709.22
760.76,709.18
760.78,709.15
760.0,708.28
763.64,712.3
763.71,712.38
763.72,712.39
766.11,714.79
767.18,715.86
767.14,715.88
767.1,715.92
767.07,715.95
767.04,715.99
777.93,727.27
770.01,719.07
769.97,719.09
769.94,719.12
769.9,719.16
769.87,719.19
777.19,727.27
766.01,714.93
765.91,714.82
763.66,712.49
763.64,712.47
760.04,708.65
760.04,708.65
760.28,709.34
763.64,712.96
765.45,714.87
765.14,714.91
776.74,727.27
781.82,732.3
786.95,737.41
789.66,740.11
799.16,749.56
800.0,750.4
801.15,751.52
818.18,768.14
826.14,775.76
836.36,786.07
850.54,800.0
854.55,804.18
870.21,820.01
872.73,822.55
874.43,824.24
875.25,825.06
875.25,825.06
890.91,840.87
895.22,845.25
898.4,848.48
909.09,859.03
915.25,865.22
915.3,865.0
915.24,865.25
918.89,869.3
921.99,872.73
927.27,877.97
945.33,896.97
945.45,897.08
963.64,915.07
969.61,921.21
981.82,933.18
994.13,945.45
1000.0,951.38
1018.2,969.62
1018.3,969.7
1036.4,988.04
1042.3,993.94
1054.5,1006.6
1066.1,1018.2
1072.7,1025.0
1090.3,1042.4
1090.9,1043.1
1109.1,1060.2
1116.0,1066.7
1127.3,1076.8
1143.2,1090.9
1145.5,1092.9
1163.6,1108.1
1172.3,1115.2
1181.8,1123.2
1200.0,1138.1
1201.7,1139.4
1210.0,1146.6
1211.1,1148.5
1218.2,1155.1
1227.0,1163.6
1236.4,1173.5
1250.0,1187.9
1254.5,1193.0
1272.1,1212.1
1272.7,1212.8
1290.9,1231.2
1296.5,1236.4
1309.1,1247.6
1326.0,1260.6
1327.3,1261.6
1345.5,1272.9
1363.6,1282.2
1370.0,1284.8
1381.8,1290.1
1400.0,1297.2
1418.2,1304.1
1430.9,1309.1
1436.4,1311.8
1454.5,1321.6
1472.7,1332.3
1474.5,1333.3
1490.9,1346.1
1507.7,1357.6
1509.1,1358.8
1527.3,1370.0
1545.5,1376.3
1563.6,1378.6
1581.8,1378.4
1600.0,1376.9
1618.2,1374.7
1636.4,1372.4
1654.5,1370.2
1672.7,1368.1
1690.9,1366.1
1709.1,1363.9
1727.3,1361.3
1745.5,1358.1
1747.6,1357.6
1763.6,1353.8
1781.8,1347.9
1800.0,1340.2
1812.4,1333.3
1818.2,1329.9
1836.4,1316.5
1844.8,1309.1
1854.5,1299.5
1867.5,1284.8
1872.7,1278.2
1885.3,1260.6
1890.9,1251.7
1900.1,1236.4
1909.1,1219.6
1913.0,1212.1
1924.3,1187.9
1927.3,1180.8
1934.5,1163.6
1943.5,1139.4
1945.5,1133.4
1951.6,1115.2
1958.6,1090.9
1963.6,1070.7
1964.7,1066.7
1969.8,1042.4
1973.8,1018.2
1976.8,993.94
1978.9,969.7
1980.1,945.45
1980.6,921.21
1980.5,896.97
1979.7,872.73
1978.4,848.48
1976.7,825.61
1981.8,829.41
2000.0,843.49
2006.2,848.48
2018.2,858.24
2035.1,872.73
2036.4,873.8
2047.1,883.29
2054.5,889.87
2062.5,896.97
2072.7,906.62
2088.1,921.21
2090.9,923.96
2094.5,927.43
2094.6,927.25
2094.6,927.55
2109.1,941.72
2113.0,945.45
2127.3,959.84
2137.2,969.7
2140.0,972.54
2141.7,969.7
2145.5,962.13
2153.3,945.45
2163.3,921.21
2163.6,920.24
2172.0,896.97
2179.6,872.73
2181.8,864.74
2186.3,848.48
2192.2,824.24
2197.2,800.0
2200.0,783.53
2201.3,775.76
2204.6,751.52
2207.0,727.27
2208.5,703.03
2209.3,678.79
2209.4,654.55
2209.0,630.3
2208.5,606.06
2207.9,581.82
2207.7,557.58
2207.9,533.33
2208.8,509.09
2210.3,484.85
2212.5,460.61
2215.1,436.36
2217.9,412.12
2218.2,409.69
2220.8,387.88
2223.7,363.64
2226.3,339.39
2228.6,315.15
2230.5,290.91
2232.0,266.67
2233.2,242.42
2234.2,218.18
2234.9,193.94
2235.5,169.7
2236.4,145.67
2236.4,145.45
2237.6,121.21
2239.5,96.97
2242.1,72.727
2245.4,48.485
2249.5,24.242

