#: table_doi: 10.17182/hepdata.115570.v2/t28
#: name: Observed limit for gH model
#: description: Observed and expected exclusion limits in the gluino–neutralino mass plane at 95% CL for the full Run-2 dataset corresponding to an integrated luminosity of 139 fb−1 , for the (a) $\gamma/Z$ and (b) $\gamma/h$ signal models. They are obtained by combining limits from the signal region with the best expected sensitivity at each point. The dashed (black) line corresponds to the expected limits at 95% CL, with the light (yellow) band indicating the $\pm 1\sigma$ excursions due to experimental and background-theory uncertainties. The observed limits are indicated by medium (red) curves: the solid contour represents the nominal limit, and the dotted lines are obtained by varying the signal cross section by the theoretical scale and PDF uncertainties.
#: data_file: observed_limit_for_gh_model.yaml
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry
#: keyword reactions: PP --> GLUINO GLUINO
#: keyword cmenergies: 13000
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
M(GLUINO) [GeV],M(NEUTRALINO) [GeV]
2099.7,149.0
2104.8,160.12
2111.4,173.76
2124.6,198.52
2129.6,207.11
2139.0,223.28
2153.6,248.03
2154.3,249.37
2168.1,272.79
2179.1,292.85
2181.7,297.55
2194.5,322.31
2203.9,342.47
2206.0,347.07
2217.0,371.83
2226.9,396.58
2228.6,401.03
2236.7,421.34
2246.0,446.1
2253.4,466.97
2254.8,470.86
2263.7,495.62
2271.9,520.38
2278.1,541.27
2279.4,545.13
2286.5,569.89
2292.8,594.65
2298.3,619.41
2302.9,643.51
2303.0,644.17
2307.4,668.93
2311.2,693.68
2314.4,718.44
2317.2,743.2
2319.6,767.96
2321.8,792.72
2323.9,817.48
2326.1,842.23
2327.7,857.32
2328.7,866.99
2332.0,891.75
2336.1,916.51
2341.2,941.27
2347.3,966.03
2352.4,983.71
2354.5,990.79
2362.9,1015.5
2372.2,1040.3
2377.2,1052.8
2382.3,1065.1
2393.2,1089.8
2401.9,1109.0
2404.6,1114.6
2416.5,1139.3
2426.7,1160.7
2428.4,1164.1
2440.0,1188.9
2450.3,1213.6
2451.4,1216.9
2459.2,1238.4
2466.0,1263.1
2470.3,1287.9
2471.9,1312.6
2470.8,1337.4
2466.9,1362.2
2460.3,1386.9
2451.4,1410.9
2451.2,1411.7
2440.3,1436.4
2427.2,1461.2
2426.7,1462.0
2412.9,1486.0
2401.9,1503.2
2397.4,1510.7
2381.2,1535.5
2377.2,1541.5
2365.1,1560.2
2352.4,1579.9
2349.2,1585.0
2334.6,1609.7
2327.7,1622.7
2321.5,1634.5
2310.2,1659.3
2302.9,1678.9
2301.0,1684.0
2294.1,1708.8
2289.3,1733.5
2286.6,1758.3
2285.8,1783.1
2287.0,1807.8
2290.1,1832.6
2294.6,1857.3
2300.4,1882.1
2302.9,1891.3
2307.2,1906.8
2314.2,1931.6
2321.1,1956.4
2327.6,1981.1
2327.7,1981.5
2332.9,2005.9
2337.0,2030.6
2339.4,2055.4
2339.8,2080.2
2337.6,2104.9
2331.7,2129.7
2327.7,2139.6
2316.4,2154.4
2302.9,2165.1
2278.1,2167.7
2253.4,2160.1
2243.8,2154.4
2228.6,2146.7
2203.9,2130.3
2203.1,2129.7
2179.1,2112.2
2170.1,2104.9
2154.3,2093.6
2137.2,2080.2
2129.6,2074.8
2104.8,2055.9
2104.3,2055.4
2080.1,2036.4
2073.5,2030.6
2055.3,2016.0
2044.1,2005.9
2030.5,1994.6
2016.1,1981.1
2005.8,1972.1
1989.2,1956.4
1981.0,1948.9
1963.1,1931.6
1956.3,1925.1
1937.5,1906.8
1931.5,1901.1
1912.0,1882.1
1906.8,1877.0
1886.7,1857.3
1882.0,1852.8
1861.5,1832.6
1857.2,1828.4
1836.6,1807.8
1832.5,1803.8
1811.9,1783.1
1807.7,1778.8
1787.5,1758.3
1783.0,1753.7
1763.2,1733.5
1758.2,1728.4
1738.8,1708.8
1733.4,1703.2
1714.4,1684.0
1708.7,1678.2
1689.7,1659.3
1683.9,1653.5
1664.8,1634.5
1659.2,1629.0
1639.7,1609.7
1634.4,1604.7
1614.4,1585.0
1609.6,1580.4
1588.9,1560.2
1584.9,1556.3
1563.2,1535.5
1560.1,1532.5
1537.2,1510.7
1535.4,1509.0
1510.9,1486.0
1510.6,1485.7
1485.9,1462.3
1484.7,1461.2
1461.1,1438.7
1458.8,1436.4
1436.3,1414.5
1433.5,1411.7
1411.6,1389.6
1409.0,1386.9
1386.8,1363.8
1385.3,1362.2
1362.5,1337.4
1362.1,1336.9
1340.8,1312.6
1337.3,1308.6
1319.5,1287.9
1312.5,1279.8
1297.6,1263.1
1287.8,1252.6
1273.2,1238.4
1263.0,1229.0
1243.9,1213.6
1238.3,1209.3
1213.5,1192.8
1206.5,1188.9

