#: table_doi: 10.17182/hepdata.115570.v2/t22
#: name: Observed limit for gZ model
#: description: Observed and expected exclusion limits in the gluino–neutralino mass plane at 95% CL for the full Run-2 dataset corresponding to an integrated luminosity of 139 fb−1 , for the (a) $\gamma/Z$ and (b) $\gamma/h$ signal models. They are obtained by combining limits from the signal region with the best expected sensitivity at each point. The dashed (black) line corresponds to the expected limits at 95% CL, with the light (yellow) band indicating the $\pm 1\sigma$ excursions due to experimental and background-theory uncertainties. The observed limits are indicated by medium (red) curves: the solid contour represents the nominal limit, and the dotted lines are obtained by varying the signal cross section by the theoretical scale and PDF uncertainties.
#: data_file: observed_limit_for_gz_model.yaml
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry
#: keyword reactions: PP --> GLUINO GLUINO
#: keyword cmenergies: 13000
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
M(GLUINO) [GeV],M(NEUTRALINO) [GeV]
2038.6,136.0
2042.4,140.16
2061.6,161.54
2066.7,166.95
2085.0,187.07
2090.9,193.45
2107.9,212.61
2115.2,221.06
2129.2,238.14
2139.4,251.57
2148.3,263.68
2163.6,287.33
2164.8,289.21
2179.4,314.75
2187.9,332.42
2191.7,340.28
2202.6,365.82
2211.7,391.35
2212.1,392.66
2220.4,416.89
2227.9,442.42
2234.5,467.96
2236.4,476.22
2240.7,493.49
2246.5,519.03
2251.6,544.57
2256.3,570.1
2260.6,594.42
2260.8,595.64
2265.8,621.17
2270.7,646.71
2275.4,672.24
2279.9,697.78
2284.2,723.31
2284.8,727.67
2288.4,748.85
2292.3,774.38
2296.0,799.92
2299.7,825.45
2303.4,850.99
2307.5,876.53
2309.1,884.83
2312.5,902.06
2318.5,927.6
2325.7,953.13
2333.3,976.43
2334.1,978.67
2344.0,1004.2
2354.6,1029.7
2357.6,1036.5
2365.8,1055.3
2376.9,1080.8
2381.8,1092.6
2387.5,1106.3
2397.4,1131.9
2406.1,1156.9
2406.2,1157.4
2414.5,1182.9
2421.6,1208.5
2427.7,1234.0
2430.3,1247.5
2432.8,1259.6
2436.9,1285.1
2439.4,1310.6
2440.1,1336.2
2438.4,1361.7
2433.6,1387.2
2430.3,1397.0
2425.0,1412.8
2411.3,1438.3
2406.1,1445.1
2391.9,1463.8
2381.8,1474.1
2367.3,1489.4
2357.6,1498.1
2339.5,1514.9
2333.3,1520.4
2311.4,1540.4
2309.1,1542.6
2285.6,1566.0
2284.8,1566.8
2264.8,1591.5
2260.6,1598.4
2250.3,1617.1
2242.1,1642.6
2239.6,1668.1
2242.0,1693.7
2248.4,1719.2
2257.7,1744.7
2260.6,1751.1
2269.7,1770.3
2282.8,1795.8
2284.8,1799.6
2296.3,1821.3
2308.5,1846.9
2309.1,1848.1
2319.4,1872.4
2328.6,1897.9
2333.3,1913.4
2336.3,1923.5
2342.7,1949.0
2348.1,1974.5
2352.6,2000.1
2356.2,2025.6
2357.6,2038.9
2358.8,2051.2
2360.2,2076.7
2360.2,2102.2
2358.3,2127.8
2357.6,2132.7
2353.3,2153.3
2343.1,2178.8
2333.3,2193.4
2311.4,2204.4
2309.1,2205.1
2304.4,2204.4
2284.8,2201.7
2260.6,2190.5
2243.6,2178.8
2236.4,2174.6
2212.1,2156.4
2208.7,2153.3
2187.9,2137.3
2176.4,2127.8
2163.6,2118.4
2142.5,2102.2
2139.4,2100.0
2115.2,2081.5
2109.4,2076.7
2090.9,2062.2
2078.4,2051.2
2066.7,2041.5
2049.8,2025.6
2042.4,2019.2
2023.1,2000.1
2018.2,1995.5
1997.4,1974.5
1993.9,1971.2
1971.8,1949.0
1969.7,1947.0
1945.5,1923.5
1945.5,1923.5
1921.2,1900.4
1918.5,1897.9
1897.0,1877.6
1891.4,1872.4
1872.7,1854.4
1865.1,1846.9
1848.5,1830.4
1839.8,1821.3
1824.2,1805.4
1815.3,1795.8
1800.0,1779.8
1791.0,1770.3
1775.8,1754.4
1766.2,1744.7
1751.5,1729.7
1740.5,1719.2
1727.3,1706.1
1713.9,1693.7
1703.0,1683.0
1687.2,1668.1
1678.8,1660.0
1660.9,1642.6
1654.5,1636.4
1635.3,1617.1
1630.3,1612.2
1610.1,1591.5
1606.1,1587.5
1585.0,1566.0
1581.8,1562.8
1560.3,1540.4
1557.6,1537.6
1536.8,1514.9
1533.3,1510.9
1515.1,1489.4
1509.1,1481.9
1494.3,1463.8
1484.8,1452.7
1471.6,1438.3
1460.6,1427.5
1443.1,1412.8
1436.4,1407.6
1412.1,1391.8
1403.7,1387.2

