#: table_doi: 10.17182/hepdata.95928.v2/t69
#: name: Observed CLs limit for Gbb from CC
#: description: Observed exclusion limit in the $\tilde{g}$--$\tilde\chi^0_1$ mass plane for the Gbb models obtained from the CC analysis. The dashed and solid bold lines show the 95\% CL expected and observed limits, respectively. The shaded bands around the expected limits show the impact of the experimental and background uncertainties. The dotted lines show the impact on the observed limit of the variation of the nominal signal cross-section by $\pm 1 \sigma$ of its theoretical uncertainty.
#: data_file: observed_cls_limit_for_gbb_from_cc.yaml
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton
#: keyword observables: CLs
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLU GLU X
Gluino mass [GeV],Neutralino mass [GeV]
2199.3,1.0
2201.1,29.189
2203.4,57.379
2205.1,85.568
2205.8,113.76
2205.2,141.95
2203.4,170.14
2201.6,198.33
2205.8,226.51
2208.0,239.92
2210.9,254.7
2214.5,282.89
2216.6,311.08
2217.1,339.27
2216.1,367.46
2214.4,395.65
2216.7,423.84
2219.2,452.03
2220.4,480.22
2219.9,508.41
2217.6,536.6
2213.7,564.79
2208.1,592.98
2208.0,594.02
2206.6,621.16
2205.9,649.35
2203.8,677.54
2200.3,705.73
2195.1,733.92
2188.4,762.11
2180.9,790.3
2179.9,794.92
2174.7,818.49
2168.7,846.68
2161.5,874.87
2152.8,903.06
2151.7,906.01
2142.8,931.25
2131.1,959.44
2123.5,975.54
2118.1,987.63
2106.0,1015.8
2095.3,1040.0
2093.6,1044.0
2077.4,1072.2
2067.1,1086.2
2055.4,1100.4
2038.9,1117.3
2026.8,1128.6
2010.7,1141.7
1993.4,1156.8
1982.5,1165.8
1964.8,1185.0
1954.4,1198.3
1941.6,1213.1
1926.2,1227.9
1902.7,1241.3
1898.0,1243.7
1869.8,1251.4
1841.6,1254.7
1813.4,1255.1
1785.2,1252.8
1757.0,1247.8
1731.4,1241.3
1728.8,1240.7
1700.7,1232.4
1672.5,1223.2
1645.1,1213.1
1644.3,1212.9
1616.1,1203.1
1587.9,1197.3
1559.7,1196.2
1531.5,1194.8
1503.3,1192.9
1475.2,1192.7
1447.0,1190.9
1419.0,1185.0
1418.8,1184.9
1390.6,1174.3
1362.4,1161.7
1347.7,1156.8
1334.2,1153.0
1306.0,1149.6
1277.8,1152.1
1253.7,1156.8
1249.6,1157.9
1221.5,1158.3
1218.4,1156.8
1193.3,1145.1
1177.9,1128.6
1165.1,1110.7
1160.8,1100.4
1150.4,1072.2
1136.9,1044.0
1136.9,1044.0
1112.2,1015.8
1108.7,1012.0
1085.0,987.63
1080.5,980.33
1065.0,959.44
1052.3,940.42
1044.6,931.25
1024.1,904.37
1022.9,903.06

