#: table_doi: 10.17182/hepdata.95928.v2/t63
#: name: Observed CLs limit for Gtt from CC
#: description: Observed exclusion limit in the $\tilde{g}$--$\tilde\chi^0_1$ mass plane for the Gtt models obtained from the CC analysis. The dashed and solid bold lines show the 95\% CL expected and observed limits, respectively. The shaded bands around the expected limits show the impact of the experimental and background uncertainties. The dotted lines show the impact on the observed limit of the variation of the nominal signal cross-section by $\pm 1 \sigma$ of its theoretical uncertainty.
#: data_file: observed_cls_limit_for_gtt_from_cc.yaml
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton
#: keyword observables: CLs
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLU GLU X
Gluino mass [GeV],Neutralino mass [GeV]
2282.5,1.0
2280.2,14.821
2278.4,25.754
2274.3,50.508
2270.3,75.262
2266.2,100.02
2261.7,124.77
2257.1,149.52
2255.4,162.45
2253.8,174.28
2255.4,194.04
2255.9,199.03
2264.4,223.79
2273.1,248.54
2279.7,273.29
2280.2,275.99
2284.5,298.05
2287.4,322.8
2288.5,347.56
2288.3,372.31
2288.1,397.06
2290.6,421.82
2293.6,446.57
2295.7,471.32
2296.6,496.08
2296.2,520.83
2294.8,545.59
2292.7,570.34
2290.6,595.09
2289.2,619.85
2288.4,644.6
2288.2,669.36
2288.1,694.11
2287.9,718.86
2287.4,743.62
2286.7,768.37
2285.4,793.13
2281.4,817.88
2280.2,823.31
2275.8,842.63
2269.5,867.39
2262.0,892.14
2255.4,909.93
2252.9,916.9
2242.4,941.65
2230.7,966.0
2230.5,966.4
2218.2,991.16
2207.4,1015.9
2205.9,1020.0
2198.7,1040.7
2189.6,1065.4
2181.2,1086.6
2179.8,1090.2
2169.3,1114.9
2158.0,1139.7
2156.4,1143.1
2146.5,1164.4
2134.9,1189.2
2131.7,1195.8
2121.3,1213.9
2106.9,1233.2
2100.9,1238.7
2082.1,1254.4
2064.9,1263.5
2057.4,1267.0
2032.6,1273.6
2007.9,1276.3
1983.1,1276.5
1958.4,1275.1
1933.6,1272.7
1908.9,1269.5
1884.1,1265.3
1874.3,1263.5
1859.4,1260.5
1834.6,1255.4
1809.9,1250.6
1785.1,1246.3
1760.4,1242.4
1735.6,1239.2
1730.9,1238.7
1710.8,1236.0
1686.1,1231.7
1661.3,1221.2
1653.5,1213.9
1636.6,1203.8
1616.4,1189.2
1611.8,1187.2
1587.1,1181.2
1562.3,1172.8
1548.2,1164.4
1537.6,1158.4
1516.0,1139.7
1512.8,1137.3
1488.1,1115.7
1486.7,1114.9
1463.3,1092.5
1461.0,1090.2
1438.6,1071.4
1434.2,1065.4
1413.8,1050.6
1404.8,1040.7
1389.0,1021.2
1382.1,1015.9
1364.3,996.13
1359.3,991.16
1339.5,976.84
1330.1,966.4
1314.8,956.91
1301.0,941.65
1290.0,928.15
1275.2,916.9
1265.3,904.48
1253.2,892.14
1240.5,881.39
1228.3,867.39
1215.8,859.49
1200.5,842.63
1191.0,832.21
1174.2,817.88
1166.3,806.8
1152.8,793.13
1141.5,780.97
1134.4,768.37
1116.8,755.0
1092.0,749.03
1074.1,743.62
1067.3,737.2
1042.5,729.14
1017.7,722.07
1005.2,718.86

