#: table_doi: 10.17182/hepdata.95928.v2/t45
#: name: Observed CLs limit for Gtt from NN
#: description: Observed exclusion limit in the $\tilde{g}$--$\tilde\chi^0_1$ mass plane for the Gtt models obtained from the NN analysis. The dashed and solid bold lines show the 95\% CL expected and observed limits, respectively. The shaded bands around the expected limits show the impact of the experimental and background uncertainties. The dotted lines show the impact on the observed limit of the variation of the nominal signal cross-section by $\pm 1 \sigma$ of its theoretical uncertainty.
#: data_file: observed_cls_limit_for_gtt_from_nn.yaml
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton
#: keyword observables: CLs
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLU GLU X
Gluino mass [GeV],Neutralino mass [GeV]
2438.6,0.0
2433.3,40.404
2431.6,80.808
2432.6,121.21
2434.0,161.62
2434.8,202.02
2435.6,242.42
2435.5,282.83
2435.0,323.23
2434.3,363.64
2433.7,404.04
2434.4,444.44
2435.2,484.85
2436.1,525.25
2437.1,565.66
2436.3,606.06
2430.3,646.46
2424.2,680.3
2423.0,686.87
2415.9,727.27
2409.0,767.68
2402.8,808.08
2398.1,848.48
2394.2,888.89
2390.2,929.29
2386.6,969.7
2383.8,999.23
2382.8,1010.1
2376.6,1050.5
2370.4,1090.9
2361.4,1131.3
2349.1,1171.7
2343.4,1190.6
2337.1,1212.1
2323.3,1252.5
2303.0,1292.1
2302.5,1292.9
2265.7,1333.3
2262.6,1335.7
2222.2,1356.0
2181.8,1364.8
2141.4,1364.5
2101.0,1354.9
2060.6,1335.1
2057.4,1333.3
2020.2,1316.9
1979.8,1300.9
1958.3,1292.9
1939.4,1286.2
1899.0,1271.2
1860.3,1252.5
1858.6,1251.7
1818.2,1227.5
1798.1,1212.1
1777.8,1198.9
1739.2,1171.7
1737.4,1170.8
1697.0,1153.2
1656.6,1141.4
1629.0,1131.3
1616.2,1127.1
1575.8,1108.2
1553.0,1090.9
1535.4,1074.5
1515.5,1050.5
1497.9,1010.1
1494.9,1005.5
1455.3,969.7
1454.5,969.09
1414.1,943.64
1387.5,929.29
1373.7,922.26
1333.3,898.69
1318.0,888.89
1292.9,870.34
1270.8,848.48
1252.5,818.38
1247.8,808.08
1224.7,767.68
1212.1,753.16
1178.0,727.27
1171.7,723.14
1131.3,698.06
1109.3,686.87
1090.9,675.87
1050.5,659.02
1013.5,646.46
1010.1,645.11

