#: table_doi: 10.17182/hepdata.139720.v1/t1
#: name: Exclusion contour(Obs) from Fig 7(a)
#: description: Observed exclusion limits at 95% CL from Fig 7(a) for $\tilde{g}$ decays into SM gauge bosons and $\tilde{\chi}^{0}_{1}$
#: data_file: exclusion_contour(obs)_from_fig_7(a).yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO --> qqq'q' CHARGINO1 CHARGINO1 --> qqq'q' WWZZ NEUTRALINO1 NEUTRALINO1
#: keyword phrases: Inclusive | Limits | Exclusion | Proton-Proton Scattering | SUSY | Supersymmetry | GLUINO | CHARGINO1 | NEUTRALINO2 | NEUTRALINO1
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
1991.6,100.0
1995.9,121.21
2001.1,142.43
2006.7,163.64
2009.1,172.89
2012.1,184.85
2016.8,206.06
2020.5,227.28
2023.0,248.49
2024.3,269.7
2024.7,290.92
2024.3,312.13
2023.2,333.34
2021.6,354.56
2019.7,375.77
2017.5,396.98
2015.2,418.19
2012.9,439.41
2010.6,460.62
2009.1,476.81
2008.6,481.83
2006.9,503.05
2005.4,524.26
2004.4,545.47
2003.6,566.68
2003.1,587.9
2002.7,609.11
2002.0,630.32
2000.8,651.54
1998.7,672.75
1995.5,693.96
1990.7,715.17
1987.9,725.04
1984.5,736.39
1976.7,757.6
1967.8,778.81
1966.7,781.5
1958.6,800.03
1949.5,821.24
1945.4,831.35
1941.1,842.45
1933.3,863.67
1925.1,884.88
1924.2,887.03
1916.2,906.09
1905.3,927.3
1903.0,930.92
1891.6,948.52
1881.8,960.65
1873.9,969.73
1860.6,982.26
1850.0,990.94
1839.4,998.39
1818.2,1010.6
1814.9,1012.2
1797.0,1019.9
1775.7,1027.3
1754.5,1033.3
1754.3,1033.4
1733.3,1038.4
1712.1,1042.5
1690.9,1045.7
1669.7,1047.8
1648.5,1048.7
1627.3,1048.5
1606.0,1047.0
1584.8,1044.5
1563.6,1041.0
1542.4,1036.9
1526.3,1033.4
1521.2,1032.3
1500.0,1027.8
1478.8,1023.1
1457.5,1018.4
1436.3,1013.6
1429.5,1012.2
1415.1,1009.2
1393.9,1005.0
1372.7,1000.8
1351.5,996.54
1330.3,991.93
1326.2,990.94
1309.1,987.24
1287.8,982.32
1266.6,977.3
1245.4,972.42
1233.0,969.73
1224.2,967.8
1203.0,963.23
1181.8,958.15
1160.6,951.35
1154.2,948.52
1139.4,940.94
1121.9,927.3
1118.1,924.31
1100.1,906.09
1096.9,903.38
1077.1,884.88
1075.7,883.9
1054.5,869.31
1045.4,863.67
1033.3,857.94
1012.1,849.45

