#: table_doi: 10.17182/hepdata.139720.v1/t6
#: name: Exclusion contour(Obs) from Fig 7(c)
#: description: Observed exclusion limits at 95% CL from Fig 7(c) for $\tilde{g}$ decays into sleptons and subsequently to SM leptons and $\tilde{\chi}^{0}_{1}$
#: data_file: exclusion_contour(obs)_from_fig_7(c).yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO --> qqq'q' NEUTRALINO2 NEUTRALINO2 --> qqq'q'(ll/vv)(ll/vv) NEUTRALINO1 NEUTRALINO1
#: keyword phrases: Inclusive | Limits | Exclusion | Proton-Proton Scattering | SUSY | Supersymmetry | GLUINO | NEUTRALINO2 | SLEPTON | SNEUTRINO | NEUTRALINO1
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
2306.6,100.0
2301.7,123.23
2297.8,146.47
2294.6,169.7
2292.1,192.93
2290.1,216.17
2288.4,239.4
2287.0,262.63
2285.7,285.87
2284.5,309.1
2283.8,322.37
2283.3,332.34
2282.0,355.57
2280.5,378.8
2278.6,402.04
2276.3,425.27
2273.4,448.5
2269.8,471.74
2265.3,494.97
2260.6,515.05
2259.8,518.2
2253.2,541.44
2245.0,564.67
2237.4,582.57
2234.9,587.9
2222.2,611.14
2214.1,623.59
2206.0,634.37
2190.9,651.38
2184.5,657.6
2167.7,672.26
2157.3,680.84
2144.4,691.32
2130.7,704.07
2121.2,713.96
2111.3,727.31
2098.0,750.08
2097.8,750.54
2089.7,773.77
2083.8,797.01
2079.4,820.24
2076.0,843.47
2074.7,854.49
2073.5,866.71
2071.6,889.94
2070.0,913.17
2068.7,936.41
2067.6,959.64
2066.5,982.87
2065.4,1006.1
2064.2,1029.3
2062.8,1052.6
2061.4,1075.8
2059.9,1099.0
2058.3,1122.3
2056.5,1145.5
2054.4,1168.7
2052.0,1192.0
2051.5,1196.5
2049.2,1215.2
2045.8,1238.4
2041.6,1261.7
2036.4,1284.9
2029.9,1308.1
2028.3,1312.8
2021.3,1331.4
2009.8,1354.6
2005.0,1362.3
1993.5,1377.8
1981.8,1390.1
1968.6,1401.1
1958.6,1407.7
1935.3,1419.3
1921.5,1424.3
1912.1,1427.2
1888.9,1432.4
1865.6,1435.7
1842.4,1437.4
1819.2,1437.7
1795.9,1436.6
1772.7,1434.1
1749.4,1430.3
1726.2,1425.5
1721.0,1424.3
1703.0,1420.6
1679.7,1415.9
1656.5,1411.9
1633.3,1408.8
1610.0,1406.5
1586.8,1404.6
1563.6,1401.9
1559.3,1401.1
1540.3,1396.9
1517.1,1387.1
1503.7,1377.8
1493.9,1370.8
1476.7,1354.6
1470.6,1349.6
1450.1,1331.4
1447.4,1329.5
1424.2,1314.6
1412.7,1308.1
1400.9,1302.9
1377.7,1292.7
1362.6,1284.9
1354.5,1281.0
1331.2,1265.8
1326.4,1261.7
1308.0,1245.0
1302.0,1238.4
1284.8,1218.2
1282.5,1215.2
1264.5,1192.0
1261.5,1188.4
1244.2,1168.7
1238.3,1163.2
1216.7,1145.5
1215.1,1144.5
1191.8,1130.5
1178.0,1122.3
1168.6,1117.2
1145.4,1102.7
1140.5,1099.0
1122.1,1085.0
1111.8,1075.8
1098.9,1063.7
1088.1,1052.6
1075.7,1039.2
1066.9,1029.3
1052.4,1013.2
1046.2,1006.1
1029.2,988.31
1024.0,982.87
1006.0,966.15
998.91,959.64
982.73,946.0
971.59,936.41
959.5,926.25
944.6,913.17
936.26,905.55
919.75,889.94
913.03,883.11
897.08,866.71
889.79,858.73
875.8,843.47
866.56,833.22
854.76,820.24
843.33,808.21
832.62,797.01
820.09,785.03
808.48,773.77
796.86,763.43
783.11,750.54
773.62,741.88
758.96,727.31
750.39,718.41
737.62,704.07
727.16,691.34
718.82,680.84
703.92,661.0
701.31,657.6
683.68,634.37
680.69,630.55
663.78,611.14
657.45,604.47
639.0,587.9
634.22,583.98
610.99,567.96
605.23,564.67

