#: table_doi: 10.17182/hepdata.139720.v1/t16
#: name: Exclusion contour(Obs) from Fig 7(e)
#: description: Observed exclusion limits at 95% CL from Fig 7(e) for direct $\tilde{\chi_{1}^{0}}$ decay into SM leptons and quarks via a non-zero RPV coupling $\lambda'$
#: data_file: exclusion_contour(obs)_from_fig_7(e).yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO --> qqq'q' NEUTRALINO1 NEUTRALINO1 --> qqq'q' (ll/vv)qqqq
#: keyword phrases: Inclusive | Limits | Exclusion | Proton-Proton Scattering | SUSY | Supersymmetry | GLUINO | NEUTRALINO1 | RPV
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
1704.4,50.0
1711.6,51.7
1735.3,57.776
1759.1,64.21
1782.8,70.717
1794.3,73.738
1806.6,77.17
1830.3,83.467
1854.0,89.608
1877.8,95.829
1883.9,97.476
1901.5,102.84
1925.2,110.65
1949.0,119.25
1954.1,121.21
1972.7,129.62
1996.5,141.04
2004.3,144.95
2020.2,154.37
2043.9,168.64
2044.0,168.69
2067.7,185.37
2078.0,192.43
2091.4,203.32
2108.0,216.17
2115.1,222.85
2134.3,239.91
2138.9,244.99
2156.4,263.64
2162.6,272.02
2174.3,287.38
2186.4,308.34
2188.0,311.12
2198.3,334.86
2205.6,358.6
2210.1,379.78
2210.6,382.33
2213.9,406.07
2215.8,429.81
2216.8,453.55
2217.2,477.29
2217.3,501.03
2217.3,524.76
2217.5,548.5
2218.0,572.24
2218.9,595.98
2220.2,619.72
2221.8,643.45
2223.6,667.19
2225.5,690.93
2227.5,714.67
2229.3,738.41
2230.8,762.15
2232.2,785.88
2233.2,809.62
2233.8,826.27
2234.1,833.36
2234.7,857.1
2235.2,880.84
2235.5,904.57
2235.6,928.31
2235.7,952.05
2235.8,975.79
2235.8,999.53
2235.8,1023.3
2235.9,1047.0
2236.0,1070.7
2236.2,1094.5
2236.5,1118.2
2236.8,1142.0
2237.1,1165.7
2237.5,1189.4
2237.8,1213.2
2238.1,1236.9
2238.3,1260.6
2238.4,1284.4
2238.4,1308.1
2238.2,1331.9
2238.0,1355.6
2237.6,1379.3
2237.2,1403.1
2236.9,1426.8
2236.7,1450.6
2236.7,1474.3
2237.0,1498.0
2237.4,1521.8
2238.0,1545.5
2238.8,1569.2
2239.6,1593.0
2240.6,1616.7
2241.6,1640.5
2242.7,1664.2
2244.0,1687.9
2245.5,1711.7
2247.1,1735.4
2249.0,1759.1
2251.2,1782.9
2253.8,1806.6
2257.0,1830.4
2257.6,1833.5
2261.3,1854.1
2266.3,1877.8
2271.9,1901.6
2277.9,1925.3
2281.3,1939.0
2283.9,1949.1
2289.5,1972.8
2294.2,1996.5
2297.9,2020.3
2300.0,2044.0
2299.7,2067.7
2294.8,2091.5
2281.3,2112.0
2272.9,2115.2
2257.6,2118.2
2244.1,2115.2
2233.8,2113.2
2210.1,2102.7
2188.6,2091.5
2186.4,2090.4
2162.6,2076.1
2149.6,2067.7
2138.9,2061.3
2115.1,2045.8
2112.7,2044.0
2091.4,2028.8
2080.7,2020.3
2067.7,2010.6
2050.9,1996.5
2043.9,1991.2
2022.5,1972.8
2020.2,1971.0
1996.5,1950.4
1995.0,1949.1
1972.7,1929.6
1968.0,1925.3
1949.0,1908.8
1940.9,1901.6
1925.2,1887.9
1913.9,1877.8
1901.5,1867.0
1887.2,1854.1
1877.8,1845.9
1861.1,1830.4
1854.0,1824.2
1835.6,1806.6
1830.3,1802.0
1810.6,1782.9
1806.6,1779.3
1785.8,1759.1
1782.8,1756.4
1761.0,1735.4
1759.1,1733.6
1736.0,1711.7
1735.3,1711.0
1711.6,1688.5
1711.0,1687.9
1687.9,1665.8
1686.2,1664.2
1664.1,1642.6
1662.0,1640.5
1640.4,1618.8
1638.4,1616.7
1616.7,1594.4
1615.3,1593.0
1592.9,1569.9
1592.3,1569.2
1569.2,1545.7
1569.0,1545.5
1545.4,1522.0
1545.2,1521.8
1521.7,1498.8
1520.9,1498.0
1498.0,1475.8
1496.4,1474.3
1474.2,1452.7
1472.1,1450.6
1450.5,1429.1
1448.2,1426.8
1426.8,1405.3
1424.7,1403.1
1403.0,1381.3
1401.1,1379.3
1379.3,1357.5
1377.3,1355.6
1355.5,1334.0
1353.3,1331.9
1331.8,1310.8
1329.0,1308.1
1308.1,1287.7
1304.6,1284.4
1284.3,1264.5
1280.4,1260.6
1260.6,1241.1
1256.6,1236.9
1236.8,1217.0
1233.2,1213.2
1213.1,1192.5
1210.3,1189.4
1189.4,1167.6
1187.6,1165.7
1165.6,1142.3
1165.3,1142.0
1143.7,1118.2
1141.9,1116.2
1122.8,1094.5
1118.2,1089.1
1102.0,1070.7
1094.4,1062.3
1079.9,1047.0
1070.7,1038.0
1054.3,1023.3
1046.9,1017.1
1023.2,999.67
1023.0,999.53

