#: table_doi: 10.17182/hepdata.139720.v1/t11
#: name: Exclusion contour(Obs) from Fig 7(f)
#: description: Observed exclusion limits at 95% CL from Fig 7(f) for $\tilde{g}$ decays into anti-top and $\tilde{t}$ and $\tilde{t}$ decays via a non-zero RPV coupling $\lambda''$
#: data_file: exclusion_contour(obs)_from_fig_7(f).yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO --> TOP STOP TOP STOP --> TOP TOP BOTTOM DOWN BOTTOM DOWN
#: keyword phrases: Inclusive | Limits | Exclusion | Proton-Proton Scattering | SUSY | Supersymmetry | GLUINO | STOP | RPV
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
M(GLUINO) [GeV],M(STOP) [GeV]
1652.1,417.95
1653.0,435.91
1654.4,453.86
1656.1,471.81
1658.0,489.77
1659.9,507.72
1661.3,520.19
1662.0,525.67
1664.1,543.63
1666.0,561.58
1667.9,579.54
1669.5,597.49
1670.9,615.44
1672.1,633.4
1673.0,651.35
1673.7,669.3
1674.2,687.26
1674.5,705.21
1674.6,723.16
1674.7,741.12
1674.6,759.07
1674.5,777.02
1674.5,794.98
1674.5,812.93
1674.5,830.88
1674.7,848.84
1674.9,866.79
1675.3,884.75
1675.8,902.7
1676.5,920.65
1677.4,938.61
1678.4,956.56
1679.3,968.89
1679.7,974.51
1681.3,992.47
1683.1,1010.4
1685.0,1028.4
1687.0,1046.3
1689.1,1064.3
1691.0,1082.2
1692.9,1100.2
1694.6,1118.1
1696.1,1136.1
1697.2,1150.7
1697.5,1154.0
1698.8,1172.0
1699.9,1190.0
1700.8,1207.9
1701.5,1225.9
1702.0,1243.8
1702.1,1261.8
1701.9,1279.7
1701.3,1297.7
1700.0,1315.6
1698.1,1333.6
1697.2,1339.5
1695.3,1351.5
1691.5,1369.5
1686.1,1387.4
1679.3,1404.4
1678.8,1405.4
1667.4,1423.4
1661.3,1430.4
1645.6,1441.3
1643.4,1442.5
1625.4,1446.7
1607.5,1435.0
1589.5,1417.0
1586.3,1413.8
1571.6,1399.1
1553.6,1381.1
1541.7,1369.2
1535.6,1363.1
1517.7,1345.2
1507.6,1335.1
1499.7,1327.2
1481.8,1309.3
1477.7,1305.2
1463.8,1291.3
1450.9,1278.4
1445.9,1273.4
1427.9,1255.4
1426.2,1253.7
1410.0,1237.5
1403.7,1231.2
1392.0,1219.5
1382.2,1209.7
1374.0,1201.5
1361.5,1189.0
1356.1,1183.6
1341.4,1168.9
1338.1,1165.6
1321.6,1149.1
1320.2,1147.7
1302.3,1129.8
1302.2,1129.7
1284.3,1111.8
1283.2,1110.7
1266.3,1093.8
1264.3,1091.8
1248.4,1075.9
1245.6,1073.1
1230.4,1057.9
1227.1,1054.6
1212.4,1039.9
1208.9,1036.4
1194.5,1022.0
1190.8,1018.3
1176.5,1004.0
1172.8,1000.3
1158.6,986.08
1154.9,982.43
1140.6,968.12
1137.0,964.54
1122.7,950.17
1119.2,946.65
1104.7,932.21
1101.3,928.75
1086.8,914.26
1083.3,910.82
1068.8,896.3
1065.4,892.87
1050.8,878.34
1047.4,874.91
1032.9,860.39
1029.5,856.96
1014.9,842.43
1011.6,839.05
996.98,824.48
993.65,821.15
979.02,806.52
975.71,803.21
961.07,788.57
957.71,785.21
943.11,770.61
939.63,767.13
925.16,752.66
921.5,749.0
907.2,734.7
903.34,730.84
889.24,716.74
885.17,712.67
871.29,698.79
867.07,694.57
853.33,680.83
849.1,676.6
835.38,662.88
831.35,658.85
817.42,644.92
813.86,641.36
799.47,626.97
796.64,624.14
781.51,609.01
779.62,607.12
763.56,591.06
762.75,590.25
745.95,573.45
745.6,573.1
729.12,556.62
727.64,555.14
712.0,539.5
709.69,537.19
694.32,521.82
691.73,519.23
675.66,503.16
673.78,501.28
655.82,483.32
655.5,483.0
637.87,465.37
633.09,460.59
619.91,447.41
607.8,435.3
601.96,429.46

