#: table_doi: 10.17182/hepdata.91374.v5/t16
#: name: Figure 2a LH slepton Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct LH slepton production.
#: data_file: figure_2a_lh_slepton_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.4069
52.34,0.424
52.525,0.4255
55.05,0.4451
55.089,0.4455
57.576,0.466
57.824,0.4681
60.101,0.4878
60.57,0.4918
62.626,0.5103
63.359,0.5167
65.151,0.5332
66.227,0.5429
67.677,0.5564
69.21,0.5704
70.202,0.5797
72.345,0.5992
72.727,0.6028
75.252,0.6259
75.682,0.6297
77.778,0.6485
79.26,0.6615
80.303,0.6708
82.828,0.6928
83.101,0.695
85.353,0.7145
87.242,0.7303
87.879,0.7357
90.404,0.7568
91.669,0.7672
92.929,0.7779
95.454,0.7989
96.339,0.8061
97.98,0.8202
100.51,0.8414
101.17,0.847
103.03,0.8632
105.56,0.8855
106.06,0.8898
108.08,0.9087
110.61,0.9326
110.86,0.935
113.13,0.9581
115.47,0.9824
115.66,0.9845
118.18,1.0132
119.8,1.032
120.71,1.0438
123.23,1.0765
123.82,1.0844
125.76,1.1128
127.52,1.1395
128.28,1.1521
130.81,1.1954
130.91,1.197
133.33,1.2439
134.03,1.2578
135.86,1.2978
136.92,1.3213
138.38,1.3574
139.63,1.3884
140.91,1.4236
142.18,1.4588
143.43,1.4966
144.64,1.5325
145.96,1.5754
147.05,1.6103
148.48,1.6596
149.45,1.692
151.01,1.747
151.89,1.7775
153.54,1.837
154.41,1.8677
156.06,1.9271
157.06,1.9625
158.59,2.017
159.87,2.0616
161.11,2.1057
162.87,2.1662
163.64,2.1928
166.05,2.2756
166.16,2.2798
168.69,2.3659
169.43,2.3911
171.21,2.4524
172.93,2.5125
173.74,2.541
176.26,2.6321
176.47,2.6394
178.79,2.7271
179.98,2.7733
181.31,2.8281
183.32,2.9141
183.84,2.937
186.36,3.0577
186.43,3.0613
188.89,3.1937
189.28,3.2166
191.41,3.3504
191.85,3.3799
193.94,3.5343
194.15,3.5506
196.23,3.7308
196.46,3.7532
198.12,3.9201
198.99,4.0161
199.87,4.1181
201.5,4.3271
201.52,4.3291
203.07,4.5457
204.04,4.6935
204.57,4.7764
206.04,5.0188
206.57,5.1086
207.5,5.2723
208.94,5.5399
209.09,5.568
210.4,5.821
211.62,6.0716
211.83,6.115
213.27,6.4254
214.14,6.6283
214.67,6.7515
216.04,7.0925
216.67,7.2678
217.34,7.4525
218.53,7.8289
219.19,8.091
219.55,8.2262
220.36,8.6437
220.87,9.0803
221.01,9.5411
220.71,10.025
219.88,10.532
219.19,10.79
218.49,11.066
216.67,11.574
216.49,11.628
214.14,12.159
213.9,12.215
211.62,12.656
210.71,12.835
209.09,13.11
206.93,13.486
206.57,13.543
204.04,13.938
202.59,14.168
201.52,14.322
198.99,14.693
197.67,14.887
196.46,15.049
193.94,15.392
192.14,15.639
191.41,15.733
188.89,16.058
186.36,16.38
185.95,16.432
183.84,16.688
181.31,16.994
179.02,17.266
178.79,17.29
176.26,17.583
173.74,17.869
171.29,18.138
171.21,18.147
168.69,18.425
166.16,18.698
163.64,18.967
162.75,19.059
161.11,19.231
158.59,19.498
156.06,19.761
153.54,20.022
153.52,20.026
151.01,20.286
148.48,20.554
145.96,20.821
143.89,21.038
143.43,21.086
140.91,21.365
138.38,21.637
135.86,21.918
134.18,22.105
133.33,22.202
130.81,22.496
128.28,22.788
125.76,23.089
124.6,23.227
123.23,23.394
120.71,23.703
118.18,24.016
115.66,24.333
115.11,24.401
113.13,24.655
110.61,24.986
108.08,25.311
105.56,25.627
105.49,25.639
103.03,25.96
100.51,26.285
97.98,26.607
95.454,26.915
95.294,26.934
92.929,27.233
90.404,27.542
87.879,27.836
85.353,28.125
83.712,28.301
82.828,28.399
80.303,28.675
77.778,28.933
75.252,29.174
72.727,29.41
70.202,29.628
68.926,29.737
67.677,29.84
65.151,30.04
62.626,30.227
60.101,30.402
57.576,30.556
55.05,30.704
52.525,30.839
50.0,30.967

