#: table_doi: 10.17182/hepdata.91374.v5/t18
#: name: Figure 2a RH slepton Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct RH slepton production.
#: data_file: figure_2a_rh_slepton_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.7328
51.64,0.7672
52.525,0.7863
53.478,0.8061
55.05,0.8397
55.406,0.847
57.438,0.8898
57.576,0.8929
59.581,0.935
60.101,0.9462
61.814,0.9824
62.626,1.0
64.119,1.032
65.151,1.0551
66.466,1.0844
67.677,1.1128
68.818,1.1395
70.202,1.1735
71.137,1.197
72.727,1.2397
73.391,1.2578
75.252,1.3125
75.552,1.3213
77.615,1.3884
77.778,1.3941
79.588,1.4588
80.303,1.4863
81.468,1.5325
82.828,1.5907
83.273,1.6103
85.041,1.692
85.353,1.7065
86.804,1.7775
87.879,1.8315
88.574,1.8677
90.379,1.9625
90.404,1.9634
92.271,2.0616
92.929,2.096
94.246,2.1662
95.454,2.2289
96.328,2.2756
97.98,2.3616
98.534,2.3911
100.51,2.4929
100.88,2.5125
103.03,2.6218
103.37,2.6394
105.56,2.7498
106.01,2.7733
108.08,2.8774
108.79,2.9141
110.61,3.0054
111.7,3.0613
113.13,3.134
114.72,3.2166
115.66,3.2651
117.82,3.3799
118.18,3.3986
120.71,3.5359
120.98,3.5506
123.23,3.6762
124.18,3.7308
125.76,3.8238
127.35,3.9201
128.28,3.9783
130.47,4.1181
130.81,4.141
133.33,4.3142
133.52,4.3271
135.86,4.4999
136.47,4.5457
138.38,4.7022
139.28,4.7764
140.91,4.9227
141.95,5.0188
143.43,5.1677
144.45,5.2723
145.96,5.445
146.78,5.5399
148.48,5.7624
148.92,5.821
150.86,6.115
151.01,6.1419
152.6,6.4254
153.54,6.6298
154.09,6.7515
155.33,7.0925
156.06,7.3655
156.29,7.4525
156.95,7.8289
157.25,8.2262
157.16,8.6437
156.61,9.0803
156.06,9.324
155.57,9.5411
153.96,10.025
153.54,10.12
151.72,10.532
151.01,10.661
148.77,11.066
148.48,11.11
145.96,11.495
145.09,11.628
143.43,11.847
140.91,12.179
140.63,12.215
138.38,12.482
135.86,12.782
135.42,12.835
133.33,13.065
130.81,13.341
129.54,13.486
128.28,13.614
125.76,13.883
123.23,14.151
123.09,14.168
120.71,14.415
118.18,14.679
116.23,14.887
115.66,14.945
113.13,15.209
110.61,15.474
109.07,15.639
108.08,15.743
105.56,16.01
103.03,16.282
101.66,16.432
100.51,16.558
97.98,16.831
95.454,17.108
94.016,17.266
92.929,17.386
90.404,17.664
87.879,17.943
86.088,18.138
85.353,18.222
82.828,18.501
80.303,18.78
77.778,19.059
77.766,19.059
75.252,19.337
72.727,19.611
70.202,19.884
68.853,20.026
67.677,20.151
65.151,20.417
62.626,20.678
60.101,20.936
59.052,21.038
57.576,21.189
55.05,21.434
52.525,21.677
50.0,21.913

