#: table_doi: 10.17182/hepdata.131308.v1/t19
#: name: Figure_007-a observed exclusions
#: description: Observed exclusion limits assuming NLO+NLL predictions for signal cross sections for degenerate stau pair production in the stau-LSP mass plane
#: data_file: figure_007-a_observed_exclusions.yaml
#: keyword observables: mass
#: keyword reactions: PP --> stau$_{L,R}$stau$_{L,R}$, stau$_{L,R}$ --> tau N1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
m(stau) [GeV],max. m(LSP) excluded [GeV]
90.015,11.691
100.08,12.046
109.84,19.55
118.36,22.288
121.35,29.575
124.38,30.248
125.23,34.105
141.11,49.625
148.89,51.113
150.38,57.304
166.54,58.584
174.44,74.688
175.53,75.267
186.39,85.506
200.69,96.918
203.14,97.309
206.11,99.75
224.01,101.57
225.84,107.24
239.71,110.99
248.78,124.81
250.73,125.07
250.99,125.97
270.6,130.34
276.14,139.86
286.84,139.21
301.3,148.32
302.76,148.42
308.83,149.88
325.34,150.97
326.45,152.37
333.78,149.88
345.06,143.36
351.6,138.75
366.0,139.16
376.75,130.85
379.75,124.81
382.69,118.89
392.2,99.75
396.13,80.44
397.43,74.688
401.91,53.079
402.52,49.931
402.55,49.625
402.58,49.356
402.35,29.575
402.12,19.592
402.12,19.55
402.11,19.51
405.62,9.525
406.28,8.7409
405.23,0.5025
