#: table_doi: 10.17182/hepdata.134068.v1/t65
#: name: excl_ee_obs_nominal
#: description: Observed and expected exclusion limits on SUSY simplified models for direct selectron production in the (a) $m(\tilde{e})-m(\tilde{\chi}_1^0)$ and (c) $m(\tilde{e})-\Delta m(\tilde{e},\tilde{\chi}_1^0)$ planes, and for direct smuon production in the (b) $m(\tilde{\mu})-m(\tilde{\chi}_1^0)$ and (d) $m(\tilde{\mu})-\Delta m(\tilde{\mu},\tilde{\chi}_1^0)$ planes. In Figure (a) and (c) the observed (solid thick lines) and expected (dashed lines) exclusion contours are indicated for combined $\tilde{e}_{\textup{L,R}}$ and for $\tilde{e}_{\textup{L}}$ and $\tilde{e}_{\textup{R}}$. In Figure (b) and (d) the observed (solid thick lines) and expected (dashed lines) exclusion contours are indicated for combined $\tilde{\mu}_{\textup{L,R}}$ and for $\tilde{\mu}_{\textup{L}}$. No unique sensitivity to $\tilde{\mu}_{\textup{R}}$ is observed. All limits are computed at 95% CL. The observed limits obtained at LEP and by the ATLAS experiment in previous searches are also shown in the shaded areas.
#: data_file: excl_ee_obs_nominal.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON+ SLEPTON- X
$m(\tilde{\ell})$ [GeV],$m(\tilde{\chi}_1^0)$ [GeV]
269.75,1.00
269.76,5.03
270.11,9.06
270.35,13.09
270.29,17.12
269.82,21.15
268.90,25.18
267.51,29.21
266.99,30.36
265.88,33.24
264.19,37.28
262.96,40.49
262.68,41.31
261.57,45.34
260.82,49.37
260.32,53.40
259.96,57.43
259.71,61.46
259.54,65.49
259.40,69.52
259.29,73.55
259.20,77.58
259.15,81.61
259.20,85.64
259.36,89.67
259.64,93.70
259.94,97.73
260.14,101.76
260.25,105.80
260.37,109.83
260.50,113.86
260.49,117.89
260.06,121.92
258.93,125.51
258.79,125.95
255.81,129.98
254.90,130.76
250.87,132.46
246.84,132.14
242.81,130.08
242.68,129.98
238.83,125.95
238.78,125.86
236.21,121.92
234.75,119.19
233.80,117.89
231.37,113.86
230.72,111.91
228.95,109.83
229.00,105.80
229.03,101.76
226.69,100.01
224.18,101.76
225.04,105.80
225.07,109.83
222.66,111.79
221.26,113.86
218.63,115.57
215.49,117.89
214.59,118.34
210.56,120.30
206.53,121.86
206.22,121.92
202.50,122.44
201.48,121.92
198.47,119.79
197.03,117.89
194.44,115.66
192.48,113.86
190.41,112.35
186.87,109.83
186.38,109.52
182.35,107.11
179.89,105.80
178.32,105.04
174.29,103.08
172.25,101.76
170.26,100.32
166.46,97.73
166.23,97.58
162.20,95.18
159.22,93.70
158.17,93.20
154.14,91.54
150.11,90.17
149.25,89.67
146.08,87.49
143.18,85.64
142.05,84.96
138.01,82.68
135.94,81.61
133.98,80.70
129.95,79.10
125.92,77.87
125.20,77.58
121.89,76.00
118.06,73.55
117.86,73.42
113.83,70.75
111.85,69.52
109.80,68.42
105.77,66.67
101.74,65.54
101.39,65.49
97.71,64.92
93.68,64.54

