#: table_doi: 10.17182/hepdata.134068.v1/t79
#: name: excl_mLmL_obs_nominal
#: description: Observed and expected exclusion limits on SUSY simplified models for direct selectron production in the (a) $m(\tilde{e})-m(\tilde{\chi}_1^0)$ and (c) $m(\tilde{e})-\Delta m(\tilde{e},\tilde{\chi}_1^0)$ planes, and for direct smuon production in the (b) $m(\tilde{\mu})-m(\tilde{\chi}_1^0)$ and (d) $m(\tilde{\mu})-\Delta m(\tilde{\mu},\tilde{\chi}_1^0)$ planes. In Figure (a) and (c) the observed (solid thick lines) and expected (dashed lines) exclusion contours are indicated for combined $\tilde{e}_{\textup{L,R}}$ and for $\tilde{e}_{\textup{L}}$ and $\tilde{e}_{\textup{R}}$. In Figure (b) and (d) the observed (solid thick lines) and expected (dashed lines) exclusion contours are indicated for combined $\tilde{\mu}_{\textup{L,R}}$ and for $\tilde{\mu}_{\textup{L}}$. No unique sensitivity to $\tilde{\mu}_{\textup{R}}$ is observed. All limits are computed at 95% CL. The observed limits obtained at LEP and by the ATLAS experiment in previous searches are also shown in the shaded areas.
#: data_file: excl_mlml_obs_nominal.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON+ SLEPTON- X
$m(\tilde{\mu})$ [GeV],$m(\tilde{\chi}_1^0)$ [GeV]
216.37,1.00
215.60,5.03
214.90,9.06
214.59,10.84
214.27,13.09
213.66,17.12
213.03,21.15
212.33,25.18
211.46,29.21
210.56,32.50
210.35,33.24
208.98,37.28
207.43,41.31
206.53,43.66
205.79,45.34
204.20,49.37
203.52,53.40
203.49,57.43
203.49,61.46
203.19,65.49
202.50,68.08
202.12,69.52
199.92,73.55
198.47,75.61
197.28,77.58
194.44,80.53
193.18,81.61
190.41,83.16
186.38,84.79
182.84,85.64
182.35,85.73
178.32,86.02
174.29,85.68
174.12,85.64
170.26,84.77
166.23,83.47
162.20,82.05
160.95,81.61
158.17,80.34
154.14,77.90
153.74,77.58
150.11,74.99
146.80,73.55
146.08,73.33
142.05,72.00
138.01,70.64
134.45,69.52
133.98,69.38
129.95,68.00
125.92,66.13
124.93,65.49
121.89,63.84
117.86,61.54
117.72,61.46
113.83,59.47
109.80,57.68
109.12,57.43
105.77,56.13
101.74,54.72
97.71,53.69
95.85,53.40
93.68,53.09

