#: table_doi: 10.17182/hepdata.145758.v1/t13
#: name: Table 13
#: description: Observed 95\% CL exclusion limits on the simplified models of $\tilde{\tau}_{L,R}\tilde{\tau}_{L,R}$ production.

#: data_file: fig_12aobs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> stau pair
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
MASS STAU-LR [GeV],MASS NEUTRALINO-1 [GeV]
500.4,0.0
499.5,2.4
499.3,3.0
498.4,6.1
497.7,9.1
497.3,12.1
497.0,15.2
496.9,18.2
496.9,21.2
497.0,24.2
497.2,27.3
497.5,30.3
497.7,33.3
498.0,36.4
498.3,39.4
498.5,42.4
498.7,45.5
498.8,48.5
498.9,51.5
499.0,54.5
499.0,57.6
499.1,60.6
499.1,63.6
499.1,66.7
499.0,69.7
498.9,72.7
498.6,75.8
498.3,78.8
497.8,81.8
497.2,84.8
496.5,87.9
495.7,90.9
494.8,93.9
494.4,95.1
493.9,97.0
492.9,100.0
491.9,103.0
490.9,106.1
489.9,109.1
489.4,110.8
489.0,112.1
488.1,115.2
487.3,118.2
486.6,121.2
485.8,124.2
485.1,127.3
484.3,130.2
484.3,130.3
483.5,133.3
482.7,136.4
481.7,139.4
480.6,142.4
479.4,145.5
479.3,145.7
478.1,148.5
476.7,151.5
475.3,154.5
474.2,156.6
473.7,157.6
472.2,160.6
470.6,163.6
469.2,166.3
469.0,166.7
467.3,169.7
465.5,172.7
464.1,174.8
463.5,175.8
461.3,178.8
459.1,181.6
458.9,181.8
456.1,184.8
454.0,186.9
453.0,187.9
449.4,190.9
449.0,191.2
445.0,193.9
443.9,194.6
439.5,197.0
438.9,197.3
433.8,199.3
431.8,200.0
428.8,200.9
423.7,202.0
418.7,202.8
415.9,203.0
413.6,203.2
408.6,203.4
403.5,203.4
398.5,203.3
394.4,203.0
393.4,203.0
388.4,202.6
383.3,202.0
378.3,201.5
373.2,200.8
368.2,200.1
367.5,200.0
363.1,199.3
358.1,198.5
353.0,197.5
350.6,197.0
348.0,196.4
342.9,195.0
339.3,193.9
337.9,193.5
332.8,191.5
331.4,190.9
327.8,189.3
325.0,187.9
322.7,186.7
319.2,184.8
317.7,184.1
313.3,181.8
312.6,181.5
307.6,179.2
306.7,178.8
302.5,177.1
298.8,175.8
297.5,175.3
292.4,173.7
288.9,172.7
287.4,172.3
282.3,170.9
277.8,169.7
277.3,169.6
272.2,168.0
268.3,166.7
267.2,166.3
262.1,164.1
261.1,163.6
257.1,161.5
255.6,160.6
252.0,158.4
250.9,157.6
247.0,154.8
246.7,154.5
242.6,151.5
241.9,151.1
238.4,148.5
236.9,147.5
234.2,145.5
231.8,143.9
229.8,142.4
226.8,140.3
225.5,139.4
221.7,136.7
221.3,136.4
217.3,133.3
216.7,132.9
213.4,130.3
211.6,129.0
209.5,127.3
206.6,125.0
205.6,124.2
201.7,121.2
201.5,121.1
197.7,118.2
196.5,117.2
193.8,115.2
191.4,113.3
189.9,112.1
186.4,109.3
186.1,109.1
182.4,106.1
181.3,105.2
178.7,103.0
176.3,101.0
175.1,100.0
171.4,97.0
171.2,96.8
167.7,93.9
166.2,92.7
164.0,90.9
161.1,88.4
160.4,87.9
157.1,84.8
156.1,83.8
154.0,81.8
151.0,78.8
150.9,78.8
147.9,75.8
146.0,73.8
144.8,72.7
141.3,69.7
140.9,69.4
137.4,66.7
135.9,65.6
133.1,63.6
130.8,62.1
128.5,60.6
125.8,58.8
123.9,57.6
120.7,55.4
119.5,54.5
115.7,51.8
115.3,51.5
111.5,48.5
110.6,47.7
108.0,45.5
105.6,43.2
104.7,42.4
101.7,39.4
100.5,38.1
98.7,36.4
95.8,33.3
95.5,32.9
92.8,30.3
90.4,28.0
89.6,27.3
86.4,24.2
85.4,23.3
83.0,21.2
80.3,18.7

