#: table_doi: 10.17182/hepdata.145758.v1/t19
#: name: Table 19
#: description: Observed 95\% CL exclusion limits on the simplified models of $\tilde{\tau}_{L}\tilde{\tau}_{L}$ production.

#: data_file: fig_12bobs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword reactions: p p -> stau pair
#: keyword phrases: Supersymmetry | SUSY | proton-proton scattering
MASS STAU-L [GeV],MASS NEUTRALINO-1 [GeV]
425.9,0.0
425.7,3.0
425.4,6.1
425.2,9.1
425.0,12.1
424.8,15.2
424.6,18.2
424.4,21.2
424.1,24.2
423.9,27.3
423.7,28.6
423.6,30.3
423.2,33.3
422.8,36.4
422.4,39.4
421.9,42.4
421.3,45.5
420.6,48.5
420.0,51.5
419.2,54.5
418.7,56.9
418.5,57.6
417.8,60.6
417.2,63.6
416.6,66.7
416.1,69.7
415.7,72.7
415.4,75.8
415.2,78.8
415.1,81.8
415.1,84.8
415.2,87.9
415.4,90.9
415.6,93.9
415.9,97.0
416.2,100.0
416.4,103.0
416.6,106.1
416.5,109.1
416.3,112.1
415.7,115.2
414.8,118.2
413.6,121.1
413.6,121.2
411.8,124.2
409.6,127.3
408.6,128.4
406.7,130.3
403.5,132.9
403.0,133.3
398.5,136.0
397.7,136.4
393.4,138.1
388.8,139.4
388.4,139.5
383.3,140.4
378.3,140.8
373.2,140.9
368.2,140.8
363.1,140.5
358.1,139.9
353.9,139.4
353.0,139.3
348.0,138.5
342.9,137.6
337.9,136.7
336.0,136.4
332.8,135.8
327.8,135.1
322.7,134.6
317.7,134.4
312.6,134.5
307.6,134.8
302.5,135.2
297.5,135.6
292.4,136.0
287.4,136.3
285.7,136.4
282.3,136.5
277.3,136.4
275.7,136.4
272.2,136.2
267.2,135.9
262.1,135.3
257.1,134.5
252.0,133.5
251.4,133.3
247.0,132.2
241.9,130.7
241.0,130.3
236.9,128.7
233.8,127.3
231.8,126.3
228.4,124.2
226.8,123.2
223.9,121.2
221.7,119.6
220.0,118.2
216.7,115.5
216.3,115.2
212.4,112.1
211.6,111.6
208.1,109.1
206.6,108.2
203.1,106.1
201.5,105.2
197.7,103.0
196.5,102.4
192.1,100.0
191.4,99.6
186.7,97.0
186.4,96.8
181.7,93.9
181.3,93.7
177.2,90.9
176.3,90.2
173.2,87.9
171.2,86.1
169.8,84.8
166.9,81.8
166.2,81.0
164.3,78.8
161.9,75.8
161.1,74.7
159.5,72.7
157.2,69.7
156.1,68.3
154.6,66.7
151.7,63.6
151.0,63.0
148.3,60.6
146.0,58.7
144.5,57.6
140.9,54.9
140.4,54.5
136.1,51.5
135.9,51.3
131.8,48.5
130.8,47.8
127.4,45.5
125.8,44.3
123.2,42.4
120.7,40.6
119.0,39.4
115.7,36.8
115.1,36.4
111.4,33.3
110.6,32.7
107.9,30.3
105.6,28.1
104.7,27.3
101.7,24.2
100.5,23.0
98.9,21.2
96.2,18.2
95.5,17.3
93.7,15.2
91.3,12.1
90.4,10.9
89.0,9.1
86.8,6.1
85.4,4.0
84.7,3.0
82.5,0.0

