#: table_doi: 10.17182/hepdata.157553.v1/t33
#: name: Observed exclusion limit from Aux. Fig. 3
#: description: Observed and expected exclusion limits on the SBH model where mass-degenerate $\tilde{e}_{\text{L}}$, $\tilde{\mu}_{\text{L}}$ and $\tilde{\nu}$ is considered. The expected 95% CL exclusion limit is shown as a dashed black line, with the yellow band indicating $\pm1\sigma_{\text{exp}}$ including all uncertainties except for the signal cross-section uncertainty. The observed 95% CL exclusion limit is shown as a red solid line, with the dotted red lines indicating $\pm1\sigma_{\text{theory}}$ due to the signal cross-section uncertainty. The limits are shown projected onto the $m(\tilde{\ell}_{\text{L}}^{\pm})$ vs $m(\tilde{\chi}^0_3)$ plane, with $m(\tilde{\chi}^0_1)$ assumed to be 150 GeV.
#: data_file: observed_exclusion_limit_from_aux._fig._20.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{\ell}_{\text{L}}^{\pm})$ [GeV],$m(\tilde{\chi}^0_3)$ [GeV]
234.24,181.84
239.6,180.46
244.95,179.6
250.3,179.15
255.66,179.02
261.01,179.17
266.36,179.56
271.72,180.14
277.07,180.88
282.42,181.77
284.94,182.22
287.78,182.8
293.13,183.95
298.48,185.14
303.84,186.36
305.23,186.67
309.19,187.68
314.55,189.03
319.9,190.38
322.88,191.11
325.25,191.78
330.61,193.2
335.96,194.54
340.38,195.56
341.31,195.79
346.67,196.93
352.02,197.87
357.37,198.62
362.73,199.2
368.08,199.66
372.84,200.0
373.43,200.05
378.79,200.44
384.14,200.86
389.49,201.33
394.85,201.88
400.2,202.55
405.56,203.35
410.91,204.31
411.59,204.44
416.26,205.71
421.62,207.38
425.97,208.89
426.97,209.47
432.32,212.73
433.29,213.33
435.27,217.78
432.32,221.48
431.74,222.22
426.97,224.56
422.66,226.67
421.62,226.99
416.26,228.72
410.91,230.49
409.11,231.11
405.56,232.12
400.2,233.78
395.22,235.56
394.85,235.69
389.49,237.77
384.72,240.0
384.14,240.31
378.79,243.46
377.24,244.44
373.43,247.65
371.95,248.89
368.51,253.33
368.08,254.44
366.58,257.78
366.2,262.22
367.09,266.67
368.08,269.2
368.73,271.11
370.49,275.56
372.05,280.0
372.74,284.44
371.64,288.89
368.08,292.69
366.42,293.33
362.73,294.15
357.37,293.66
356.37,293.33
352.02,291.84
346.67,289.49
345.45,288.89
341.31,286.84
335.96,284.64
335.41,284.44
330.61,282.69
325.25,281.36
319.9,280.43
316.84,280.0
314.55,279.62
309.19,278.74
303.84,277.76
298.48,276.55
295.1,275.56
293.13,274.76
287.78,272.07
286.18,271.11
282.42,267.85
281.22,266.67
277.97,262.22
277.07,260.73
275.41,257.78
272.57,253.33
271.72,252.35
269.0,248.89
266.36,246.48
264.39,244.44
261.01,241.7
259.16,240.0
255.66,237.27
253.69,235.56
250.3,232.9
248.23,231.11
244.95,228.43
242.95,226.67
239.6,223.72
238.0,222.22
234.24,218.51
233.53,217.78
229.67,213.33
228.89,212.25
226.51,208.89
224.08,204.44
223.54,202.89
222.51,200.0
221.97,195.56
222.79,191.11
223.54,189.82
225.79,186.67
228.89,184.43
233.15,182.22
234.24,181.84

