#: table_doi: 10.17182/hepdata.157553.v1/t11
#: name: Observed exclusion limit from Fig. 15
#: description: Observed and expected exclusion limits on the SBH model where mass-degenerate $\tilde{e}_{\text{L}}$, $\tilde{\mu}_{\text{L}}$ and $\tilde{\nu}$ are considered. The expected 95% CL exclusion limit is shown as a dashed black line, with the yellow band indicating $\pm1\sigma_{\text{exp}}$ including all uncertainties except for the signal cross-section uncertainty. The observed 95% CL exclusion limit is shown as a red solid line, with the dotted red lines indicating $\pm1\sigma_{\text{theory}}$ due to the signal cross-section uncertainty. The limits are shown projected onto the $m(\tilde{\ell}_{\text{L}}^{\pm})$ vs $m(\tilde{\chi}^0_3)$ plane, with $m(\tilde{\chi}^0_1)$ assumed to be 100~GeV.
#: data_file: observed_exclusion_limit_from_fig._15.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{\ell}_{\text{L}}^{\pm})$ [GeV],$m(\tilde{\chi}^0_3)$ [GeV]
166.87,119.25
172.73,118.54
178.59,118.04
184.44,117.71
190.3,117.53
196.16,117.47
202.02,117.52
207.88,117.67
213.74,117.91
219.6,118.24
225.45,118.64
231.31,119.13
237.17,119.68
239.34,119.9
243.03,120.33
248.89,121.07
254.75,121.85
260.61,122.66
266.46,123.48
272.32,124.29
276.51,124.85
278.18,125.11
284.04,125.95
289.9,126.75
295.76,127.51
301.62,128.26
307.47,129.0
313.33,129.76
313.59,129.8
319.19,130.67
325.05,131.63
330.91,132.66
336.77,133.76
341.81,134.75
342.63,134.93
348.48,136.22
354.34,137.44
360.2,138.56
366.06,139.57
366.83,139.7
371.92,140.54
377.78,141.48
383.64,142.44
389.49,143.48
395.35,144.64
395.4,144.65
401.21,146.0
407.07,147.57
412.93,149.34
413.72,149.6
418.79,151.47
424.65,153.78
426.6,154.55
430.51,156.47
436.36,159.18
437.15,159.49
442.22,162.61
445.89,164.44
448.08,167.85
449.38,169.39
448.08,170.63
445.2,174.34
442.22,175.7
436.36,178.96
435.85,179.29
430.51,181.49
424.65,183.97
424.01,184.24
418.79,186.04
412.93,187.89
408.36,189.19
407.07,189.54
401.21,191.02
395.35,192.39
389.49,193.72
387.57,194.14
383.64,195.15
377.78,196.61
371.92,198.02
367.19,199.09
366.06,199.45
360.2,201.24
354.34,203.13
351.89,204.04
348.48,206.48
345.54,208.99
345.14,213.94
348.48,217.47
350.04,218.89
354.34,221.16
359.17,223.84
360.2,224.35
366.06,227.95
367.15,228.79
371.92,233.39
372.22,233.74
374.92,238.69
375.9,243.64
375.66,248.59
374.64,253.54
373.21,258.48
371.92,262.63
371.67,263.43
370.28,268.38
369.2,273.33
368.51,278.28
368.12,283.23
367.83,288.18
367.27,293.13
366.06,297.66
365.91,298.08
362.42,303.03
360.2,304.74
354.34,306.86
348.48,306.96
342.63,305.55
336.94,303.03
336.77,302.94
330.91,298.72
330.17,298.08
325.05,293.46
324.71,293.13
319.23,288.18
319.19,288.16
313.33,283.68
312.71,283.23
307.47,280.01
304.5,278.28
301.62,276.78
295.76,273.69
295.11,273.33
289.9,270.46
286.49,268.38
284.04,266.84
279.27,263.43
278.18,262.6
273.35,258.48
272.32,257.54
268.3,253.54
266.46,251.64
263.64,248.59
260.61,245.35
259.02,243.64
254.75,239.34
254.1,238.69
248.89,233.96
248.64,233.74
243.03,229.19
242.54,228.79
237.17,224.83
235.85,223.84
231.31,220.73
228.79,218.79
226.13,216.13
222.5,212.5
221.32,211.32
216.62,206.62
215.94,205.94
212.02,202.02
209.08,199.08
207.46,197.46
202.93,192.93
202.1,192.1
198.35,188.35
195.38,185.38
193.62,183.62
189.2,179.2
188.66,178.66
183.59,173.59
183.39,173.39
178.42,168.42
177.74,167.74
173.56,163.56
171.69,161.69
168.88,158.88
165.35,155.35
164.32,154.32
159.82,149.82
158.82,148.82
155.39,145.39
151.97,141.97
151.18,141.18
147.27,137.27
143.94,133.94
141.41,131.41
140.36,129.8
143.43,127.25
146.79,124.85
149.29,123.82
155.15,121.79
161.01,120.25
162.72,119.9
166.87,119.25

