#: table_doi: 10.17182/hepdata.157553.v1/t17
#: name: Observed exclusion limit from Fig. 16a
#: description: Observed and expected exclusion limits on the SBH model where only $\tilde{e}_{\text{L}}$ is considered. The expected 95% CL exclusion limit is shown as a dashed black line, with the yellow band indicating $\pm1\sigma_{\text{exp}}$ including all uncertainties except for the signal cross-section uncertainty. The observed 95% CL exclusion limit is shown as a red solid line, with the dotted red lines indicating $\pm1\sigma_{\text{theory}}$ due to the signal cross-section uncertainty. The limits are shown projected onto the $m(\tilde{\ell}_{\text{L}}^{\pm})$ vs $m(\tilde{\chi}^0_3)$ plane, with $m(\tilde{\chi}^0_1)$ assumed to be 100~GeV.
#: data_file: observed_exclusion_limit_from_fig._16a.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{\ell}_{\text{L}}^{\pm})$ [GeV],$m(\tilde{\chi}^0_3)$ [GeV]
172.73,123.88
178.59,122.41
184.44,121.43
190.3,120.83
196.16,120.52
202.02,120.44
207.88,120.55
213.74,120.82
219.6,121.22
225.45,121.72
231.31,122.31
237.17,122.96
243.03,123.67
248.89,124.42
252.18,124.85
254.75,125.25
260.61,126.18
266.46,127.09
272.32,127.98
278.18,128.83
284.04,129.67
284.97,129.8
289.9,130.64
295.76,131.64
301.62,132.66
307.47,133.71
313.06,134.75
313.33,134.81
319.19,136.21
325.05,137.64
330.91,139.11
333.33,139.7
336.77,140.78
342.63,142.54
348.48,144.16
350.41,144.65
354.34,145.83
360.2,147.36
366.06,148.71
370.02,149.6
371.92,150.07
377.78,151.62
383.64,153.23
388.01,154.55
389.49,155.06
395.35,157.34
400.68,159.49
401.21,159.81
407.07,163.56
408.41,164.44
410.58,169.39
407.07,173.2
405.75,174.34
401.21,175.86
395.35,177.27
389.49,178.19
383.64,178.73
377.78,179.01
371.92,179.19
369.33,179.29
366.06,179.4
360.2,179.77
354.34,180.49
348.48,181.69
342.63,183.53
340.98,184.24
336.77,185.87
330.91,188.85
330.35,189.19
325.05,192.44
322.67,194.14
319.19,196.82
316.5,199.09
313.33,202.26
311.6,204.04
307.86,208.99
307.47,209.76
305.18,213.94
303.59,218.89
303.12,223.84
303.91,228.79
306.43,233.74
307.47,235.15
311.12,238.69
313.33,240.67
318.73,243.64
319.19,244.1
325.05,247.97
326.13,248.59
325.05,251.52
319.19,251.87
313.33,250.38
307.47,248.73
307.13,248.59
301.62,245.65
297.41,243.64
295.76,242.78
289.9,239.49
288.62,238.69
284.04,236.2
279.63,233.74
278.18,233.09
272.32,229.98
270.29,228.79
266.46,226.85
261.1,223.84
260.61,223.59
254.75,220.04
253.05,218.89
248.89,216.08
246.05,213.94
243.03,211.6
239.96,208.99
237.17,206.54
234.46,204.04
231.31,201.11
229.13,199.09
225.45,195.81
223.48,194.14
219.6,191.09
216.97,189.19
213.74,187.05
209.19,184.24
207.88,183.49
202.02,180.16
200.52,179.29
196.16,176.82
192.07,174.34
190.3,173.26
184.55,169.39
184.44,169.32
178.59,164.78
178.19,164.44
172.73,159.51
172.71,159.49
168.08,154.55
166.87,153.03
164.24,149.6
161.34,144.65
161.01,143.64
159.72,139.7
159.78,134.75
161.01,132.18
162.4,129.8
166.87,126.49
169.92,124.85
172.73,123.88

