#: table_doi: 10.17182/hepdata.157553.v1/t23
#: name: Observed exclusion limit from Fig. 16b
#: description: Observed and expected exclusion limits on the SBH model where only $\tilde{\mu}_{\text{L}}$ is considered. The expected 95% CL exclusion limit is shown as a dashed black line, with the yellow band indicating $\pm1\sigma_{\text{exp}}$ including all uncertainties except for the signal cross-section uncertainty. The observed 95% CL exclusion limit is shown as a red solid line, with the dotted red lines indicating $\pm1\sigma_{\text{theory}}$ due to the signal cross-section uncertainty. The limits are shown projected onto the $m(\tilde{\ell}_{\text{L}}^{\pm})$ vs $m(\tilde{\chi}^0_3)$ plane, with $m(\tilde{\chi}^0_1)$ assumed to be 100~GeV.
#: data_file: observed_exclusion_limit_from_fig._16b.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{\ell}_{\text{L}}^{\pm})$ [GeV],$m(\tilde{\chi}^0_3)$ [GeV]
178.59,129.45
184.44,128.49
190.3,127.78
196.16,127.34
202.02,127.17
207.88,127.27
213.74,127.64
219.6,128.3
225.45,129.22
228.36,129.8
231.31,130.46
237.17,131.98
243.03,133.7
246.38,134.75
248.89,135.66
254.75,137.81
259.88,139.7
260.61,140.01
266.46,142.4
272.17,144.65
272.32,144.72
278.18,147.25
283.81,149.6
284.04,149.71
289.9,152.51
294.26,154.55
295.76,155.41
301.62,158.65
303.23,159.49
307.47,162.28
311.2,164.44
313.33,166.06
318.76,169.39
319.19,169.76
325.05,173.54
326.87,174.34
330.91,177.36
335.15,179.29
336.77,182.68
337.97,184.24
336.77,184.92
332.06,189.19
330.91,189.75
325.05,193.91
324.8,194.14
319.19,198.57
318.64,199.09
313.39,204.04
313.33,204.11
308.79,208.99
307.47,210.57
304.22,213.94
301.62,216.65
298.39,218.89
295.76,220.52
289.9,222.03
284.04,222.04
278.18,221.26
272.32,220.04
267.94,218.89
266.46,218.58
260.61,217.04
254.75,215.35
250.3,213.94
248.89,213.55
243.03,211.72
237.17,209.78
235.02,208.99
231.31,207.78
225.45,205.73
220.91,204.04
219.6,203.59
213.74,201.42
208.53,198.53
208.47,198.47
204.29,194.29
200.61,190.61
199.93,189.93
195.35,185.35
193.83,183.83
190.43,180.43
187.98,177.98
185.03,175.03
182.82,172.82
178.97,168.97
178.16,168.16
173.86,163.86
171.96,161.96
169.79,159.79
165.92,155.92
163.81,153.81
162.21,152.21
158.72,148.72
156.84,144.65
157.83,139.7
161.01,136.41
162.91,134.75
166.87,133.02
172.73,130.94
176.84,129.8
178.59,129.45

