#: table_doi: 10.17182/hepdata.90834.v1/t7
#: name: Figure 13 (T2qq)
#: description: Exclusion limits at 95% CL for light-flavor squark pair production, where the squarks decay to $q\tilde{\chi}_1^0$. Signal cross sections are calculated at approximately NNLO+NNLL order in $\alpha_S$, assuming unity branching fraction for the given decay and 1-fold degeneracy in the light-flavor squarks (corresponding to the inner set of curves in the limit plot). To get the theory cross section for other N-fold degeneracy assumptions (e.g. 8-fold for the outer curves in the limit plot), just multiply by N.

#: data_file: mt2_limits_T2qq.yaml
#: keyword reactions: P P --> SQUARK SQUARK | P P --> SQUARK SQUARK X | SQUARK --> QUARK NEUTRALINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Squark | Cross Section
#: $\sqrt{s}$,13 TeV
#: $\mathcal{L}_\mathrm{int}$,137 fb$^{-1}$
$m_\tilde{g}$ [GEV],$m_\mathrm{LSP}$ [GEV],Theory $\sigma$ [PB],error +,error -
500,0,0.612,0.04559,-0.04559
500,25,0.612,0.04559,-0.04559
500,50,0.612,0.04559,-0.04559
500,75,0.612,0.04559,-0.04559
500,100,0.612,0.04559,-0.04559
500,125,0.612,0.04559,-0.04559
500,150,0.612,0.04559,-0.04559
500,175,0.612,0.04559,-0.04559
500,200,0.612,0.04559,-0.04559
500,225,0.612,0.04559,-0.04559
500,250,0.612,0.04559,-0.04559
500,275,0.612,0.04559,-0.04559
500,300,0.612,0.04559,-0.04559
500,325,0.612,0.04559,-0.04559
500,350,0.612,0.04559,-0.04559
500,375,0.612,0.04559,-0.04559
500,400,0.612,0.04559,-0.04559
500,425,0.612,0.04559,-0.04559
500,450,0.612,0.04559,-0.04559
500,475,0.612,0.04559,-0.04559
525,0,0.46,0.03487,-0.03487
525,25,0.46,0.03487,-0.03487
525,50,0.46,0.03487,-0.03487
525,75,0.46,0.03487,-0.03487
525,100,0.46,0.03487,-0.03487
525,125,0.46,0.03487,-0.03487
525,150,0.46,0.03487,-0.03487
525,175,0.46,0.03487,-0.03487
525,200,0.46,0.03487,-0.03487
525,225,0.46,0.03487,-0.03487
525,250,0.46,0.03487,-0.03487
525,275,0.46,0.03487,-0.03487
525,300,0.46,0.03487,-0.03487
525,325,0.46,0.03487,-0.03487
525,350,0.46,0.03487,-0.03487
525,375,0.46,0.03487,-0.03487
525,400,0.46,0.03487,-0.03487
525,425,0.46,0.03487,-0.03487
525,450,0.46,0.03487,-0.03487
525,475,0.46,0.03487,-0.03487
525,500,0.46,0.03487,-0.03487
550,0,0.349,0.02698,-0.02698
550,25,0.349,0.02698,-0.02698
550,50,0.349,0.02698,-0.02698
550,75,0.349,0.02698,-0.02698
550,100,0.349,0.02698,-0.02698
550,125,0.349,0.02698,-0.02698
550,150,0.349,0.02698,-0.02698
550,175,0.349,0.02698,-0.02698
550,200,0.349,0.02698,-0.02698
550,225,0.349,0.02698,-0.02698
550,250,0.349,0.02698,-0.02698
550,275,0.349,0.02698,-0.02698
550,300,0.349,0.02698,-0.02698
550,325,0.349,0.02698,-0.02698
550,350,0.349,0.02698,-0.02698
550,375,0.349,0.02698,-0.02698
550,400,0.349,0.02698,-0.02698
550,425,0.349,0.02698,-0.02698
550,450,0.349,0.02698,-0.02698
550,475,0.349,0.02698,-0.02698
550,500,0.349,0.02698,-0.02698
550,525,0.349,0.02698,-0.02698
575,0,0.267,0.02104,-0.02104
575,25,0.267,0.02104,-0.02104
575,50,0.267,0.02104,-0.02104
575,75,0.267,0.02104,-0.02104
575,100,0.267,0.02104,-0.02104
575,125,0.267,0.02104,-0.02104
575,150,0.267,0.02104,-0.02104
575,175,0.267,0.02104,-0.02104
575,200,0.267,0.02104,-0.02104
575,225,0.267,0.02104,-0.02104
575,250,0.267,0.02104,-0.02104
575,275,0.267,0.02104,-0.02104
575,300,0.267,0.02104,-0.02104
575,325,0.267,0.02104,-0.02104
575,350,0.267,0.02104,-0.02104
575,375,0.267,0.02104,-0.02104
575,400,0.267,0.02104,-0.02104
575,425,0.267,0.02104,-0.02104
575,450,0.267,0.02104,-0.02104
575,475,0.267,0.02104,-0.02104
575,500,0.267,0.02104,-0.02104
575,525,0.267,0.02104,-0.02104
575,550,0.267,0.02104,-0.02104
600,0,0.206,0.01658,-0.01658
600,25,0.206,0.01658,-0.01658
600,50,0.206,0.01658,-0.01658
600,75,0.206,0.01658,-0.01658
600,100,0.206,0.01658,-0.01658
600,125,0.206,0.01658,-0.01658
600,150,0.206,0.01658,-0.01658
600,175,0.206,0.01658,-0.01658
600,200,0.206,0.01658,-0.01658
600,225,0.206,0.01658,-0.01658
600,250,0.206,0.01658,-0.01658
600,275,0.206,0.01658,-0.01658
600,300,0.206,0.01658,-0.01658
600,325,0.206,0.01658,-0.01658
600,350,0.206,0.01658,-0.01658
600,375,0.206,0.01658,-0.01658
600,400,0.206,0.01658,-0.01658
600,425,0.206,0.01658,-0.01658
600,450,0.206,0.01658,-0.01658
600,475,0.206,0.01658,-0.01658
600,500,0.206,0.01658,-0.01658
600,525,0.206,0.01658,-0.01658
600,550,0.206,0.01658,-0.01658
600,575,0.206,0.01658,-0.01658
625,0,0.16,0.01314,-0.01314
625,25,0.16,0.01314,-0.01314
625,50,0.16,0.01314,-0.01314
625,75,0.16,0.01314,-0.01314
625,100,0.16,0.01314,-0.01314
625,125,0.16,0.01314,-0.01314
625,150,0.16,0.01314,-0.01314
625,175,0.16,0.01314,-0.01314
625,200,0.16,0.01314,-0.01314
625,225,0.16,0.01314,-0.01314
625,250,0.16,0.01314,-0.01314
625,275,0.16,0.01314,-0.01314
625,300,0.16,0.01314,-0.01314
625,325,0.16,0.01314,-0.01314
625,350,0.16,0.01314,-0.01314
625,375,0.16,0.01314,-0.01314
625,400,0.16,0.01314,-0.01314
625,425,0.16,0.01314,-0.01314
625,450,0.16,0.01314,-0.01314
