#: table_doi: 10.17182/hepdata.95664.v2/t46
#: name: Obs.Contour 1
#: description: Exclusion limits in the mass plane of the lightest neutralino and first- and second-generation squarks assuming squark pair production and direct decays obtained by using the signal region with the best expected sensitivity at each point. The observed limits are indicated by the medium dark (maroon) curve where the solid contour represents the nominal limit, and the dotted lines are obtained by varying the signal cross-section by the renormalisation and factorisation scale and PDF uncertainties.
#: data_file: obs.contour_1.yaml
#: keyword reactions: PP --> SQUARK SQUARK | PP --> GLUINO GLUINO | PP --> SQUARK GLUINO
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
M(Squark) [GeV],M(LSP) [GeV]
1858.0,0.0
1855.0,16.162
1854.0,24.179
1853.0,32.323
1850.0,48.485
1847.0,64.646
1845.0,80.808
1843.0,96.97
1842.0,113.13
1841.0,129.29
1840.0,145.45
1839.0,161.62
1838.0,176.73
1838.0,177.78
1837.0,193.94
1835.0,210.1
1834.0,226.26
1831.0,242.42
1829.0,258.59
1827.0,274.75
1825.0,290.91
1822.0,307.07
1822.0,310.82
1820.0,323.23
1817.0,339.39
1815.0,355.56
1812.0,371.72
1809.0,387.88
1806.0,402.48
1805.0,404.04
1799.0,420.2
1792.0,436.36
1789.0,442.82
1785.0,452.53
1777.0,468.69
1773.0,477.04
1769.0,484.85
1761.0,501.01
1757.0,507.72
1752.0,517.17
1743.0,533.33
1741.0,536.3
1733.0,549.49
1725.0,563.36
1723.0,565.66
1713.0,581.82
1709.0,587.86
1701.0,597.98
1692.0,608.97
1688.0,614.14
1676.0,626.49
1672.0,630.3
1660.0,640.65
1652.0,646.46
1644.0,652.04
1628.0,661.41
1625.0,662.63
1612.0,669.35
1595.0,676.38
1590.0,678.79
1579.0,682.8
1563.0,688.85
1547.0,694.62
1546.0,694.95
1531.0,700.38
1515.0,706.2
1503.0,711.11
1498.0,713.34
1482.0,723.13
1476.0,727.27
1466.0,732.68
1450.0,741.67
1447.0,743.43
1434.0,750.08
1418.0,757.86
1414.0,759.6
1402.0,765.16
1385.0,772.16
1377.0,775.76
1369.0,778.95
1353.0,785.21
1337.0,790.53
1332.0,791.92
1321.0,794.94
1305.0,798.28
1288.0,800.53
1272.0,801.79
1256.0,802.23
1240.0,802.03
1224.0,801.35
1208.0,800.35
1191.0,799.45
1175.0,798.66
1159.0,797.7
1143.0,796.54
1127.0,795.15
1111.0,793.41
1100.0,791.92
1094.0,791.11
1078.0,788.01
1062.0,783.56
1046.0,777.4
1043.0,775.76
1030.0,770.78
1014.0,764.55
998.0,759.6
997.0,759.55
981.0,755.73
965.0,752.16
949.0,748.28
933.0,743.93
931.0,743.43
917.0,739.66
901.0,737.09
884.0,739.66
873.0,743.43
868.0,745.09
852.0,750.57
836.0,754.71
820.0,755.89
804.0,752.56
787.0,748.9
774.0,743.43
771.0,742.4
755.0,731.67
751.0,727.27
739.0,712.06
738.0,711.11
723.0,697.57
718.0,694.95
707.0,686.95
697.0,678.79
690.0,673.93
676.0,662.63
674.0,661.79
658.0,650.23
655.0,646.46
642.0,636.36
637.0,630.3
626.0,615.49
624.0,614.14
610.0,600.25
607.0,597.98
593.0,585.53
590.0,581.82
577.0,569.76
573.0,565.66
561.0,552.03
558.0,549.49
545.0,533.91
544.0,533.33
530.0,517.17
529.0,516.44
513.0,502.28
511.0,501.01
496.0,488.12
494.0,484.85
480.0,472.95
476.0,468.69
464.0,455.34
461.0,452.53
451.0,436.36
448.0,431.96
441.0,420.2
432.0,410.38
423.0,404.04
416.0,399.39
400.0,392.27

