#: table_doi: 10.17182/hepdata.95664.v2/t52
#: name: Obs.Contour 4
#: description: Exclusion limits in the mass plane of the lightest neutralino and squarks. The observed limits are indicated by the medium dark (maroon) curves where the solid contour represents the nominal limit, and the dotted lines are obtained by varying the signal cross-section by the renormalisation and factorisation scale and PDF uncertainties.
#: data_file: obs.contour_4.yaml
#: keyword reactions: PP --> SQUARK SQUARK | PP --> GLUINO GLUINO | PP --> SQUARK GLUINO
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
M(Squark) [GeV],M(LSP) [GeV]
1306.0,0.0
1304.0,18.183
1302.0,36.366
1301.0,54.548
1300.0,72.731
1299.0,90.914
1298.0,109.1
1298.0,127.28
1297.0,145.46
1296.0,163.64
1293.0,181.83
1290.0,200.01
1287.0,209.73
1286.0,218.19
1281.0,236.38
1275.0,254.56
1270.0,272.74
1267.0,281.32
1265.0,290.92
1261.0,309.11
1258.0,327.29
1255.0,345.47
1252.0,363.66
1248.0,381.84
1247.0,388.65
1245.0,400.02
1242.0,418.2
1239.0,436.39
1236.0,454.57
1233.0,472.75
1230.0,490.93
1227.0,509.12
1227.0,511.1
1224.0,527.3
1219.0,545.48
1215.0,563.67
1209.0,581.85
1207.0,587.51
1186.0,593.89
1166.0,587.62
1146.0,583.39
1136.0,581.85
1126.0,580.24
1106.0,578.0
1085.0,576.47
1065.0,575.41
1045.0,574.66
1025.0,573.99
1005.0,573.18
984.0,571.98
964.0,570.26
944.0,567.93
924.0,565.02
916.0,563.67
904.0,561.64
883.0,558.02
863.0,554.41
843.0,551.18
823.0,548.7
803.0,547.27
782.0,546.98
762.0,547.63
742.0,548.99
722.0,551.34
702.0,556.4
689.0,563.67
681.0,569.25
672.0,581.85
661.0,599.34
660.0,600.03
641.0,607.94
621.0,604.36
616.0,600.03
601.0,594.32
589.0,581.85
585.0,563.67
601.0,553.15
613.0,545.48
601.0,527.38
580.0,533.36
560.0,532.86
552.0,527.3
540.0,523.47
520.0,511.56
518.0,509.12
500.0,496.94

