#: table_doi: 10.17182/hepdata.97041.v2/t19
#: name: Exclusion contour 3 (obs.)
#: description: Observed 95% CL exclusion contours for the squark one-step x = 1/2 model.
#: data_file: limitsFigSSx12Obs.yaml
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Squark | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1410.9,43.0
1409.2,62.0
1407.25,81.0
1405.97,91.4
1404.91,100.0
1402.1,119.0
1398.81,138.01
1395.03,157.01
1390.71,176.01
1386.97,189.66
1385.44,195.01
1377.89,214.01
1368.99,233.01
1367.97,235.03
1359.32,252.01
1348.97,270.22
1348.52,271.01
1336.67,290.01
1329.97,300.17
1324.11,309.01
1312.19,328.02
1310.97,329.81
1300.39,347.02
1291.97,358.5
1286.88,366.02
1272.97,384.13
1272.34,385.02
1258.37,404.02
1253.97,410.28
1246.13,423.02
1236.33,442.02
1234.96,445.1
1228.72,461.02
1222.32,480.02
1216.9,499.02
1215.96,502.88
1212.04,518.03
1207.32,537.03
1202.32,556.03
1196.96,573.92
1196.48,575.03
1181.63,594.03
1177.96,595.7
1158.96,602.42
1139.96,607.53
1120.96,611.36
1109.95,613.03
1101.96,614.09
1082.96,615.92
1063.96,616.89
1044.95,617.02
1025.95,616.3
1006.95,614.75
992.83,613.03
987.95,612.49
968.95,609.72
949.95,606.62
930.95,603.46
911.95,600.47
892.95,597.74
873.95,595.05
867.4,594.03
854.94,592.24
835.94,589.16
816.94,586.27
797.94,587.41
789.45,594.03
781.96,613.03
780.68,632.03
778.97,651.03
778.94,651.16
773.68,670.03
759.94,686.73
754.85,689.03
740.94,692.61
721.94,690.27
719.48,689.03
702.94,682.49
685.6,670.03
683.93,668.79
667.92,651.03
664.93,646.67
653.77,632.03
645.93,619.92
640.85,613.03
632.19,594.03
626.93,586.21
622.41,575.03
607.93,567.0
588.93,565.12
569.93,557.16
568.8,556.03
550.93,538.7
549.38,537.03
531.93,519.17
530.68,518.03
512.93,500.86
511.18,499.02
495.51,480.02
493.93,479.33
474.92,470.24
465.94,461.02
455.92,448.75
451.29,442.02
438.19,423.02
436.92,421.76
417.92,408.56
409.92,404.02
398.92,396.34

