#: table_doi: 10.17182/hepdata.97041.v2/t21
#: name: Exclusion contour 4 (obs.)
#: description: Observed 95% CL exclusion contours for one-flavour schemes in one-step x = 1/2 model.
#: data_file: limitsFigSSx12_flavourObs.yaml
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Squark | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
399.74,366.02
417.92,376.26
430.27,385.02
436.92,395.68
445.52,404.02
455.92,423.02
455.92,423.03
462.84,442.02
474.92,455.27
486.96,461.02
493.93,462.19
512.93,461.18
515.3,461.02
531.93,458.41
550.93,454.88
569.93,450.32
588.93,446.67
607.93,444.97
626.93,445.1
645.93,446.56
664.93,448.68
683.93,450.64
702.94,451.69
721.94,451.32
740.94,449.52
759.94,446.61
778.94,442.95
783.01,442.02
797.94,438.61
816.94,433.3
835.94,426.96
846.88,423.02
854.94,419.7
873.95,411.42
889.32,404.02
892.95,401.97
911.95,390.19
919.16,385.02
930.95,374.94
939.96,366.02
949.95,354.26
955.41,347.02
967.63,328.02
968.95,325.68
977.67,309.01
986.17,290.01
987.95,285.49
993.43,271.01
999.63,252.01
1004.86,233.01
1006.95,223.91
1009.23,214.01
1012.82,195.01
1015.61,176.01
1017.63,157.01
1018.98,138.01
1019.92,119.0
1021.52,100.0
1025.37,81.0
1025.95,78.42
1029.87,62.0
1034.38,43.0

