#: table_doi: 10.17182/hepdata.139720.v1/t21
#: name: Exclusion contour(Obs) from Fig 7(b)
#: description: Observed exclusion limits at 95% CL from Fig 7(b) for $\tilde{q}$ decays into SM gauge bosons and $\tilde{\chi}^{0}_{1}$
#: data_file: exclusion_contour(obs)_from_fig_7(b).yaml
#: keyword observables: CLS
#: keyword reactions: P P --> SQUARK SQUARK --> qq CHARGINO1 CHARGINO1 --> qq WWZZ NEUTRALINO1 NEUTRALINO1
#: keyword phrases: Inclusive | Limits | Exclusion | Proton-Proton Scattering | SUSY | Supersymmetry | SQUARK | CHARGINO1 | NEUTRALINO2 | NEUTRALINO1
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
1270.3,100.0
1268.3,110.1
1266.1,120.2
1263.6,130.3
1260.8,140.4
1257.9,150.51
1255.0,160.61
1252.1,170.71
1249.4,180.81
1247.1,190.91
1245.2,201.01
1243.9,211.11
1242.9,221.21
1242.1,231.31
1241.5,241.41
1241.0,251.52
1240.4,261.62
1239.5,271.72
1238.4,281.82
1237.9,284.67
1236.9,291.92
1235.2,302.02
1233.1,312.12
1230.6,322.22
1227.9,332.32
1225.1,342.42
1222.2,352.53
1219.3,362.63
1216.6,372.73
1214.1,382.83
1212.0,392.93
1210.3,403.03
1209.1,413.13
1208.3,423.23
1207.8,433.33
1207.4,443.43
1207.2,453.54
1206.9,463.64
1206.4,473.74
1205.3,483.84
1203.4,493.94
1200.1,504.04
1195.3,514.14
1189.3,524.24
1182.3,534.34
1179.3,538.43
1172.5,544.44
1161.7,554.55
1151.6,564.65
1141.9,574.75
1132.2,584.85
1122.0,594.95
1120.7,596.18
1113.9,605.05
1106.4,615.15
1099.0,625.25
1091.8,635.35
1084.9,645.45
1078.4,655.56
1072.4,665.66
1067.1,675.76
1062.7,685.86
1062.1,687.7
1060.1,695.96
1058.3,706.06
1057.0,716.16
1055.9,726.26
1054.7,736.36
1053.1,746.46
1050.6,756.57
1046.4,766.67
1039.6,776.77
1028.5,786.87
1005.0,796.97
1003.4,797.29
1003.2,796.97
997.31,786.87
991.86,776.77
984.34,766.67
971.76,756.57
948.43,746.46
944.83,745.37
911.19,736.36
886.21,731.16
870.23,726.26
851.41,716.16
839.41,706.06
828.26,695.96
827.59,695.45
816.67,685.86
808.65,675.76
803.07,665.66
798.99,655.56
795.71,645.45
792.81,635.35
790.07,625.25
787.47,615.15
785.15,605.05
783.16,594.95
781.22,584.85
778.67,574.75
774.62,564.65
768.97,555.85
768.33,554.55
760.05,544.44
740.07,534.34
710.34,528.37
695.48,524.24
674.45,514.14
663.1,504.04
655.75,493.94
651.72,487.21
649.4,483.84
642.75,473.74
635.45,463.64
626.84,453.54
616.15,443.43
602.26,433.33
593.1,427.94
584.92,423.23
573.13,413.13
565.39,403.03
559.61,392.93
554.31,382.83
548.42,372.73
541.42,362.63
534.48,354.11
532.6,352.53
520.64,342.42
508.61,332.32

