#: table_doi: 10.17182/hepdata.139720.v1/t26
#: name: Exclusion contour(Obs) from Fig 7(d)
#: description: Observed exclusion limits at 95% CL from Fig 7(d) for $\tilde{q}$ decays into sleptons and subsequently to SM leptons and $\tilde{\chi}^{0}_{1}$
#: data_file: exclusion_contour(obs)_from_fig_7(d).yaml
#: keyword observables: CLS
#: keyword reactions: P P --> SQUARK SQUARK --> qq CHARGINO1 NEUTRALINO2 --> qq(ll/vv)(ll/vv) NEUTRALINO1 NEUTRALINO1
#: keyword phrases: Inclusive | Limits | Exclusion | Proton-Proton Scattering | SUSY | Supersymmetry | SQUARK | CHARGINO1 | NEUTRALINO2 | SLEPTON | SNEUTRINO | NEUTRALINO1
#: keyword cmenergies: 13000
#: SQRT(S) [TeV],13
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
1693.9,101.73
1692.5,117.17
1691.2,134.35
1690.2,151.52
1689.4,168.69
1688.7,185.86
1688.2,203.04
1687.6,220.21
1687.0,237.38
1686.3,254.55
1685.5,271.73
1684.5,288.9
1683.3,306.07
1681.9,323.24
1680.2,340.42
1678.8,353.44
1678.3,357.59
1676.2,374.76
1673.8,391.93
1671.1,409.11
1668.2,426.28
1664.9,443.45
1663.6,449.62
1661.3,460.62
1657.5,477.8
1653.3,494.97
1648.7,512.14
1648.5,512.91
1643.8,529.31
1638.6,546.49
1633.3,562.78
1633.0,563.66
1627.1,580.83
1620.6,598.0
1618.2,603.87
1613.5,615.18
1605.7,632.35
1603.0,637.83
1597.1,649.52
1587.9,666.01
1587.5,666.69
1576.6,683.87
1572.7,689.38
1564.2,701.04
1557.6,709.07
1549.7,718.21
1542.4,725.75
1532.6,735.38
1527.3,740.01
1512.1,752.39
1511.9,752.56
1497.0,763.12
1487.0,769.73
1481.8,772.8
1466.7,781.59
1457.2,786.9
1451.5,789.86
1436.4,797.73
1424.2,804.07
1421.2,805.52
1406.1,813.27
1390.9,821.25
1390.9,821.26
1375.8,829.35
1360.6,837.74
1359.4,838.42
1345.5,846.05
1330.3,854.33
1328.0,855.59
1315.2,861.98
1300.0,869.01
1291.0,872.76
1284.8,875.05
1269.7,879.71
1254.5,883.08
1239.4,884.81
1224.2,884.49
1209.1,881.69
1193.9,876.12
1187.9,872.76
1178.8,867.38
1163.6,856.39
1162.7,855.59
1148.5,844.41
1140.8,838.42
1133.3,833.11
1118.2,823.22
1114.8,821.25
1103.0,814.93
1087.9,808.11
1077.1,804.07
1072.7,802.51
1057.6,797.95
1042.4,794.1
1027.3,790.68
1012.1,787.29
1010.5,786.9
996.97,783.8
981.82,779.3
966.67,772.58
962.22,769.73
951.52,763.48
938.1,752.56
936.36,751.31
921.21,738.57
917.76,735.38
906.06,726.61
894.01,718.21
890.91,716.41
875.76,709.19
860.61,704.31
845.45,701.79
830.3,701.42
815.15,702.85
800.0,705.56
784.85,708.73
769.7,711.05
754.55,710.77
739.39,706.21
731.22,701.04
724.24,696.5
710.95,683.87
709.09,682.06
696.15,666.69
693.94,664.0
683.21,649.52
678.79,643.24
671.5,632.35
663.64,619.66
660.92,615.18
651.02,598.0
648.48,593.99
639.97,580.83
633.33,572.9
624.77,563.66
618.18,558.32
603.03,547.87
600.69,546.49

